year,median_roll,median_base_year_census,average_roll,mean_base_year_census,roll,base_year_census,index_factor,median_index_factor
1995,1220.5,1165.5,1495.0801886792453,1410.7767857142858,316957,316014,1.0029840450106642,1.0471900471900473
1996,1165.5,1165.5,1410.7767857142858,1410.7767857142858,316014,316014,1,1
1997,1184.5,1165.5,1403.200892857143,1410.7767857142858,314317,316014,0.9946299847475112,1.0163020163020162
1998,1125.5,1165.5,1395.6785714285713,1410.7767857142858,312632,316014,0.9892979424962185,0.9656799656799657
1999,1176,1165.5,1411.5695067264573,1410.7767857142858,314780,316014,0.9960951097103293,1.009009009009009
2000,1195,1165.5,1428.454954954955,1410.7767857142858,317117,316014,1.0034903516932794,1.0253110253110254
2001,1157,1165.5,1416.0493273542602,1410.7767857142858,315779,316014,0.9992563620599088,0.9927069927069927
2002,1169.5,1342.5,1412.1919642857142,1641.4375,316331,315156,1.003728312327863,0.8711359404096835
2003,1180,1342.5,1418.924107142857,1641.4375,317839,315156,1.0085132442346012,0.8789571694599627
2004,1368,1342.5,1653.5208333333333,1641.4375,317476,315156,1.0073614337026742,1.0189944134078213
2005,1363,1342.5,1641.9583333333333,1641.4375,315256,315156,1.0003173031768393,1.0152700186219739
2006,1358.5,1342.5,1627.03125,1641.4375,312390,315156,0.991223394128622,1.0119180633147113
2007,1343,1342.5,1609.2395833333333,1641.4375,308974,315156,0.9803843176077879,1.0003724394785847
2008,1319,1342.5,1580.2135416666667,1641.4375,303401,315156,0.9627010115625277,0.9824953445065177
2009,1316,1342.5,1574.625,1641.4375,302328,315156,0.959296348475041,0.9802607076350093
2010,1288.5,1342.5,1564.71875,1641.4375,300426,315156,0.9532612420515554,0.9597765363128492
2011,1269.5,1342.5,1544.3489583333333,1641.4375,296515,315156,0.9408515148053662,0.9456238361266294
2012,1269,1342.5,1525.8958333333333,1641.4375,292972,315156,0.9296094632499461,0.9452513966480447
2013,1259.5,1342.5,1503.0104166666667,1641.4375,288578,315156,0.9156671616596226,0.9381750465549348
2014,1208.5,1342.5,1480.0416666666667,1641.4375,284168,315156,0.9016740915610048,0.9001862197392924
2015,1216.5,1342.5,1465.390625,1641.4375,281355,315156,0.8927483531965122,0.906145251396648
2016,1211,1342.5,1460.4583333333333,1641.4375,280408,315156,0.889743492111843,0.9020484171322161
2017,1197,1342.5,1465.6510416666667,1641.4375,281405,315156,0.8929070047849319,0.8916201117318435
2018,1194,1342.5,1487.3177083333333,1641.4375,285565,315156,0.9061068169414512,0.8893854748603351
2019,1214,1342.5,1518.078125,1641.4375,291471,315156,0.9248467425655865,0.9042830540037244
2020,1237,1342.5,1564.390625,1641.4375,300363,315156,0.9530613410501466,0.921415270018622
