LocalAuthority,year,stage,cohort,roll,base_year_census,index_factor
Aberdeen City,1995,S1,1995,2111,2160,0.9773148148148149
Aberdeen City,1995,S2,1994,2210,2120,1.0424528301886793
Aberdeen City,1995,S3,1993,2203,2206,0.9986400725294651
Aberdeen City,1995,S4,1992,2129,2173,0.9797514956281639
Aberdeen City,1995,S5,1991,1635,1554,1.0521235521235521
Aberdeen City,1995,S6,1990,747,847,0.8819362455726092
Aberdeen City,1995,special_units,NA,36,14,2.5714285714285716
Aberdeen City,1996,S1,1996,2160,2160,1
Aberdeen City,1996,S2,1995,2120,2120,1
Aberdeen City,1996,S3,1994,2206,2206,1
Aberdeen City,1996,S4,1993,2173,2173,1
Aberdeen City,1996,S5,1992,1554,1554,1
Aberdeen City,1996,S6,1991,847,847,1
Aberdeen City,1996,special_units,NA,14,14,1
Aberdeen City,1997,S1,1997,2246,2160,1.0398148148148147
Aberdeen City,1997,S2,1996,2131,2120,1.005188679245283
Aberdeen City,1997,S3,1995,2118,2206,0.9601087941976428
Aberdeen City,1997,S4,1994,2162,2173,0.9949378739070409
Aberdeen City,1997,S5,1993,1636,1554,1.0527670527670527
Aberdeen City,1997,S6,1992,781,847,0.922077922077922
Aberdeen City,1997,special_units,NA,64,14,4.571428571428571
Aberdeen City,1998,S1,1998,2099,2160,0.9717592592592592
Aberdeen City,1998,S2,1997,2219,2120,1.0466981132075472
Aberdeen City,1998,S3,1996,2094,2206,0.9492293744333635
Aberdeen City,1998,S4,1995,2090,2173,0.9618039576622182
Aberdeen City,1998,S5,1994,1572,1554,1.0115830115830116
Aberdeen City,1998,S6,1993,870,847,1.0271546635183
Aberdeen City,1998,special_units,NA,97,14,6.928571428571429
Aberdeen City,1999,S1,1999,2190,2160,1.0138888888888888
Aberdeen City,1999,S2,1998,2072,2120,0.9773584905660377
Aberdeen City,1999,S3,1997,2214,2206,1.0036264732547597
Aberdeen City,1999,S4,1996,2050,2173,0.9433962264150944
Aberdeen City,1999,S5,1995,1528,1554,0.9832689832689833
Aberdeen City,1999,S6,1994,853,847,1.0070838252656436
Aberdeen City,1999,special_units,NA,116,14,8.285714285714286
Aberdeen City,2000,S1,2000,2133,2160,0.9875
Aberdeen City,2000,S2,1999,2125,2120,1.0023584905660377
Aberdeen City,2000,S3,1998,2045,2206,0.9270172257479601
Aberdeen City,2000,S4,1997,2156,2173,0.9921767142199723
Aberdeen City,2000,S5,1996,1536,1554,0.9884169884169884
Aberdeen City,2000,S6,1995,878,847,1.036599763872491
Aberdeen City,2000,special_units,NA,108,14,7.714285714285714
Aberdeen City,2001,S1,2001,1992,2160,0.9222222222222223
Aberdeen City,2001,S2,2000,2120,2120,1
Aberdeen City,2001,S3,1999,2122,2206,0.9619220308250227
Aberdeen City,2001,S4,1998,2010,2173,0.9249884951679705
Aberdeen City,2001,S5,1997,1669,1554,1.074002574002574
Aberdeen City,2001,S6,1996,927,847,1.0944510035419126
Aberdeen City,2001,special_units,NA,102,14,7.285714285714286
Aberdeen City,2002,S1,2002,2046,2160,0.9472222222222222
Aberdeen City,2002,S2,2001,2017,2120,0.9514150943396227
Aberdeen City,2002,S3,2000,2122,2206,0.9619220308250227
Aberdeen City,2002,S4,1999,2115,2173,0.9733087896916705
Aberdeen City,2002,S5,1998,1367,1554,0.8796653796653797
Aberdeen City,2002,S6,1997,961,847,1.1345926800472255
Aberdeen City,2002,StageNotKnown,NA,0,NA,NA
Aberdeen City,2003,S1,2003,2108,2160,0.975925925925926
Aberdeen City,2003,S2,2002,2025,2120,0.9551886792452831
Aberdeen City,2003,S3,2001,1998,2206,0.9057116953762466
Aberdeen City,2003,S4,2000,2105,2173,0.9687068568798896
Aberdeen City,2003,S5,1999,1461,1554,0.9401544401544402
Aberdeen City,2003,S6,1998,855,847,1.0094451003541913
Aberdeen City,2003,StageNotKnown,NA,0,NA,NA
Aberdeen City,2004,S1,2004,2010,2160,0.9305555555555556
Aberdeen City,2004,S2,2003,2084,2120,0.9830188679245283
Aberdeen City,2004,S3,2002,2028,2206,0.9193109700815957
Aberdeen City,2004,S4,2001,1960,2173,0.9019788311090658
Aberdeen City,2004,S5,2000,1429,1554,0.9195624195624196
Aberdeen City,2004,S6,1999,946,847,1.1168831168831168
Aberdeen City,2005,S1,2005,1908,2160,0.8833333333333333
Aberdeen City,2005,S2,2004,2021,2120,0.9533018867924529
Aberdeen City,2005,S3,2003,2083,2206,0.9442429737080689
Aberdeen City,2005,S4,2002,2017,2173,0.9282098481362172
Aberdeen City,2005,S5,2001,1424,1554,0.9163449163449163
Aberdeen City,2005,S6,2000,922,847,1.088547815820543
Aberdeen City,2006,S1,2006,1975,2160,0.9143518518518519
Aberdeen City,2006,S2,2005,1905,2120,0.8985849056603774
Aberdeen City,2006,S3,2004,2025,2206,0.9179510426110608
Aberdeen City,2006,S4,2003,2076,2173,0.9553612517257248
Aberdeen City,2006,S5,2002,1514,1554,0.9742599742599742
Aberdeen City,2006,S6,2001,901,847,1.063754427390791
Aberdeen City,2007,S1,2007,1762,2160,0.8157407407407408
Aberdeen City,2007,S2,2006,1973,2120,0.9306603773584906
Aberdeen City,2007,S3,2005,1909,2206,0.8653671804170444
Aberdeen City,2007,S4,2004,2015,2173,0.927289461573861
Aberdeen City,2007,S5,2003,1406,1554,0.9047619047619048
Aberdeen City,2007,S6,2002,852,847,1.0059031877213696
Aberdeen City,2008,S1,2008,1756,2160,0.812962962962963
Aberdeen City,2008,S2,2007,1757,2120,0.8287735849056603
Aberdeen City,2008,S3,2006,1968,2206,0.8921124206708976
Aberdeen City,2008,S4,2005,1877,2173,0.8637827887712839
Aberdeen City,2008,S5,2004,1375,1554,0.8848133848133848
Aberdeen City,2008,S6,2003,796,847,0.9397874852420307
Aberdeen City,2009,S1,2009,1723,2160,0.7976851851851852
Aberdeen City,2009,S2,2008,1755,2120,0.8278301886792453
Aberdeen City,2009,S3,2007,1761,2206,0.7982774252039891
Aberdeen City,2009,S4,2006,1959,2173,0.9015186378278877
Aberdeen City,2009,S5,2005,1353,1554,0.8706563706563707
Aberdeen City,2009,S6,2004,857,847,1.011806375442739
Aberdeen City,2010,S1,2010,1755,2160,0.8125
Aberdeen City,2010,S2,2009,1722,2120,0.8122641509433962
Aberdeen City,2010,S3,2008,1789,2206,0.8109700815956482
Aberdeen City,2010,S4,2007,1777,2173,0.8177634606534745
Aberdeen City,2010,S5,2006,1453,1554,0.935006435006435
Aberdeen City,2010,S6,2005,858,847,1.0129870129870129
Aberdeen City,2011,S1,2011,1705,2160,0.7893518518518519
Aberdeen City,2011,S2,2010,1760,2120,0.8301886792452831
Aberdeen City,2011,S3,2009,1715,2206,0.7774252039891206
Aberdeen City,2011,S4,2008,1772,2173,0.815462494247584
Aberdeen City,2011,S5,2007,1363,1554,0.8770913770913771
Aberdeen City,2011,S6,2006,934,847,1.10271546635183
Aberdeen City,2012,S1,2012,1646,2160,0.7620370370370371
Aberdeen City,2012,S2,2011,1705,2120,0.8042452830188679
Aberdeen City,2012,S3,2010,1758,2206,0.7969174977334542
Aberdeen City,2012,S4,2009,1707,2173,0.7855499309710078
Aberdeen City,2012,S5,2008,1344,1554,0.8648648648648649
Aberdeen City,2012,S6,2007,876,847,1.0342384887839433
Aberdeen City,2013,S1,2013,1560,2160,0.7222222222222222
Aberdeen City,2013,S2,2012,1632,2120,0.769811320754717
Aberdeen City,2013,S3,2011,1705,2206,0.7728921124206709
Aberdeen City,2013,S4,2010,1768,2173,0.8136217211228716
Aberdeen City,2013,S5,2009,1319,1554,0.8487773487773488
Aberdeen City,2013,S6,2008,870,847,1.0271546635183
Aberdeen City,2014,S1,2014,1634,2160,0.7564814814814815
Aberdeen City,2014,S2,2013,1565,2120,0.7382075471698113
Aberdeen City,2014,S3,2012,1634,2206,0.7407071622846781
