year,median_teacher_count,median_base_year_census,average_teacher_count,mean_base_year_census,teacher_count,base_year_census,index_factor,median_index_factor
1995,613,600,768.53125,756.8125,24593,24218,1.0154843504831117,1.0216666666666667
1996,600,600,756.8125,756.8125,24218,24218,1,1
1997,590,600,744.625,756.8125,23828,24218,0.9838962754975638,0.9833333333333333
1998,597.5,600,751.21875,756.8125,24039,24218,0.9926088033693946,0.9958333333333333
1999,608,600,762.59375,756.8125,24403,24218,1.007638946238335,1.0133333333333334
2000,596.5,600,764.96875,756.8125,24479,24218,1.0107771079362458,0.9941666666666666
2001,599.5,600,765.8125,756.8125,24506,24218,1.0118919811710299,0.9991666666666666
2002,622.5,600,781.09375,756.8125,24995,24218,1.0320835742010075,1.0375
2003,620,600,776.09375,756.8125,24835,24218,1.02547691799488,1.0333333333333334
2004,613,600,782.03125,756.8125,25025,24218,1.0333223222396564,1.0216666666666667
2005,620.5,600,802.9375,756.8125,25694,24218,1.0609464035015277,1.0341666666666667
2006,655,600,816.4375,756.8125,26126,24218,1.0787843752580726,1.0916666666666666
2007,678,600,828.53125,756.8125,26513,24218,1.0947642249566438,1.13
2008,647,600,812.84375,756.8125,26011,24218,1.0740358411099182,1.0783333333333334
2009,633.5,600,791.125,756.8125,25316,24218,1.0453381782145512,1.0558333333333334
2010,630.5,600,772.6875,756.8125,24726,24218,1.0209761334544554,1.0508333333333333
2011,623.5,600,756.03125,756.8125,24193,24218,0.9989677099677926,1.0391666666666666
2012,616,600,747.875,756.8125,23932,24218,0.9881906020315467,1.0266666666666666
2013,615.5,600,738.90625,756.8125,23645,24218,0.9763399124618053,1.0258333333333334
2014,620.5,600,729.625,756.8125,23348,24218,0.9640763068791808,1.0341666666666667
2015,615,600,719.03125,756.8125,23009,24218,0.9500784540424477,1.025
2016,616.5,600,715.84375,756.8125,22907,24218,0.9458667107110413,1.0275
2017,615,600,721.9375,756.8125,23102,24218,0.9539185729622595,1.025
2018,617.5,600,727.125,756.8125,23268,24218,0.9607729787761169,1.0291666666666666
2019,605.5,600,733.59375,756.8125,23475,24218,0.9693203402427946,1.0091666666666668
2020,609.5,600,750.8125,756.8125,24026,24218,0.9920720125526468,1.0158333333333334
