LocalAuthority,year,teacher_count,base_year_census,index_factor
Aberdeen City,1995,855,861,0.9930313588850174
Aberdeen City,1996,861,861,1
Aberdeen City,1997,861,861,1
Aberdeen City,1998,868,861,1.008130081300813
Aberdeen City,1999,875,861,1.016260162601626
Aberdeen City,2000,893,861,1.0371660859465737
Aberdeen City,2001,882,861,1.024390243902439
Aberdeen City,2002,883,861,1.0255516840882695
Aberdeen City,2003,896,861,1.0406504065040652
Aberdeen City,2004,879,861,1.0209059233449478
Aberdeen City,2005,871,861,1.0116144018583042
Aberdeen City,2006,906,861,1.0522648083623694
Aberdeen City,2007,898,861,1.042973286875726
Aberdeen City,2008,807,861,0.9372822299651568
Aberdeen City,2009,792,861,0.9198606271777003
Aberdeen City,2010,737,861,0.8559814169570267
Aberdeen City,2011,744,861,0.8641114982578397
Aberdeen City,2012,741,861,0.8606271777003485
Aberdeen City,2013,740,861,0.859465737514518
Aberdeen City,2014,745,861,0.8652729384436701
Aberdeen City,2015,735,861,0.8536585365853658
Aberdeen City,2016,712,861,0.826945412311266
Aberdeen City,2017,714,861,0.8292682926829268
Aberdeen City,2018,716,861,0.8315911730545877
Aberdeen City,2019,722,861,0.8385598141695703
Aberdeen City,2020,751,861,0.8722415795586528
Aberdeenshire,1995,1100,1102,0.9981851179673321
Aberdeenshire,1996,1102,1102,1
Aberdeenshire,1997,1110,1102,1.0072595281306715
Aberdeenshire,1998,1136,1102,1.030852994555354
Aberdeenshire,1999,1168,1102,1.05989110707804
Aberdeenshire,2000,1137,1102,1.0317604355716878
Aberdeenshire,2001,1157,1102,1.0499092558983667
Aberdeenshire,2002,1247,1102,1.131578947368421
Aberdeenshire,2003,1245,1102,1.1297640653357532
Aberdeenshire,2004,1243,1102,1.1279491833030852
Aberdeenshire,2005,1286,1102,1.1669691470054446
Aberdeenshire,2006,1294,1102,1.1742286751361162
Aberdeenshire,2007,1316,1102,1.1941923774954628
Aberdeenshire,2008,1326,1102,1.2032667876588021
Aberdeenshire,2009,1313,1102,1.191470054446461
Aberdeenshire,2010,1300,1102,1.1796733212341197
Aberdeenshire,2011,1258,1102,1.1415607985480944
Aberdeenshire,2012,1222,1102,1.1088929219600725
Aberdeenshire,2013,1209,1102,1.0970961887477313
Aberdeenshire,2014,1205,1102,1.0934664246823957
Aberdeenshire,2015,1217,1102,1.1043557168784028
Aberdeenshire,2016,1192,1102,1.0816696914700545
Aberdeenshire,2017,1199,1102,1.088021778584392
Aberdeenshire,2018,1206,1102,1.0943738656987296
Aberdeenshire,2019,1212,1102,1.0998185117967332
Aberdeenshire,2020,1234,1102,1.1197822141560798
Angus,1995,565,562,1.0053380782918149
Angus,1996,562,562,1
Angus,1997,568,562,1.01067615658363
Angus,1998,573,562,1.019572953736655
Angus,1999,576,562,1.0249110320284698
Angus,2000,577,562,1.0266903914590748
Angus,2001,572,562,1.0177935943060499
Angus,2002,579,562,1.0302491103202847
Angus,2003,576,562,1.0249110320284698
Angus,2004,559,562,0.994661921708185
Angus,2005,597,562,1.0622775800711743
Angus,2006,596,562,1.0604982206405693
Angus,2007,608,562,1.0818505338078293
Angus,2008,606,562,1.0782918149466192
Angus,2009,609,562,1.083629893238434
Angus,2010,604,562,1.0747330960854093
Angus,2011,581,562,1.0338078291814947
Angus,2012,570,562,1.0142348754448398
Angus,2013,570,562,1.0142348754448398
Angus,2014,555,562,0.9875444839857651
Angus,2015,548,562,0.9750889679715302
Angus,2016,545,562,0.9697508896797153
Angus,2017,547,562,0.9733096085409253
Angus,2018,555,562,0.9875444839857651
Angus,2019,560,562,0.99644128113879
Angus,2020,575,562,1.0231316725978647
Argyll & Bute,1995,456,456,1
Argyll & Bute,1996,456,456,1
Argyll & Bute,1997,446,456,0.9780701754385965
Argyll & Bute,1998,444,456,0.9736842105263158
Argyll & Bute,1999,441,456,0.9671052631578947
Argyll & Bute,2000,448,456,0.9824561403508771
Argyll & Bute,2001,448,456,0.9824561403508771
Argyll & Bute,2002,455,456,0.9978070175438597
Argyll & Bute,2003,442,456,0.9692982456140351
Argyll & Bute,2004,450,456,0.9868421052631579
Argyll & Bute,2005,478,456,1.0482456140350878
Argyll & Bute,2006,484,456,1.0614035087719298
Argyll & Bute,2007,483,456,1.0592105263157894
Argyll & Bute,2008,480,456,1.0526315789473684
Argyll & Bute,2009,478,456,1.0482456140350878
Argyll & Bute,2010,467,456,1.0241228070175439
Argyll & Bute,2011,432,456,0.9473684210526315
Argyll & Bute,2012,439,456,0.9627192982456141
Argyll & Bute,2013,434,456,0.9517543859649122
Argyll & Bute,2014,438,456,0.9605263157894737
Argyll & Bute,2015,425,456,0.9320175438596491
Argyll & Bute,2016,423,456,0.9276315789473685
Argyll & Bute,2017,401,456,0.8793859649122807
Argyll & Bute,2018,419,456,0.918859649122807
Argyll & Bute,2019,402,456,0.881578947368421
Argyll & Bute,2020,406,456,0.8903508771929824
City of Edinburgh,1995,1430,1399,1.0221586847748392
City of Edinburgh,1996,1399,1399,1
City of Edinburgh,1997,1388,1399,0.9921372408863474
City of Edinburgh,1998,1428,1399,1.0207290922087204
City of Edinburgh,1999,1498,1399,1.0707648320228735
City of Edinburgh,2000,1554,1399,1.1107934238741959
City of Edinburgh,2001,1543,1399,1.1029306647605432
City of Edinburgh,2002,1600,1399,1.143674052894925
City of Edinburgh,2003,1551,1399,1.1086490350250178
City of Edinburgh,2004,1559,1399,1.1143674052894925
City of Edinburgh,2005,1602,1399,1.1451036454610437
City of Edinburgh,2006,1602,1399,1.1451036454610437
City of Edinburgh,2007,1572,1399,1.1236597569692637
City of Edinburgh,2008,1577,1399,1.1272337383845603
City of Edinburgh,2009,1528,1399,1.0922087205146533
City of Edinburgh,2010,1504,1399,1.0750536097212295
City of Edinburgh,2011,1487,1399,1.062902072909221
City of Edinburgh,2012,1488,1399,1.0636168691922803
City of Edinburgh,2013,1483,1399,1.0600428877769836
City of Edinburgh,2014,1429,1399,1.0214438884917798
City of Edinburgh,2015,1418,1399,1.0135811293781272
City of Edinburgh,2016,1408,1399,1.006433166547534
City of Edinburgh,2017,1437,1399,1.0271622587562546
City of Edinburgh,2018,1462,1399,1.0450321658327377
City of Edinburgh,2019,1535,1399,1.0972122944960687
City of Edinburgh,2020,1594,1399,1.139385275196569
Clackmannanshire,1995,221,219,1.0091324200913243
Clackmannanshire,1996,219,219,1
Clackmannanshire,1997,220,219,1.004566210045662
Clackmannanshire,1998,228,219,1.0410958904109588
Clackmannanshire,1999,233,219,1.0639269406392695
Clackmannanshire,2000,237,219,1.082191780821918
Clackmannanshire,2001,238,219,1.08675799086758
Clackmannanshire,2002,236,219,1.0776255707762556
Clackmannanshire,2003,224,219,1.0228310502283104
Clackmannanshire,2004,224,219,1.0228310502283104
Clackmannanshire,2005,235,219,1.0730593607305936
Clackmannanshire,2006,249,219,1.1369863013698631
Clackmannanshire,2007,248,219,1.1324200913242009
Clackmannanshire,2008,251,219,1.1461187214611872
Clackmannanshire,2009,245,219,1.1187214611872147
Clackmannanshire,2010,224,219,1.0228310502283104
Clackmannanshire,2011,221,219,1.0091324200913243
Clackmannanshire,2012,221,219,1.0091324200913243
Clackmannanshire,2013,228,219,1.0410958904109588
Clackmannanshire,2014,229,219,1.0456621004566211
Clackmannanshire,2015,214,219,0.9771689497716894
Clackmannanshire,2016,226,219,1.0319634703196348
Clackmannanshire,2017,218,219,0.9954337899543378
Clackmannanshire,2018,211,219,0.9634703196347032
Clackmannanshire,2019,221,219,1.0091324200913243
Clackmannanshire,2020,233,219,1.0639269406392695
Dumfries & Galloway,1995,799,755,1.0582781456953643
Dumfries & Galloway,1996,755,755,1
Dumfries & Galloway,1997,792,755,1.0490066225165562
Dumfries & Galloway,1998,817,755,1.0821192052980133
Dumfries & Galloway,1999,808,755,1.0701986754966888
Dumfries & Galloway,2000,784,755,1.03841059602649
Dumfries & Galloway,2001,792,755,1.0490066225165562
Dumfries & Galloway,2002,804,755,1.0649006622516557
Dumfries & Galloway,2003,793,755,1.0503311258278145
Dumfries & Galloway,2004,788,755,1.043708609271523
Dumfries & Galloway,2005,808,755,1.0701986754966888
Dumfries & Galloway,2006,829,755,1.0980132450331126
Dumfries & Galloway,2007,845,755,1.119205298013245
Dumfries & Galloway,2008,839,755,1.1112582781456954
Dumfries & Galloway,2009,794,755,1.0516556291390728
Dumfries & Galloway,2010,834,755,1.104635761589404
Dumfries & Galloway,2011,786,755,1.0410596026490067
Dumfries & Galloway,2012,793,755,1.0503311258278145
Dumfries & Galloway,2013,754,755,0.9986754966887417
Dumfries & Galloway,2014,747,755,0.9894039735099338
Dumfries & Galloway,2015,704,755,0.9324503311258279
Dumfries & Galloway,2016,687,755,0.909933774834437
Dumfries & Galloway,2017,688,755,0.9112582781456954
Dumfries & Galloway,2018,665,755,0.8807947019867549
Dumfries & Galloway,2019,679,755,0.8993377483443709
Dumfries & Galloway,2020,664,755,0.8794701986754967
Dundee City,1995,750,733,1.0231923601637107
Dundee City,1996,733,733,1
Dundee City,1997,687,733,0.937244201909959
Dundee City,1998,714,733,0.9740791268758526
Dundee City,1999,728,733,0.9931787175989086
Dundee City,2000,739,733,1.0081855388813097
Dundee City,2001,723,733,0.9863574351978172
Dundee City,2002,768,733,1.0477489768076398
Dundee City,2003,727,733,0.9918144611186903
Dundee City,2004,751,733,1.024556616643929
Dundee City,2005,720,733,0.9822646657571623
Dundee City,2006,768,733,1.0477489768076398
Dundee City,2007,805,733,1.0982264665757162
Dundee City,2008,811,733,1.106412005457026
Dundee City,2009,765,733,1.043656207366985
Dundee City,2010,732,733,0.9986357435197817
Dundee City,2011,716,733,0.9768076398362893
Dundee City,2012,691,733,0.9427012278308322
Dundee City,2013,680,733,0.927694406548431
Dundee City,2014,657,733,0.8963165075034106
Dundee City,2015,646,733,0.8813096862210096
Dundee City,2016,629,733,0.8581173260572987
Dundee City,2017,608,733,0.8294679399727148
Dundee City,2018,607,733,0.8281036834924966
Dundee City,2019,590,733,0.8049113233287858
Dundee City,2020,593,733,0.8090040927694406
East Ayrshire,1995,613,591,1.0372250423011844
East Ayrshire,1996,591,591,1
East Ayrshire,1997,586,591,0.9915397631133672
East Ayrshire,1998,582,591,0.9847715736040609
East Ayrshire,1999,587,591,0.9932318104906938
East Ayrshire,2000,591,591,1
East Ayrshire,2001,593,591,1.003384094754653
East Ayrshire,2002,605,591,1.023688663282572
East Ayrshire,2003,620,591,1.0490693739424704
East Ayrshire,2004,610,591,1.0321489001692048
East Ayrshire,2005,624,591,1.0558375634517767
East Ayrshire,2006,654,591,1.1065989847715736
East Ayrshire,2007,683,591,1.155668358714044
East Ayrshire,2008,632,591,1.0693739424703892
East Ayrshire,2009,613,591,1.0372250423011844
East Ayrshire,2010,572,591,0.9678510998307953
East Ayrshire,2011,567,591,0.9593908629441624
East Ayrshire,2012,559,591,0.9458544839255499
East Ayrshire,2013,552,591,0.934010152284264
East Ayrshire,2014,545,591,0.922165820642978
East Ayrshire,2015,540,591,0.9137055837563451
East Ayrshire,2016,530,591,0.8967851099830795
East Ayrshire,2017,546,591,0.9238578680203046
East Ayrshire,2018,533,591,0.9018612521150592
East Ayrshire,2019,541,591,0.9153976311336718
East Ayrshire,2020,545,591,0.922165820642978
East Dunbartonshire,1995,628,628,1
East Dunbartonshire,1996,628,628,1
East Dunbartonshire,1997,615,628,0.9792993630573248
East Dunbartonshire,1998,619,628,0.9856687898089171
East Dunbartonshire,1999,629,628,1.0015923566878981
East Dunbartonshire,2000,627,628,0.9984076433121019
East Dunbartonshire,2001,630,628,1.0031847133757963
East Dunbartonshire,2002,640,628,1.019108280254777
East Dunbartonshire,2003,648,628,1.0318471337579618
East Dunbartonshire,2004,659,628,1.0493630573248407
East Dunbartonshire,2005,691,628,1.1003184713375795
East Dunbartonshire,2006,677,628,1.0780254777070064
East Dunbartonshire,2007,677,628,1.0780254777070064
East Dunbartonshire,2008,664,628,1.0573248407643312
East Dunbartonshire,2009,617,628,0.982484076433121
East Dunbartonshire,2010,619,628,0.9856687898089171
East Dunbartonshire,2011,611,628,0.9729299363057324
East Dunbartonshire,2012,597,628,0.9506369426751592
East Dunbartonshire,2013,601,628,0.9570063694267515
East Dunbartonshire,2014,611,628,0.9729299363057324
East Dunbartonshire,2015,605,628,0.9633757961783439
East Dunbartonshire,2016,615,628,0.9792993630573248
East Dunbartonshire,2017,625,628,0.9952229299363057
East Dunbartonshire,2018,629,628,1.0015923566878981
East Dunbartonshire,2019,632,628,1.0063694267515924
East Dunbartonshire,2020,686,628,1.0923566878980893
East Lothian,1995,356,354,1.0056497175141244
East Lothian,1996,354,354,1
East Lothian,1997,359,354,1.0141242937853108
East Lothian,1998,367,354,1.036723163841808
East Lothian,1999,391,354,1.1045197740112995
East Lothian,2000,405,354,1.1440677966101696
East Lothian,2001,410,354,1.1581920903954803
East Lothian,2002,447,354,1.2627118644067796
East Lothian,2003,441,354,1.2457627118644068
East Lothian,2004,445,354,1.2570621468926553
East Lothian,2005,473,354,1.3361581920903955
East Lothian,2006,475,354,1.3418079096045197
East Lothian,2007,503,354,1.42090395480226
East Lothian,2008,478,354,1.3502824858757063
East Lothian,2009,486,354,1.3728813559322033
East Lothian,2010,469,354,1.3248587570621468
East Lothian,2011,469,354,1.3248587570621468
East Lothian,2012,468,354,1.3220338983050848
East Lothian,2013,461,354,1.3022598870056497
East Lothian,2014,455,354,1.2853107344632768
East Lothian,2015,457,354,1.2909604519774012
East Lothian,2016,447,354,1.2627118644067796
East Lothian,2017,456,354,1.2881355932203389
East Lothian,2018,460,354,1.2994350282485876
East Lothian,2019,471,354,1.3305084745762712
East Lothian,2020,485,354,1.3700564971751412
East Renfrewshire,1995,481,481,1
East Renfrewshire,1996,481,481,1
East Renfrewshire,1997,483,481,1.004158004158004
East Renfrewshire,1998,490,481,1.0187110187110187
East Renfrewshire,1999,499,481,1.0374220374220373
East Renfrewshire,2000,517,481,1.0748440748440748
East Renfrewshire,2001,524,481,1.0893970893970895
East Renfrewshire,2002,542,481,1.1268191268191268
East Renfrewshire,2003,563,481,1.1704781704781704
East Renfrewshire,2004,580,481,1.2058212058212059
East Renfrewshire,2005,617,481,1.2827442827442828
East Renfrewshire,2006,656,481,1.363825363825364
East Renfrewshire,2007,679,481,1.4116424116424116
East Renfrewshire,2008,649,481,1.3492723492723493
East Renfrewshire,2009,658,481,1.367983367983368
East Renfrewshire,2010,658,481,1.367983367983368
East Renfrewshire,2011,650,481,1.3513513513513513
East Renfrewshire,2012,654,481,1.3596673596673596
East Renfrewshire,2013,656,481,1.363825363825364
East Renfrewshire,2014,643,481,1.3367983367983367
East Renfrewshire,2015,643,481,1.3367983367983367
East Renfrewshire,2016,648,481,1.3471933471933473
East Renfrewshire,2017,653,481,1.3575883575883576
East Renfrewshire,2018,658,481,1.367983367983368
East Renfrewshire,2019,677,481,1.4074844074844075
East Renfrewshire,2020,665,481,1.3825363825363826
Falkirk,1995,641,637,1.0062794348508635
Falkirk,1996,637,637,1
Falkirk,1997,663,637,1.0408163265306123
Falkirk,1998,660,637,1.0361067503924646
Falkirk,1999,674,637,1.0580847723704867
Falkirk,2000,644,637,1.010989010989011
Falkirk,2001,657,637,1.031397174254317
Falkirk,2002,662,637,1.0392464678178963
Falkirk,2003,667,637,1.0470957613814758
Falkirk,2004,668,637,1.0486656200941915
Falkirk,2005,730,637,1.1459968602825745
Falkirk,2006,794,637,1.2464678178963893
Falkirk,2007,794,637,1.2464678178963893
Falkirk,2008,783,637,1.2291993720565149
Falkirk,2009,750,637,1.1773940345368916
Falkirk,2010,749,637,1.1758241758241759
Falkirk,2011,754,637,1.183673469387755
Falkirk,2012,754,637,1.183673469387755
Falkirk,2013,738,637,1.1585557299843015
Falkirk,2014,741,637,1.163265306122449
Falkirk,2015,742,637,1.164835164835165
Falkirk,2016,777,637,1.2197802197802199
Falkirk,2017,788,637,1.2370486656200943
Falkirk,2018,784,637,1.2307692307692308
Falkirk,2019,775,637,1.2166405023547882
Falkirk,2020,804,637,1.262166405023548
Fife,1995,1734,1728,1.0034722222222223
Fife,1996,1728,1728,1
Fife,1997,1707,1728,0.9878472222222222
Fife,1998,1733,1728,1.0028935185185186
Fife,1999,1741,1728,1.0075231481481481
Fife,2000,1746,1728,1.0104166666666667
Fife,2001,1749,1728,1.0121527777777777
Fife,2002,1775,1728,1.0271990740740742
Fife,2003,1703,1728,0.9855324074074074
Fife,2004,1706,1728,0.9872685185185185
Fife,2005,1700,1728,0.9837962962962963
Fife,2006,1718,1728,0.9942129629629629
Fife,2007,1745,1728,1.009837962962963
Fife,2008,1737,1728,1.0052083333333333
Fife,2009,1708,1728,0.9884259259259259
Fife,2010,1714,1728,0.9918981481481481
Fife,2011,1654,1728,0.9571759259259259
Fife,2012,1645,1728,0.9519675925925926
Fife,2013,1633,1728,0.9450231481481481
Fife,2014,1622,1728,0.9386574074074074
Fife,2015,1600,1728,0.9259259259259259
Fife,2016,1570,1728,0.9085648148148148
Fife,2017,1586,1728,0.9178240740740741
Fife,2018,1587,1728,0.9184027777777778
Fife,2019,1574,1728,0.9108796296296297
Fife,2020,1592,1728,0.9212962962962963
Glasgow City,1995,2431,2353,1.0331491712707181
Glasgow City,1996,2353,2353,1
Glasgow City,1997,2179,2353,0.9260518487037824
Glasgow City,1998,2161,2353,0.9184020399490013
Glasgow City,1999,2245,2353,0.9541011474713132
Glasgow City,2000,2271,2353,0.9651508712282193
Glasgow City,2001,2248,2353,0.9553761155971101
Glasgow City,2002,2185,2353,0.9286017849553762
Glasgow City,2003,2239,2353,0.9515512112197195
Glasgow City,2004,2298,2353,0.976625584360391
Glasgow City,2005,2357,2353,1.0016999575010626
Glasgow City,2006,2385,2353,1.0135996600084998
Glasgow City,2007,2422,2353,1.0293242668933276
Glasgow City,2008,2353,2353,1
Glasgow City,2009,2215,2353,0.9413514662133446
Glasgow City,2010,2129,2353,0.9048023799405015
Glasgow City,2011,2161,2353,0.9184020399490013
Glasgow City,2012,2054,2353,0.8729281767955801
Glasgow City,2013,2031,2353,0.8631534211644709
Glasgow City,2014,2013,2353,0.8555036124096898
Glasgow City,2015,1978,2353,0.8406289842753931
Glasgow City,2016,1974,2353,0.8389290267743307
Glasgow City,2017,2083,2353,0.885252868678283
Glasgow City,2018,2141,2353,0.9099022524436889
Glasgow City,2019,2231,2353,0.9481512962175945
Glasgow City,2020,2261,2353,0.9609009774755631
Highland,1995,1279,1278,1.0007824726134584
Highland,1996,1278,1278,1
Highland,1997,1259,1278,0.985133020344288
Highland,1998,1256,1278,0.9827856025039123
Highland,1999,1264,1278,0.9890453834115805
Highland,2000,1290,1278,1.0093896713615023
Highland,2001,1282,1278,1.0031298904538342
Highland,2002,1304,1278,1.0203442879499218
Highland,2003,1280,1278,1.001564945226917
Highland,2004,1267,1278,0.9913928012519562
Highland,2005,1281,1278,1.0023474178403755
Highland,2006,1288,1278,1.0078247261345852
Highland,2007,1314,1278,1.028169014084507
Highland,2008,1331,1278,1.041471048513302
Highland,2009,1342,1278,1.050078247261346
Highland,2010,1273,1278,0.9960876369327074
Highland,2011,1222,1278,0.9561815336463224
Highland,2012,1230,1278,0.9624413145539906
Highland,2013,1208,1278,0.945226917057903
Highland,2014,1215,1278,0.9507042253521126
Highland,2015,1172,1278,0.917057902973396
Highland,2016,1144,1278,0.8951486697965572
Highland,2017,1155,1278,0.903755868544601
Highland,2018,1165,1278,0.9115805946791862
Highland,2019,1138,1278,0.8904538341158059
Highland,2020,1145,1278,0.8959311424100157
Inverclyde,1995,458,437,1.0480549199084668
Inverclyde,1996,437,437,1
Inverclyde,1997,437,437,1
Inverclyde,1998,435,437,0.9954233409610984
Inverclyde,1999,431,437,0.9862700228832952
Inverclyde,2000,430,437,0.9839816933638444
Inverclyde,2001,434,437,0.9931350114416476
Inverclyde,2002,448,437,1.0251716247139588
Inverclyde,2003,433,437,0.9908466819221968
Inverclyde,2004,430,437,0.9839816933638444
Inverclyde,2005,449,437,1.0274599542334095
Inverclyde,2006,453,437,1.036613272311213
Inverclyde,2007,458,437,1.0480549199084668
Inverclyde,2008,436,437,0.9977116704805492
Inverclyde,2009,410,437,0.9382151029748284
Inverclyde,2010,392,437,0.897025171624714
Inverclyde,2011,377,437,0.8627002288329519
Inverclyde,2012,374,437,0.8558352402745996
Inverclyde,2013,357,437,0.816933638443936
Inverclyde,2014,358,437,0.8192219679633868
Inverclyde,2015,359,437,0.8215102974828375
Inverclyde,2016,355,437,0.8123569794050344
Inverclyde,2017,355,437,0.8123569794050344
Inverclyde,2018,361,437,0.8260869565217391
Inverclyde,2019,358,437,0.8192219679633868
Inverclyde,2020,362,437,0.8283752860411899
Midlothian,1995,404,398,1.015075376884422
Midlothian,1996,398,398,1
Midlothian,1997,405,398,1.0175879396984924
Midlothian,1998,395,398,0.992462311557789
Midlothian,1999,405,398,1.0175879396984924
Midlothian,2000,427,398,1.0728643216080402
Midlothian,2001,435,398,1.092964824120603
