year,median_teacher_count,median_base_year_census,average_teacher_count,mean_base_year_census,teacher_count,base_year_census,index_factor,median_index_factor
2008,450,450,642.5263157894736,568.1842105263158,24416,21591,1.1308415543513501,1
2009,413,450,624.3684210526316,568.1842105263158,23726,21591,1.0988837941734981,0.9177777777777778
2010,409.5,450,609.9473684210526,568.1842105263158,23178,21591,1.0735028484090594,0.91
2011,426,450,594.0263157894736,568.1842105263158,22573,21591,1.045481913760363,0.9466666666666667
2012,439,450,591.078947368421,568.1842105263158,22461,21591,1.0402945671807697,0.9755555555555555
2013,459.5,450,583.8947368421053,568.1842105263158,22188,21591,1.027650409893011,1.021111111111111
2014,443.5,450,577.0263157894736,568.1842105263158,21927,21591,1.0155620397387801,0.9855555555555555
2015,450,450,568.1842105263158,568.1842105263158,21591,21591,1,1
2016,453,450,566.421052631579,568.1842105263158,21524,21591,0.9968968551711361,1.0066666666666666
2017,459,450,571.2631578947369,568.1842105263158,21708,21591,1.0054189245518965,1.02
2018,453.5,450,575.3684210526316,568.1842105263158,21864,21591,1.0126441572877587,1.0077777777777779
2019,477.5,450,580.421052631579,568.1842105263158,22056,21591,1.0215367514242046,1.0611111111111111
2020,494,450,595.3684210526316,568.1842105263158,22624,21591,1.0478440090778565,1.0977777777777777
