Year,secondary_schools,secondary_pupils,base_year_census,index_factor
1966,NA,283592,316594,0.8957592373828942
1967,665,288054,316594,0.9098529978458214
1968,640,295625,316594,0.9337669065111783
1969,616,307185,316594,0.9702805485890447
1970,441,317027,316594,1.0013676822681414
1971,541,327514,316594,1.0344921255614445
1972,516,337535,316594,1.0661446521412281
1973,492,351543,316594,1.1103905948944073
1974,478,384786,316594,1.2153925848247282
1975,467,411642,316594,1.3002204716450723
1976,464,416347,316594,1.3150817766603284
1977,458,419555,316594,1.325214628198892
1978,466,422263,316594,1.3337681699590012
1979,468,421966,316594,1.3328300599505991
1980,467,419373,316594,1.3246397594395345
1981,441,415763,316594,1.3132371428390937
1982,463,410048,316594,1.2951856320713595
1983,464,401423,316594,1.2679425383930207
1984,459,387195,316594,1.2230016993373216
1985,441,360642,316594,1.1391308742427209
1986,441,344934,316594,1.0895152782427968
1987,439,327610,316594,1.0347953530389078
1988,435,312118,316594,0.985862018863276
1989,430,299004,316594,0.9444398819939733
1990,425,294101,316594,0.9289531703064493
1991,420,296991,316594,0.9380815808259159
1992,414,303624,316594,0.9590327043468923
1993,410,311833,316594,0.9849618122895569
1994,407,315430,316594,0.9963233668357581
1995,406,316957,316594,1.0011465788991578
1996,403,316594,316594,1
1997,401,314889,316594,0.9946145536554705
1998,392,313204,316594,0.989292279702079
1999,389,315356,316594,0.9960896289885468
2000,389,317704,316594,1.0035060677081689
2001,387,316359,316594,0.9992577244041264
2002,386,316903,316594,1.0009760134430847
2003,386,318427,316594,1.0057897496478139
2004,386,318065,316594,1.0046463293682129
2005,385,315840,316594,0.9976184008540907
2006,381,312979,316594,0.9885815903017745
2007,378,309560,316594,0.9777822700367031
2008,376,303978,316594,0.960150855670038
2009,374,302921,316594,0.9568121947983853
2010,372,301007,316594,0.9507665969664618
2011,367,297109,316594,0.9384542979336311
2012,365,293562,316594,0.9272506743652754
2013,364,289164,316594,0.9133590655539903
2014,362,284762,316594,0.8994548222644775
2015,361,281939,316594,0.8905380392553238
2016,359,280983,316594,0.887518398958919
2017,360,281993,316594,0.8907086047113969
2018,357,286152,316594,0.9038453034485808
2019,358,292063,316594,0.922515903649469
2020,357,300954,316594,0.9505991901299456
