year,all-Higher,male-Higher,female-Higher,NotKnown-Higher,NA-Higher,all-NewHigher,male-NewHigher,female-NewHigher,NotKnown-NewHigher,NA-NewHigher,all-AdvancedHigher,male-AdvancedHigher,female-AdvancedHigher,NotKnown-AdvancedHigher,NA-AdvancedHigher,all-OrdinaryGrade,male-OrdinaryGrade,female-OrdinaryGrade,NotKnown-OrdinaryGrade,NA-OrdinaryGrade,all-StandardGrade,male-StandardGrade,female-StandardGrade,NotKnown-StandardGrade,NA-StandardGrade,all-CSYS,male-CSYS,female-CSYS,NotKnown-CSYS,NA-CSYS,all-HigherNational,male-HigherNational,female-HigherNational,NotKnown-HigherNational,NA-HigherNational,all-HNCS,male-HNCS,female-HNCS,NotKnown-HNCS,NA-HNCS,all-HNDS,male-HNDS,female-HNDS,NotKnown-HNDS,NA-HNDS,all-HigherNationalUnit,male-HigherNationalUnit,female-HigherNationalUnit,NotKnown-HigherNationalUnit,NA-HigherNationalUnit,all-HNPDA,male-HNPDA,female-HNPDA,NotKnown-HNPDA,NA-HNPDA,all-National5,male-National5,female-National5,NotKnown-National5,NA-National5,all-National4,male-National4,female-National4,NotKnown-National4,NA-National4,all-National3,male-National3,female-National3,NotKnown-National3,NA-National3,all-National2,male-National2,female-National2,NotKnown-National2,NA-National2,all-Intermediate1,male-Intermediate1,female-Intermediate1,NotKnown-Intermediate1,NA-Intermediate1,all-Intermediate2,male-Intermediate2,female-Intermediate2,NotKnown-Intermediate2,NA-Intermediate2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,"444,888","211,189","263,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"35,447","15,366","20,081",,,52004,24128,27876,,,,,,,,,,,,,"62,631","31,234","31,397",,," 8,583 "," 3,800 "," 4,783 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6695,3061,3634,,,"23,660","11,409","12,251",,
2001,"13,102","5,691","7,411",,,"55,801","25,367","30,434",,,"5,329","2,576","2,753",,,,,,,,"62,782","31,797","30,985",,,"5,973","2,613","3,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10841,5096,5745,,,"32,404","15,625","16,779",,
