year,all-Higher,male-Higher,female-Higher,NotKnown-Higher,NA-Higher,all-NewHigher,male-NewHigher,female-NewHigher,NotKnown-NewHigher,NA-NewHigher,all-AdvancedHigher,male-AdvancedHigher,female-AdvancedHigher,NotKnown-AdvancedHigher,NA-AdvancedHigher,all-OrdinaryGrade,male-OrdinaryGrade,female-OrdinaryGrade,NotKnown-OrdinaryGrade,NA-OrdinaryGrade,all-StandardGrade,male-StandardGrade,female-StandardGrade,NotKnown-StandardGrade,NA-StandardGrade,all-CSYS,male-CSYS,female-CSYS,NotKnown-CSYS,NA-CSYS,all-HigherNational,male-HigherNational,female-HigherNational,NotKnown-HigherNational,NA-HigherNational,all-HNCS,male-HNCS,female-HNCS,NotKnown-HNCS,NA-HNCS,all-HNDS,male-HNDS,female-HNDS,NotKnown-HNDS,NA-HNDS,all-HigherNationalUnit,male-HigherNationalUnit,female-HigherNationalUnit,NotKnown-HigherNationalUnit,NA-HigherNationalUnit,all-HNPDA,male-HNPDA,female-HNPDA,NotKnown-HNPDA,NA-HNPDA,all-National5,male-National5,female-National5,NotKnown-National5,NA-National5,all-National4,male-National4,female-National4,NotKnown-National4,NA-National4,all-National3,male-National3,female-National3,NotKnown-National3,NA-National3,all-National2,male-National2,female-National2,NotKnown-National2,NA-National2,all-Intermediate1,male-Intermediate1,female-Intermediate1,NotKnown-Intermediate1,NA-Intermediate1,all-Intermediate2,male-Intermediate2,female-Intermediate2,NotKnown-Intermediate2,NA-Intermediate2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,166403,78372,88031,,,,,,,,,,,,,,,,,,32095,16609,15486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,165936,77016,88920,,,,,,,,,,,,,,,,,,41080,21476,19604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,169818,78651,91167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,166845,77267,89578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,158191,74154,84037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,155794,70760,85034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,157995,72230,85765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,159548,73418,86130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,160646,73243,87403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,160925,73771,87154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,164701,75917,88784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,165936,77016,88920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,163807,74290,89517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,160908,73638,87270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"46,112","19,965","26,147",,,117045,54917,62128,,,,,,,,,,,,,"452,565","224,182","228,383",,," 13,005 "," 6,120 "," 6,885 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8096,3706,4390,,,"34,590","17,126","17,464",,
