Subject,male-Entries,male-SCQF3,male-SCQF4,male-SCQF5,male-SCQF6,female-Entries,female-SCQF3,female-SCQF4,female-SCQF5,female-SCQF6,all-Entries,all-SCQF3,all-SCQF4,all-SCQF5,all-SCQF6,NumberOfCentres
Accounting,45,,,45,,49,,,49,,94,,,94,,
Acting and Theatre Performance,86,,,,86,140,,,,140,226,,,,226,
Administration,89,,,89,,497,,,497,,586,,,586,,
An Introduction to Horticulture,88,,88,,,14,,14,,,102,,102,,,
Animal Care,35,,,35,,192,,,192,,227,,,227,,
Applied Sciences,81,,,81,,101,,,101,,182,,,182,,
Army Preparation,29,,29,,,7,,7,,,36,,36,,,
Art and Design,168,,,,168,367,,,,367,535,,,,535,
Beauty Care,3,,,,3,602,,,,602,605,,,,605,
Beauty Care and Make-Up,3,,,3,,505,,,505,,508,,,508,,
Built Environment,229,,,,229,16,,,,16,245,,,,245,
Business,179,,32,147,,250,,65,185,,429,,97,332,,
"Child, Health and Social Care",49,,,49,,802,,,802,,851,,,851,,
Digital Media Computing,803,,135,522,146,118,,31,70,17,921,,166,592,163,
Early Education and Childcare,43,,,,43,1324,,,,1324,1367,,,,1367,
Electrical Engineering,666,,,350,316,33,,,18,15,699,,,368,331,
Employability and Citizenship,24,24,,,,33,33,,,,57,57,,,,
Engineering Systems,221,,,,221,24,,,,24,245,,,,245,
ESOL for Employability,18,,18,,,43,,43,,,61,,61,,,
Fabrication and Welding Engineering,383,,,383,,11,,,11,,394,,,394,,
Hairdressing,47,,,29,18,1043,,,719,324,1090,,,748,342,
Health and Social Care,118,,,,118,1035,,,,1035,1153,,,,1153,
Horse Care,14,,,14,,206,,,206,,220,,,220,,
Land-based Engineering: An Introduction,21,,21,,,0,,0,,,21,,21,,,
Make-Up Artistry,3,,,,3,174,,,,174,177,,,,177,
Manufacturing Engineering,499,,,288,211,27,,,18,9,526,,,306,220,
Mechanical Engineering,269,,,,269,26,,,,26,295,,,,295,
Mechanical Maintenance Engineering,148,,,148,,6,,,6,,154,,,154,,
Personal and Vocational Skills,15,,15,,,12,,12,,,27,,27,,,
Photography,83,,,,83,146,,,,146,229,,,,229,
Professional Cookery,94,,,94,,71,,,71,,165,,,165,,
Rural Skills,24,,24,,,4,,4,,,28,,28,,,
Shipping and Maritime Operations,199,,,,199,7,,,,7,206,,,,206,
Social Sciences,172,,,83,89,311,,,145,166,483,,,228,255,
Sound Production,176,,,,176,34,,,,34,210,,,,210,
Sport and Fitness,434,,78,356,,97,,12,85,,531,,90,441,,
Travel and Tourism,56,,,56,,194,,,194,,250,,,250,,
Computer Games Development,93,,,93,,8,,,8,,101,,,101,,
Horticulture,70,,,70,,13,,,13,,83,,,83,,
Music,144,,,,144,70,,,,70,214,,,,214,
Electronic Engineering,164,,,,164,8,,,,8,172,,,,172,
Fashion Design and Manufacture,14,,,,14,142,,,,142,156,,,,156,
