Subject,male-Entries,male-percentage,male-SCQF3,male-SCQF4,male-SCQF5,male-SCQF6,female-Entries,female-percentage,female-SCQF3,female-SCQF4,female-SCQF5,female-SCQF6,all-Entries,all-SCQF3,all-SCQF4,all-SCQF5,all-SCQF6,NumberOfCentres
Accounting,,,,,67,,,,,,84,,,,,151,,
Acting and Theatre Performance,,,,,,108,,,,,,152,260,,,,260,
Administration,,,,,91,,,,,,358,,,,,449,,
An Introduction to Horticulture,,,,95,,,,,,12,,,,,107,,,
Animal Care,,,,,38,,,,,,211,,,,,249,,
Applied Sciences,,,,,54,92,,,,,67,105,,,,121,197,
Army Preparation,,,,23,,,,,,4,,,,,27,,,
Art and Design,,,,,,156,,,,,,318,474,,,,,
Beauty Care,,,,,,6,,,,,,510,516,,,,516,
Beauty Care and Make-Up,,,,,7,,,,,,424,,,,,431,,
Built Environment,,,,,,224,,,,,,21,245,,,,245,
Business,,,,14,170,,,,,34,222,,440,,48,392,,
"Child, Health and Social Care",,,,,38,,,,,,630,,668,,,668,,
Computing with Digital Media,,,,49,334,172,,,,8,40,33,636,,57,374,205,
Digital Media Computing,,,,29,163,,,,,10,21,,223,,39,184,,
Early Education and Childcare,,,,,,48,,,,,,1098,1146,,,,1146,
Electrical Engineering,,,,,388,415,,,,,20,13,836,,,408,428,
Employability and Citizenship,,,10,,,,,,8,,,,18,18,,,,
Engineering Systems,,,,,,196,,,,,,14,210,,,,210,
ESOL for Employability,,,,12,,,,,,10,,,22,,22,,,
Fabrication and Welding Engineering,,,,,404,,,,,,11,,415,,,415,,
Greenkeeping: An Introduction,,,,4,,,,,,1,,,5,,5,,,
Hairdressing,,,,,28,14,,,,,684,439,1165,,,712,453,
Health and Social Care,,,,,,52,,,,,,765,817,,,,817,
Horse Care,,,,,5,,,,,,161,,166,,,166,,
Hospitality,,,,,77,,,,,,109,,186,,,186,,
Land-based Engineering: An Introduction,,,,29,,,,,,2,,,31,,31,,,
Make-Up Artistry,,,,,,8,,,,,,244,252,,,,252,
Manufacturing Engineering,,,,,282,159,,,,,16,7,464,,,298,166,
Mechanical Engineering,,,,,,305,,,,,,33,338,,,,338,
Mechanical Maintenance Engineering,,,,,101,,,,,,8,,109,,,109,,
Personal and Vocational Skills,,,11,41,,,,,2,89,,,143,13,130,,,
Photography,,,,,,106,,,,,,198,304,,,,304,
Professional Cookery,,,,,171,116,,,,,170,150,607,,,341,266,
Rural Skills,,,,54,,,,,,7,,,61,,61,,,
Shipping and Maritime Operations,,,,,,170,,,,,,7,177,,,,177,
Social Sciences,,,,,156,212,,,,,305,483,1156,,,461,695,
Sound Production,,,,,,214,,,,,,26,240,,,,240,
Sport and Fitness,,,,89,414,,,,,23,115,,641,,112,529,,
Travel and Tourism,,,,,53,31,,,,,207,161,452,,,260,192,
