year,secondary_pupils,index_factor,Subject,gender,NoOfStudents_orig,NoOfStudents,popularity,popularityOverTime,Subject.label
1986,344934,1.0895152782427968,Biology,female,7859,7213,31,0.9117647058823529,<span style = 'color: black; font-weight: normal;'>Biology</span>
1986,344934,1.0895152782427968,Chemistry,female,6411,5884,30,0.8823529411764706,<span style = 'color: black; font-weight: normal;'>Chemistry</span>
1986,344934,1.0895152782427968,French,female,5869,5387,6,0.17647058823529413,<span style = 'color: black; font-weight: normal;'>French</span>
1986,344934,1.0895152782427968,Secretarial Studies,female,5009,4597,4,0.11764705882352941,<span style = 'color: black; font-weight: normal;'>Secretarial Studies</span>
1986,344934,1.0895152782427968,Geography,female,3751,3443,2,0.058823529411764705,<span style = 'color: black; font-weight: normal;'>Geography</span>
1986,344934,1.0895152782427968,Physics,male,9411,8638,30,0.8823529411764706,<span style = 'color: black; font-weight: normal;'>Physics</span>
1986,344934,1.0895152782427968,Chemistry,male,8340,7655,29,0.8529411764705882,<span style = 'color: black; font-weight: normal;'>Chemistry</span>
1986,344934,1.0895152782427968,Geography,male,5441,4994,25,0.7352941176470589,<span style = 'color: black; font-weight: normal;'>Geography</span>
1986,344934,1.0895152782427968,Biology,male,3875,3557,12,0.35294117647058826,<span style = 'color: black; font-weight: normal;'>Biology</span>
1986,344934,1.0895152782427968,Modern Studies,male,2991,2745,9,0.2647058823529412,<span style = 'color: black; font-weight: normal;'>Modern Studies</span>
1987,327610,1.0347953530389078,Biology,female,8241,7964,31,0.9117647058823529,<span style = 'color: black; font-weight: normal;'>Biology</span>
1987,327610,1.0347953530389078,Chemistry,female,6075,5871,30,0.8823529411764706,<span style = 'color: black; font-weight: normal;'>Chemistry</span>
1987,327610,1.0347953530389078,Secretarial Studies,female,5414,5232,4,0.11764705882352941,<span style = 'color: black; font-weight: normal;'>Secretarial Studies</span>
1987,327610,1.0347953530389078,French,female,5311,5132,6,0.17647058823529413,<span style = 'color: black; font-weight: normal;'>French</span>
1987,327610,1.0347953530389078,Art and Design,female,4026,3891,23,0.6764705882352942,<span style = 'color: black; font-weight: normal;'>Art and Design</span>
1987,327610,1.0347953530389078,Physics,male,9232,8922,30,0.8823529411764706,<span style = 'color: black; font-weight: normal;'>Physics</span>
1987,327610,1.0347953530389078,Chemistry,male,7827,7564,29,0.8529411764705882,<span style = 'color: black; font-weight: normal;'>Chemistry</span>
1987,327610,1.0347953530389078,Geography,male,5514,5329,25,0.7352941176470589,<span style = 'color: black; font-weight: normal;'>Geography</span>
1987,327610,1.0347953530389078,Biology,male,3973,3839,12,0.35294117647058826,<span style = 'color: black; font-weight: normal;'>Biology</span>
1987,327610,1.0347953530389078,Modern Studies,male,3092,2988,9,0.2647058823529412,<span style = 'color: black; font-weight: normal;'>Modern Studies</span>
1988,312118,0.985862018863276,Biology,female,8807,8933,31,0.9117647058823529,<span style = 'color: black; font-weight: normal;'>Biology</span>
1988,312118,0.985862018863276,Chemistry,female,6125,6213,30,0.8823529411764706,<span style = 'color: black; font-weight: normal;'>Chemistry</span>
