Subject,SubjectGroup,CommonSubjectLabel,qualification,year,SubjectTaken,SCQFLevel
English,English,English,National3,2014,Yes,3
English,English,English,National3,2015,Yes,3
English,English,English,National3,2016,Yes,3
English,English,English,National3,2017,Yes,3
English,English,English,National3,2018,Yes,3
English,English,English,National3,2019,Yes,3
English,English,English,National3,2020,Yes,3
English,English,English,National3,2021,Yes,3
English,English,English,Intermediate1,2003,Yes,4
English,English,English,Intermediate1,2004,Yes,4
English,English,English,Intermediate1,2005,Yes,4
English,English,English,Intermediate1,2006,Yes,4
English,English,English,Intermediate1,2007,Yes,4
English,English,English,Intermediate1,2008,Yes,4
English,English,English,Intermediate1,2009,Yes,4
English,English,English,Intermediate1,2010,Yes,4
English,English,English,Intermediate1,2011,Yes,4
English,English,English,Intermediate1,2012,Yes,4
English,English,English,Intermediate1,2013,Yes,4
English,English,English,Intermediate1,2014,Yes,4
English,English,English,Intermediate1,2015,Yes,4
English,English,English,National4,2014,Yes,4
English,English,English,National4,2015,Yes,4
English,English,English,National4,2016,Yes,4
English,English,English,National4,2017,Yes,4
English,English,English,National4,2018,Yes,4
English,English,English,National4,2019,Yes,4
English,English,English,National4,2020,Yes,4
English,English,English,National4,2021,Yes,4
English,English,English,OrdinaryGrade,1986,Yes,5
English,English,English,OrdinaryGrade,1987,Yes,5
English,English,English,OrdinaryGrade,1988,Yes,5
English,English,English,OrdinaryGrade,1989,Yes,5
English,English,English,OrdinaryGrade,1990,Yes,5
English,English,English,OrdinaryGrade,1991,Yes,5
English,English,English,OrdinaryGrade,1992,Yes,5
English,English,English,StandardGrade,1986,Yes,5
English,English,English,StandardGrade,1987,Yes,5
English,English,English,StandardGrade,1988,Yes,5
English,English,English,StandardGrade,1989,Yes,5
English,English,English,StandardGrade,1990,Yes,5
English,English,English,StandardGrade,1991,Yes,5
English,English,English,StandardGrade,1992,Yes,5
English,English,English,StandardGrade,1993,Yes,5
English,English,English,StandardGrade,1994,Yes,5
English,English,English,StandardGrade,1995,Yes,5
English,English,English,StandardGrade,1996,Yes,5
English,English,English,StandardGrade,1997,Yes,5
English,English,English,StandardGrade,1998,Yes,5
English,English,English,StandardGrade,1999,Yes,5
English,English,English,StandardGrade,2000,Yes,5
English,English,English,StandardGrade,2001,Yes,5
English,English,English,StandardGrade,2002,Yes,5
English,English,English,StandardGrade,2003,Yes,5
English,English,English,StandardGrade,2004,Yes,5
English,English,English,StandardGrade,2005,Yes,5
English,English,English,StandardGrade,2006,Yes,5
English,English,English,StandardGrade,2007,Yes,5
English,English,English,StandardGrade,2008,Yes,5
English,English,English,StandardGrade,2009,Yes,5
English,English,English,StandardGrade,2010,Yes,5
English,English,English,StandardGrade,2011,Yes,5
English,English,English,StandardGrade,2012,Yes,5
English,English,English,StandardGrade,2013,Yes,5
English,English,English,Intermediate2,2003,Yes,5
English,English,English,Intermediate2,2004,Yes,5
English,English,English,Intermediate2,2005,Yes,5
English,English,English,Intermediate2,2006,Yes,5
English,English,English,Intermediate2,2007,Yes,5
English,English,English,Intermediate2,2008,Yes,5
English,English,English,Intermediate2,2009,Yes,5
English,English,English,Intermediate2,2010,Yes,5
English,English,English,Intermediate2,2011,Yes,5
English,English,English,Intermediate2,2012,Yes,5
English,English,English,Intermediate2,2013,Yes,5
English,English,English,Intermediate2,2014,Yes,5
English,English,English,Intermediate2,2015,Yes,5
English,English,English,National5,2014,Yes,5
English,English,English,National5,2015,Yes,5
