Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,all-Entries,all-1,all-2,all-3,all-4,all-5,Number of Centres
Accounting,3864,0.376828555,490,618,1142,480,487,6390,0.623171445,938,1248,1943,728,742,10254,1428,1866,3085,1208,1229,474
Agricultural Science,88,0.88,10,16,25,14,11,12,0.12,4,1,1,1,5,100,14,17,26,15,16,12
"Anatomy, Physiology and Health",1149,0.239375,122,192,334,158,144,3651,0.760625,378,600,1001,575,468,4800,500,792,1335,733,612,274
Arithmetic,29687,0.321444426,7198,5637,8285,3232,2734,62668,0.678555574,6215,5684,9869,4294,3456,62355,13413,11321,18154,7526,6190,646
Art and Design,8928,0.455742726,438,1022,5186,882,1044,10662,0.544257274,966,1863,6125,803,740,19590,1404,2885,11311,1685,1784,529
Biology,8285,0.322335914,1482,1250,2132,1261,1137,17418,0.677664086,2333,2578,4640,2726,2687,25703,3815,3828,6772,3987,3824,567
Chemistry,14797,0.54925761,3729,2737,3533,2103,1784,12143,0.45074239,3116,2280,3134,1765,1376,26940,6845,5017,6667,3868,3160,506
Classical Studies,288,0.514285714,28,49,90,48,31,272,0.485714286,55,57,66,38,25,560,83,106,156,86,56,96
Computing,1221,0.62808642,219,305,370,128,93,723,0.37191358,64,167,237,111,68,1944,283,472,607,239,161,111
Craft and Design,8485,0.926107837,1363,1628,2474,1238,939,677,0.073892163,102,132,204,93,72,9162,1465,1760,2678,1331,1011,337
Economic History,107,0.511961722,22,24,31,9,13,102,0.488038278,21,23,35,7,8,209,43,47,66,16,21,13
Economics,1771,0.559380922,444,405,470,190,152,1395,0.440619078,227,273,422,191,162,3166,671,678,892,381,314,251
Engineering,1535,0.952824333,159,170,343,253,228,76,0.047175667,5,9,20,9,12,1611,164,179,363,262,240,177
English,34368,0.480637718,3095,4333,9793,6099,5422,37137,0.519362282,5759,6378,11534,5720,4288,71505,8854,10711,21327,11819,9710,675
French (Traditional),6846,0.356117353,1232,1258,1943,1057,991,12378,0.643882647,2658,2344,3357,1929,1554,19224,3890,3602,5300,2986,2545,441
French (Alternative),1726,0.34644721,315,348,513,214,200,3256,0.65355279,717,616,966,406,346,4982,1032,964,1479,620,546,118
Gaelic (Native Speakers),42,0.42,2,7,17,6,3,58,0.58,10,13,24,5,4,100,12,20,41,11,7,11
Gaelic (Learners),114,0.38,13,26,35,10,9,186,0.62,39,47,57,20,9,300,52,73,92,30,18,61
Geography,14716,0.59843032,2301,2819,4606,1758,1579,9875,0.40156968,2001,2021,2901,1075,914,24591,4302,4840,7507,2833,2493,488
Geology,241,0.734756098,37,53,60,36,33,87,0.265243902,11,14,33,14,9,328,48,67,93,50,42,55
German (Traditional),1395,0.310275801,292,252,446,154,172,3101,0.689724199,774,607,917,348,305,4496,1066,859,1363,502,477,340
German (Alternative),559,0.341061623,75,99,188,83,61,1080,0.658938377,188,222,305,142,117,1639,263,321,493,225,178,100
Greek,35,0.555555556,10,13,4,4,2,28,0.444444444,6,10,5,1,3,63,16,23,9,5,5,31
Hebrew,3,0.5,2,-,1,-,-,3,0.5,1,1,1,-,-,6,3,1,2,-,-,2
History (Traditional),1122,0.42791762,162,182,328,170,152,1500,0.57208238,308,285,434,182,158,2622,470,467,762,352,310,124
History (Alternative),7818,0.441669962,1235,1442,2348,1136,831,9883,0.558330038,1691,1642,2916,1376,1219,17701,2926,3084,5264,2512,2050,445
Home Economics (Fabric & Fashion),12,0.005102041,1,1,4,1,2,2340,0.994897959,241,354,793,305,362,2352,242,355,797,306,364,298
