Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-D,male-E,female-Entries,female-percentage,female-A,female-B,female-C,female-D,female-E,all-Entries,all-A,all-B,all-C,all-D,all-E,NumberOfCentres
Art and Design (Enquiry),102,0.264248705,12,22,38,25,5,284,0.735751295,29,50,116,76,13,386,41,72,154,101,18,154
Art and Design (Research and Appreciation),10,0.3125,-,2,4,4,-,22,0.6875,2,8,9,1,2,32,2,10,13,5,2,23
Biology,180,0.36809816,25,44,54,33,24,309,0.63190184,28,75,124,58,24,489,53,119,178,91,48,169
Chemistry,905,0.585003232,152,255,316,128,54,642,0.414996768,117,204,216,80,25,1547,269,459,532,208,79,292
Economics,34,0.772727273,2,7,17,7,1,10,0.227272727,-,4,3,3,-,44,2,11,20,10,1,14
Engineering,4,1,3,1,-,-,-,-,0,-,-,-,-,-,4,3,1,-,-,-,3
English,454,0.334069169,46,77,174,111,46,905,0.665930831,55,180,405,205,60,1359,101,257,579,316,106,318
French,100,0.176678445,14,28,41,13,4,466,0.823321555,65,142,191,58,10,566,79,170,232,71,14,206
Gaelic,-,0,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,1,-,-,1
Geography,217,0.572559367,16,66,100,32,3,162,0.427440633,8,60,72,20,2,379,24,126,172,52,5,156
German,25,0.153374233,5,11,5,2,2,138,0.846625767,24,40,61,10,3,163,29,51,66,12,5,103
Greek,-,0,-,-,-,-,-,2,1,1,-,1,-,-,2,1,-,1,-,-,2
History,315,0.47439759,19,109,154,32,1,349,0.52560241,33,132,146,37,1,664,52,241,300,69,2,221
Italian,-,0,-,-,-,-,-,8,1,1,5,2,-,-,8,1,5,2,-,-,5
Latin,7,0.2,-,2,2,3,-,28,0.8,3,5,9,8,3,35,3,7,11,11,3,27
Mathematics I,486,0.65060241,65,71,135,125,83,261,0.34939759,21,44,85,85,26,747,86,115,220,210,109,183
Mathematics II,1382,0.653736991,148,233,290,297,318,732,0.346263009,72,153,199,156,127,2114,220,386,489,453,445,339
Mathematics III,183,0.579113924,23,32,47,38,42,133,0.420886076,9,25,27,44,28,316,32,57,74,82,70,52
Mathematics IV,501,0.776744186,54,96,116,118,117,144,0.223255814,13,32,29,38,32,645,67,128,145,156,149,148
Mathematics V,136,0.855345912,17,22,26,30,22,23,0.144654088,4,6,6,4,3,159,21,28,32,34,25,49
Modern Studies ,53,0.4140625,3,15,26,7,2,75,0.5859375,6,29,26,11,3,128,9,44,52,18,5,68
Physics,873,0.845111326,107,139,252,264,109,160,0.154888674,21,51,44,38,6,1033,128,190,296,302,115,263
Russian,2,0.333333333,1,-,1,-,-,4,0.666666667,1,1,1,1,-,6,2,1,2,1,-,3
Secretarial Studies,2,0.03125,-,-,2,-,-,62,0.96875,2,24,29,7,-,64,2,24,31,7,-,30
Spanish,6,0.222222222,1,2,2,1,-,21,0.777777778,4,5,8,2,2,27,5,7,10,3,2,18
