Subject,male-Entries,male-1,male-2,male-3,male-4,male-5,female-Entries,female-1,female-2,female-3,female-4,female-5,all-Entries,all-1,all-2,all-3,all-4,all-5,NumberOfCentres
Accounting,"4,124",522,778,"1,174",487,514,"6,785","1,021","1,373","1,928",793,836,"10,909","1,543","2,151","3,102","1,280","1,350",481
Agricultural Science,77,4,12,25,9,8,21,4,4,9,2,-,98,8,16,34,11,8,10
"Anatomy, Physiology and Health","1,288",127,216,363,186,176,"3,523",402,667,961,571,414,"4,811",529,883,"1,324",757,590,269
Arithmetic,"29,236","6,673","5,841","7,980","3,167","2,962","32,560","5,959","6,202","9,560","4,077","3,600","61,796","12,632","12,043","17,540","7,244","6,562",628
Art and Design,"9,797",763,"1,442","5,000","1,689",655,"11,799","1,507","2,392","6,040","1,308",400,"21,596","2,270","3,834","11,040","2,997","1,055",520
Biology,"8,674","1,364","1,374","2,339","1,451","1,071","17,858","2,550","2,806","4,716","2,980","2,445","26,532","3,914","4,180","7,055","4,431","3,516",554
Chemistry,"14,449","3,854","2,502","3,349","1,936","1,848","12,242","3,042","2,315","3,127","1,558","1,552","26,691","6,896","4,817","6,476","3,494","3,400",496
Classical Studies,276,39,57,88,34,26,300,66,60,88,32,31,576,105,117,176,66,57,102
Computing,"2,316",428,532,715,261,166,"1,281",169,276,429,176,111,"3,597",597,808,"1,144",437,277,169
Craft and Design,"10,668","1,613","2,120","3,207","1,464","1,172","1,016",142,229,332,143,106,"11,684","1,755","2,349","3,539","1,607","1,278",369
Economic History,104,24,22,36,7,10,85,22,21,22,9,4,189,46,43,58,16,14,10
Economics,"1,878",486,395,519,205,161,"1,516",251,270,472,225,184,"3,394",737,665,991,430,345,245
Engineering,"1,281",104,157,354,178,202,71,8,10,21,7,7,"1,352",112,167,375,185,209,153
English,"33,709","2,746","4,677","10,071","6,118","4,838","36,711","4,795","6,201","11,304","5,776","4,481","70,420","7,541","10,878","21,375","11,894","9,319",673
French (Traditional),"6,764","1,365","1,253","1,920",965,780,"12,299","2,689","2,305","3,536","1,599","1,328","19,063","4,054","3,558","5,456","2,564","2,108",439
French (Alternative),"1,606",262,268,523,215,196,"3,109",675,622,949,337,298,"4,715",937,890,"1,472",552,494,109
Gaelic (Native Speakers),54,7,11,14,6,10,55,16,13,16,4,4,109,23,24,30,10,14,13
Gaelic (Learners),132,20,46,31,14,11,196,32,48,55,27,9,328,52,94,86,41,20,53
