Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-D,male-E,female-Entries,female-percentage,female-A,female-B,female-C,female-D,female-E,all-Entries,all-A,all-B,all-C,all-D,all-E,Number of centres
Art and Design (Enquiry),136,0.346938776,5,18,36,63,14,256,0.653061224,12,39,103,83,18,392,17,57,139,146,32,147
Art and Design (Research and Appreciation),6,0.25,-,2,2,2,-,18,0.75,2,4,9,3,-,24,2,6,11,5,-,21
Biology,221,0.346938776,24,51,71,38,37,416,0.653061224,48,110,159,73,26,637,72,161,230,111,63,192
Chemistry,858,0.569721116,156,240,289,113,60,648,0.430278884,96,197,236,91,28,1506,252,437,525,204,88,295
Economics,59,0.728395062,7,15,18,16,3,22,0.271604938,1,5,13,1,2,81,8,20,31,17,5,22
Engineering,2,1,1,1,-,-,-,-,0,-,-,-,-,-,2,1,1,-,-,-,2
English,462,0.315143247,40,86,199,101,36,1004,0.684856753,68,218,473,204,41,1466,108,304,672,305,77,320
French,96,0.187134503,16,30,35,13,2,417,0.812865497,53,118,177,52,17,513,69,148,212,65,19,202
Gaelic,-,0,-,-,-,-,-,3,1,-,1,2,-,-,3,-,1,2,-,-,2
Geography,209,0.552910053,13,63,100,32,1,169,0.447089947,10,56,86,17,-,378,23,119,186,49,1,147
German,22,0.149659864,3,7,9,-,3,125,0.850340136,15,49,52,7,2,147,18,56,61,7,5,80
Greek,-,0,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,1,-,-,1
History,309,0.442060086,25,126,122,36,-,390,0.557939914,20,157,189,24,-,699,45,283,311,60,-,232
Italian,2,0.166666667,1,-,1,-,-,10,0.833333333,4,3,2,1,-,12,5,3,3,1,-,8
Latin,19,0.441860465,6,3,8,1,1,24,0.558139535,5,9,6,1,3,43,11,12,14,2,4,31
Mathematics I,511,0.679521277,67,76,134,140,80,241,0.320478723,24,37,76,74,29,752,91,113,210,214,109,187
Mathematics II,1397,0.67815534,148,237,303,319,308,663,0.32184466,84,149,168,138,111,2060,232,386,471,457,419,333
Mathematics III,198,0.632587859,19,39,42,50,43,115,0.367412141,12,23,26,33,17,313,31,62,68,83,60,50
Mathematics IV,449,0.797513321,53,110,130,95,61,114,0.202486679,11,18,34,27,24,563,64,128,164,122,85,134
Mathematics V,147,0.924528302,29,28,40,18,26,12,0.075471698,2,2,4,-,4,159,31,30,44,18,30,44
Modern Studies ,84,0.49704142,8,20,37,16,3,85,0.50295858,4,29,38,11,3,169,12,49,75,27,6,76
Physics,883,0.825233645,92,127,316,228,112,187,0.174766355,30,32,68,47,10,1070,122,159,384,275,122,273
Russian,1,0.142857143,-,1,-,-,-,6,0.857142857,2,2,2,-,-,7,2,3,2,-,-,4
Secretarial Studies,1,0.018867925,-,-,1,-,-,52,0.981132075,1,23,28,-,-,53,1,23,29,-,-,26
Spanish,5,0.217391304,1,-,4,-,-,18,0.782608696,2,9,6,1,-,23,3,9,10,1,-,15
