Subject,male-Entries,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Art and Design,"5,298",53,469,"1,082","1,320",899,287,7,"5,947",161,"1,085","1,792","1,384",602,123,1,"11,245",214,"1,554","2,874","2,704","1,501",410,8,243
Biology,730,103,170,169,102,94,44,-,"1,522",151,418,387,219,163,106,-,"2,252",254,588,556,321,257,150,-,52
Chemistry,"1,635",261,401,465,221,138,74,9,"1,382",179,350,463,166,121,46,3,"3,017",440,751,928,387,259,120,12,54
Classical Studies,114,4,13,21,10,17,11,1,97,12,19,15,21,6,7,1,211,16,32,36,31,23,18,2,17
Computing Studies,"7,302",356,894,"1,255","1,534","1,300",995,239,"4,146",135,493,717,970,823,547,112,"11,448",491,"1,387","1,972","2,504","2,123","1,542",351,339
Contemporary Social Studies,"2,279",3,1,38,263,774,646,26,"1,917",-,6,44,269,657,529,25,"4,196",3,7,82,532,"1,431","1,175",51,175
Craft and Design,"10,622",120,816,"1,780","2,574","2,318","1,187",122,"1,724",33,146,309,379,367,187,22,"12,346",153,962,"2,089","2,953","2,685","1,374",144,363
English,"29,682","1,096","4,760","8,747","8,396","3,828",508,2,"29,734","1,932","7,180","10,172","6,748","2,020",197,2,"59,416","3,028","11,940","18,919","15,144","5,848",705,4,480
French,"6,467",638,"1,324","1,601","1,425",871,277,13,"10,821","1,337","2,323","2,723","2,367","1,207",386,18,"17,288","1,975","3,647","4,324","3,792","2,078",663,31,358
French  (Writing)*,"4,586",172,549,"2,799",724,-,-,-,"8,252",362,"1,202","5,329",976,-,-,-,"12,838",534,"1,751","8,128","1,700",-,-,-,333
Gaelic (Native Speakers),19,-,-,2,7,3,-,-,17,-,-,11,2,2,2,-,36,-,-,13,9,5,2,-,3
Gaelic (Learners),31,-,1,9,6,7,5,1,58,2,6,20,9,10,9,1,89,2,7,29,15,17,14,2,14
Gaelic (Learners) (Writing)*,6,-,-,1,2,-,-,-,21,1,3,2,10,-,-,-,27,1,3,3,12,-,-,-,7
Geography,"1,351",40,158,216,219,278,253,44,972,36,103,176,171,197,162,31,"2,323",76,261,392,390,475,415,75,88
German,"1,022",155,267,251,198,70,10,1,"1,718",322,512,435,276,81,13,1,"2,740",477,779,686,474,151,23,2,142
German (Writing)*,763,44,142,214,270,-,-,-,"1,426",100,372,436,388,-,-,-,"2,189",144,514,650,658,-,-,-,137
History,655,17,32,61,113,172,154,17,752,32,61,99,186,183,98,5,"1,407",49,93,160,299,355,252,22,58
Home Economics,"3,092",-,25,147,478,860,589,43,"7,478",21,435,"1,406","2,241","1,683",481,21,"10,570",21,460,"1,553","2,719","2,543","1,070",64,331
Italian,19,-,1,5,5,3,1,-,34,7,5,10,7,2,2,-,53,7,6,15,12,5,3,-,6
Italian (Writing)*,13,-,-,3,4,-,-,-,31,3,4,7,4,-,-,-,44,3,4,10,8,-,-,-,4
Latin,503,150,158,72,51,51,11,5,739,237,224,125,65,40,30,3,"1,242",387,382,197,116,91,41,8,139
Mathematics,"29,417","2,792","3,260","4,879","4,839","7,626","3,057",970,"29,109","2,237","3,379","4,858","5,253","7,951","3,001",892,"58,526","5,029","6,639","9,737","10,092","15,577","6,058","1,862",483
Modern Studies,466,11,28,60,97,110,84,15,535,19,47,67,123,107,93,20,"1,001",30,75,127,220,217,177,35,40
Music,"1,475",136,269,275,234,234,73,-,"2,097",240,475,489,372,227,67,1,"3,572",376,744,764,606,461,140,1,221
Office and Information Studies,606,5,56,105,176,97,77,6,"2,661",51,356,724,786,372,153,13,"3,267",56,412,829,962,469,230,19,91
Physical Education,"4,016",40,504,"1,256","1,050",423,69,1,"2,044",24,237,587,551,296,41,1,"6,060",64,741,"1,843","1,601",719,110,2,191
Physics,"2,414",486,732,563,270,179,92,21,"1,017",218,373,226,80,57,32,3,"3,431",704,"1,105",789,350,236,124,24,71
Religious Studies,82,1,3,18,13,11,11,6,138,4,18,22,29,20,22,4,220,5,21,40,42,31,33,10,14
Russian,13,1,3,3,3,2,1,-,31,13,6,4,6,2,-,-,44,14,9,7,9,4,1,-,5
Russian (Writing)*,8,-,-,4,4,-,-,-,26,7,5,7,7,-,-,-,34,7,5,11,11,-,-,-,3
Science,"9,936",1,51,441,"1,895","2,877","2,415",456,"8,362",4,38,331,"1,447","2,496","2,296",399,"18,298",5,89,772,"3,342","5,373","4,711",855,426
Social and Vocational Skills,"2,438",44,197,477,627,424,147,8,"2,310",117,395,657,498,264,60,4,"4,748",161,592,"1,134","1,125",688,207,12,218
Spanish,108,15,24,25,21,10,2,-,186,35,40,49,30,12,3,1,294,50,64,74,51,22,5,1,25
Spanish (Writing)*,70,6,13,24,14,-,-,-,127,13,35,40,26,-,-,-,197,19,48,64,40,-,-,-,20
Technological Studies,"2,016",53,223,358,481,389,248,35,210,6,19,31,54,44,33,5,"2,226",59,242,389,535,433,281,40,118
