Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,all-Entries,all-1,all-2,all-3,all-4,all-5,NumberOfCentres
Accounting,2311,0.389253832,352,410,676,292,240,3626,0.610746168,729,657,1046,435,384,5937,1081,1067,1722,727,624,374
Agricultural Science,6,0.5,-,-,4,-,1,6,0.5,2,1,2,-,1,12,2,1,6,-,2,6
"Anatomy, Physiology and Health",195,0.223623853,38,35,57,27,19,677,0.776376147,93,138,182,108,72,872,131,173,239,135,91,119
Arithmetic,42,0.518518519,1,5,14,13,5,39,0.481481481,1,2,20,10,4,81,2,7,34,23,9,38
Art and Design,13,0.722222222,-,2,6,5,-,5,0.277777778,-,1,3,1,-,18,-,3,9,6,-,10
Biology,847,0.361348123,131,142,228,140,142,1497,0.638651877,241,235,432,279,193,2344,372,377,660,419,335,236
Chemistry,397,0.419661734,91,73,86,61,61,549,0.580338266,115,126,152,78,56,946,206,199,238,139,117,142
Classical Studies,132,0.382608696,29,33,26,17,15,213,0.617391304,82,51,47,18,8,345,111,84,73,35,23,58
Computing,4,0.666666667,-,-,4,-,-,2,0.333333333,-,-,-,1,-,6,-,-,4,1,-,3
Craft and Design,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Economic History,47,0.61038961,14,11,10,5,4,30,0.38961039,6,7,12,3,1,77,20,18,22,8,5,8
Economics,728,0.535688006,180,159,222,82,51,631,0.464311994,121,135,194,80,63,1359,301,294,416,162,114,133
Engineering,59,0.893939394,3,6,11,14,11,7,0.106060606,-,2,2,-,2,66,3,8,13,14,13,9
English,32,0.581818182,-,3,16,8,4,23,0.418181818,-,2,9,7,4,55,-,5,25,15,8,34
French (Traditional),4,0.5,-,-,1,2,1,4,0.5,-,-,1,3,-,8,-,-,2,5,1,7
French (Alternative),-,0,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,1,-,-,1
Gaidhlig,1,1,1,-,-,-,-,-,0,-,-,-,-,-,1,1,-,-,-,-,1
Gaelic (Learners),30,0.322580645,12,6,5,2,2,63,0.677419355,38,12,9,3,-,93,50,18,14,5,2,30
Geography,591,0.541208791,100,132,185,63,69,501,0.458791209,99,105,157,49,51,1092,199,237,342,112,120,99
Geology,93,0.645833333,12,15,30,15,9,51,0.354166667,7,7,18,8,7,144,19,22,48,23,16,24
German (Traditional),168,0.388888889,52,49,38,16,4,264,0.611111111,94,57,68,26,9,432,146,106,106,42,13,66
German (Alternative),4,0.307692308,1,-,1,1,1,9,0.692307692,1,3,3,2,-,13,2,3,4,3,1,5
Greek,3,0.428571429,1,-,-,2,-,4,0.571428571,3,1,-,-,-,7,4,1,-,2,-,5
Hebrew,7,0.28,7,-,-,-,-,18,0.72,9,3,5,1,-,25,16,3,5,1,-,2
History (Traditional),127,0.448763251,13,18,43,23,15,156,0.551236749,25,17,48,25,30,283,38,35,91,48,45,42
History (Alternative),341,0.407894737,48,57,112,59,31,495,0.592105263,100,80,133,79,63,836,148,137,245,138,94,103
Home Economics (Fabric & Fashion),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Home Economics (Food & Nutrition),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Horticultural Science,51,0.739130435,8,8,15,7,5,18,0.260869565,5,3,9,1,-,69,13,11,24,8,5,6
Italian (Traditional),81,0.253125,29,18,21,6,7,239,0.746875,109,47,46,21,11,320,138,65,67,27,18,52
Italian (Alternative),2,0.333333333,1,-,-,-,-,4,0.666666667,1,2,1,-,-,6,2,2,1,-,-,2
Latin,4,1,2,-,1,-,-,-,0,-,-,-,-,-,4,2,-,1,-,-,2
Mathematics,40,0.519480519,1,7,10,10,6,37,0.480519481,2,4,10,8,9,77,3,11,20,18,15,31
Modern Studies,284,0.437596302,47,48,80,55,32,365,0.562403698,52,85,118,50,32,649,99,133,198,105,64,77
Music (Traditional),1,0.055555556,-,1,-,-,-,17,0.944444444,2,6,8,1,-,18,2,7,8,1,-,5
Music (Alternative),9,0.225,1,3,3,2,-,31,0.775,11,7,7,6,-,40,12,10,10,8,-,13
Navigation,21,0.913043478,2,-,4,1,3,2,0.086956522,-,1,-,-,1,23,2,1,4,1,4,3
Norwegian,12,0.571428571,4,3,4,-,-,9,0.428571429,3,-,4,1,1,21,7,3,8,1,1,10
Physics,620,0.616302187,99,113,169,99,87,386,0.383697813,93,98,92,51,27,1006,192,211,261,150,114,167
Portuguese,1,1,-,-,1,-,-,-,0,-,-,-,-,-,1,-,-,1,-,-,1
Religious Studies,14,0.172839506,-,3,5,3,1,67,0.827160494,8,16,22,10,2,81,8,19,27,13,3,23
Russian (Traditional),21,0.338709677,7,6,8,-,-,41,0.661290323,14,11,10,2,-,62,21,17,18,2,-,17
Russian (Alternative),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Seamanship and Nautical Knowledge,7,1,-,1,-,1,2,-,0,-,-,-,-,-,7,-,1,-,1,2,2
Secretarial Studies (Audio-typewriting),27,0.052325581,2,6,10,3,3,489,0.947674419,71,123,141,61,37,516,73,129,151,64,40,38
Secretarial Studies (Word Processing),86,0.120617111,8,23,32,10,8,627,0.879382889,126,153,182,73,48,713,134,176,214,83,56,78
Spanish (Traditional),75,0.253378378,25,14,17,9,6,221,0.746621622,63,50,67,22,11,296,88,64,84,31,17,56
Spanish (Alternative),15,0.238095238,-,4,6,1,4,48,0.761904762,11,4,16,6,6,63,11,8,22,7,10,2
Statistics,146,0.55513308,45,23,32,15,19,117,0.44486692,27,20,31,17,11,263,72,43,63,32,30,29
Swedish,1,0.5,-,1,-,-,- ,1,0.5,-,1,-,-,-,2,-,2,-,-,-,2
Technical Drawing,3952,0.847704848,489,668,1017,596,536,710,0.152295152,52,105,209,136,98,4662,541,773,1226,732,634,342
