Subject,male-Entries,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
English (Revised),"14,057","1,785","2,885","4,545","9,215","2,959","18,351","2,820","4,296","5,826","12,942","3,545","32,408","4,605","7,181","10,371","22,157","6,504",542
English,998,118,181,300,599,245,"1,389",157,250,430,837,326,"2,387",275,431,730,"1,436",571,98
French (Revised),"1,601",242,380,493,"1,115",337,"4,424",623,"1,056","1,388","3,067",938,"6,025",865,"1,436","1,881","4,182","1,275",436
French,112,15,31,34,80,16,173,16,43,59,118,26,285,31,74,93,198,42,41
Gáidhlig (Revised),11,6,3,2,11,-,19,5,8,4,17,2,30,11,11,6,28,2,4
Gáidhlig,-,-,-,-,-,-,3,-,1,-,1,-,3,-,1,-,1,-,1
Gaelic (Learners) (Revised),26,9,4,7,20,6,78,38,25,10,73,4,104,47,29,17,93,10,19
Gaelic (Learners),16,3,3,4,10,3,15,6,3,4,13,2,31,9,6,8,23,5,10
German (Revised),488,74,97,142,313,123,"1,496",231,344,502,"1,077",309,"1,984",305,441,644,"1,390",432,285
German,81,18,26,17,61,12,137,32,34,35,101,27,218,50,60,52,162,39,45
Greek (Optional Paper III)*,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,1,-,1
Greek (Revised),5,3,1,1,5,-,3,-,1,2,3,-,8,3,2,3,8,-,7
Greek,1,1,-,-,1,-,4,2,2,-,4,-,5,3,2,-,5,-,3
Hebrew,2,2,-,-,2,-,22,13,3,5,21,1,24,15,3,5,23,1,4
Italian (Revised),37,15,8,10,33,3,110,38,26,20,84,14,147,53,34,30,117,17,37
Italian,37,5,14,12,31,5,102,22,25,31,78,14,139,27,39,43,109,19,31
Latin (Optional Paper III)*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Latin (Revised),191,34,58,48,140,35,303,51,83,91,225,53,494,85,141,139,365,88,114
Latin,9,4,1,2,7,-,10,4,4,1,9,1,19,8,5,3,16,1,6
Norwegian,4,1,1,-,2,-,3,2,-,-,2,-,7,3,1,-,4,-,4
Portuguese,12,9,1,1,11,1,4,4,-,-,4,-,16,13,1,1,15,1,4
Russian (Revised),9,7,1,-,8,1,22,9,6,2,17,4,31,16,7,2,25,5,9
