Subject,male-Entries,male-percentage,male-1,male-2,male-3,male-4,male-5,female-Entries,female-percentage,female-1,female-2,female-3,female-4,female-5,all-Entries,all-1,all-2,all-3,all-4,all-5,Number of centres
Gaidhlig,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Gaelic (Learners),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
German (Traditional),1,0.2,-,-,1,-,-,4,0.8,-,2,2,-,-,5,-,2,3,-,-,3
German (Alternative),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Greek,6,1,5,-,-,1,-,-,0,-,-,-,-,-,6,5,-,-,1,-,3
Hebrew,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Italian (Traditional),-,0,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,1,-,-,1
Italian (Alternative),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Norwegian,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Portuguese,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Russian (Traditional),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Russian (Alternative),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Spanish (Traditional),1,1,-,1,-,-,-,-,0,-,-,-,-,-,1,-,1,-,-,-,1
Spanish (Alternative),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Swedish,-,0,-,-,-,-,- ,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Accounting,870,0.359059018,130,146,235,114,108,1553,0.640940982,285,322,467,159,167,2423,415,468,702,273,275,219
Statistics,1,0.5,-,-,1,-,-,1,0.5,-,1,-,-,-,2,-,1,1,-,-,2
"Anatomy, Physiology and Health",1,0.166666667,-,-,-,-,1,5,0.833333333,-,-,2,1,2,6,-,-,2,1,3,5
Biology,9,0.5,-,-,2,2,3,9,0.5,-,3,2,3,1,18,-,3,4,5,4,12
Chemistry,2,0.285714286,1,-,1,-,-,5,0.714285714,-,-,4,-,1,7,1,-,5,-,1,5
Geology,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Physics,5,0.833333333,-,-,3,1,1,1,0.166666667,-,-,-,1,-,6,-,-,3,2,1,6
Classical Studies,53,0.407692308,23,9,11,3,4,77,0.592307692,40,15,12,5,3,130,63,24,23,8,7,26
Economic History,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Economics,310,0.546737213,68,73,79,31,36,257,0.453262787,51,55,81,30,22,567,119,128,160,61,58,78
Geography,1,0.333333333,-,-,-,-,-,2,0.666666667,-,-,1,1,-,3,-,-,1,1,-,3
History (Traditional),1,1,-,-,1,-,-,-,0,-,-,-,-,-,1,-,-,1,-,-,1
History (Alternative),1,1,-,-,1,-,-,-,0,-,-,-,-,-,1,-,-,1,-,-,1
Modern Studies,3,1,-,-,-,-,3,-,0,-,-,-,-,-,3,-,-,-,-,3,1
Agricultural Science,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Engineering,1,1,-,-,1,-,-,-,0,-,-,-,-,-,1,-,-,1,-,-,1
Horticultural Science,1,1,-,-,1,-,-,-,0,-,-,-,-,-,1,-,-,1,-,-,1
Navigation,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Seamanship and Nautical Knowledge,1,1,-,-,-,-,-,-,0,-,-,-,-,-,1,-,-,-,-,-,1
Secretarial Studies (Audio-typewriting),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Secretarial Studies (Word Processing),-,0,-,-,-,-,-,4,1,2,2,-,-,-,4,2,2,-,-,-,2
Technical Drawing,2176,0.854338437,219,375,557,339,261,371,0.145661563,37,53,90,58,52,2547,256,428,647,397,313,219
Music (Traditional),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Music (Alternative),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Religious Studies,2,0.333333333,-,1,1,-,-,4,0.666666667,-,2,1,-,1,6,-,3,2,-,1,4
