Subject,male-Entries,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Classical Greek,6,3,2,1,-,- ,-,-,8,6,2,-,-,-,-,-,14,9,4,1,-,-,-,-,7
English,"31,007","2,079","7,104","10,473","8,049","2,317",124,-,"30,465","3,786","9,964","10,482","4,705",880,32,-,"61,472","5,865","17,068","20,955","12,754","3,197",156,-,487
English - Alternative Communication,1,1,-,-,-,-,-,-,2,-,-,1,1,-,-,-,3,1,-,1,1,-,-,-,3
English - Spoken,20,-,1,10,8,1,-,-,4,-,1,1,2,-,-,-,24,-,2,11,10,1,-,-,15
French,"19,695","1,608","2,935","4,218","4,371","3,253","1,826",123,"20,794","3,667","4,657","4,934","3,692","2,041",796,39,"40,489","5,275","7,592","9,152","8,063","5,294","2,622",162,439
French  (Writing)*,"7,595",653,"1,323","1,820","1,909",-,-,-,"11,636","1,614","2,733","3,118","2,400",-,-,-,"19,231","2,267","4,056","4,938","4,309",-,-,-,423
Gàidhlig,45,12,16,12,2,3,-,-,55,27,17,10,1,-,-,-,100,39,33,22,3,3,-,-,11
Gaelic (Learners),242,29,41,38,52,51,17,1,280,72,69,47,46,32,9,-,522,101,110,85,98,83,26,1,35
Gaelic (Learners) (Writing)*,77,8,16,18,20,-,-,-,141,27,23,47,30,-,-,-,218,35,39,65,50,-,-,-,30
German,"8,370",780,"1,446","1,924","1,980","1,157",468,25,"8,787","1,801","2,211","2,031","1,424",627,226,7,"17,157","2,581","3,657","3,955","3,404","1,784",694,32,341
German (Writing)*,"3,793",229,512,818,"1,234",-,-,-,"5,462",729,"1,095","1,279","1,454",-,-,-,"9,255",958,"1,607","2,097","2,688",-,-,-,329
Italian,240,34,38,51,55,33,14,3,451,120,106,122,54,31,12,2,691,154,144,173,109,64,26,5,45
Italian (Writing)*,103,6,22,4,26,-,-,-,309,42,70,34,73,-,-,-,412,48,92,38,99,-,-,-,37
Latin,471,217,106,40,31,33,13,5,578,309,105,45,38,34,21,4,"1,049",526,211,85,69,67,34,9,93
Russian,5,2,2,1,-,-,-,-,9,1,5,1,2,-,-,-,14,3,7,2,2,-,-,-,4
Russian (Writing)*,5,-,2,-,1,-,-,-,9,1,2,1,3,-,-,-,14,1,4,1,4,-,-,-,4
Spanish,956,99,180,186,245,129,57,7,"1,619",413,510,323,223,88,21,-,"2,575",512,690,509,468,217,78,7,123
Spanish (Writing)*,443,41,69,71,113,-,-,-,"1,190",147,256,216,311,-,-,-,"1,633",188,325,287,424,-,-,-,115
,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"2,458",502,694,415,406,255,89,7,"3,156",680,879,566,491,321,104,6,"5,614","1,182","1,573",981,897,576,193,13,328
Mathematics,"31,497","4,539","4,314","7,132","5,247","6,694","2,310",452,"30,914","4,924","4,527","6,857","5,249","6,147","2,078",409,"62,411","9,463","8,841","13,989","10,496","12,841","4,388",861,480
,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"6,657","1,321","1,973","1,710",922,466,117,8,"15,969","3,245","5,372","4,063","1,932",855,171,15,"22,626","4,566","7,345","5,773","2,854","1,321",288,23,429
Chemistry,"12,004","3,063","4,099","2,927","1,070",450,154,31,"12,044","3,082","4,567","2,887",891,293,102,18,"24,048","6,145","8,666","5,814","1,961",743,256,49,427
Physics,"13,957","4,218","4,529","3,323","1,029",519,158,20,"6,526","2,658","2,192","1,136",290,148,41,3,"20,483","6,876","6,721","4,459","1,319",667,199,23,426
Science,"9,181",42,421,"2,248","2,741","1,957",779,97,"7,116",33,298,"1,675","2,187","1,573",610,63,"16,297",75,719,"3,923","4,928","3,530","1,389",160,415
,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,145,22,33,17,27,19,7,5,158,32,28,31,19,21,13,1,303,54,61,48,46,40,20,6,24
Contemporary Social Studies,328,-,-,4,82,124,83,6,266,-,-,12,46,115,65,2,594,-,-,16,128,239,148,8,37
Economics,865,145,240,186,125,87,46,8,653,108,190,123,109,70,28,7,"1,518",253,430,309,234,157,74,15,108
Geography,"14,152","1,783","3,099","2,807","2,854","2,045",936,167,"10,315","1,954","2,614","1,929","1,831","1,163",485,56,"24,467","3,737","5,713","4,736","4,685","3,208","1,421",223,423
History,"10,051","1,386","1,956","1,690","1,661","1,886",978,69,"11,912","2,361","2,801","2,189","1,864","1,714",566,29,"21,963","3,747","4,757","3,879","3,525","3,600","1,544",98,421
Modern Studies,"5,988",856,"1,244","1,010","1,048",998,474,46,"8,104","1,867","1,982","1,276","1,401",928,319,21,"14,092","2,723","3,226","2,286","2,449","1,926",793,67,334
Social and Vocational Skills,"1,664",80,224,443,453,288,70,5,"1,903",273,455,519,339,155,44,2,"3,567",353,679,962,792,443,114,7,147
,,,,,,,,,,,,,,,,,,,,,,,,,
Computing Studies,"11,768","1,931","2,592","2,130","2,350","1,686",558,68,"6,710","1,223","1,662","1,272","1,307",758,232,22,"18,478","3,154","4,254","3,402","3,657","2,444",790,90,410
Craft and Design,"11,312",629,"1,998","2,724","2,693","1,677",512,47,"2,680",304,607,600,542,266,77,5,"13,992",933,"2,605","3,324","3,235","1,943",589,52,393
Graphic Communication,"5,729",606,"1,464","1,403","1,065",697,173,19,"1,814",230,544,437,321,158,41,-,"7,543",836,"2,008","1,840","1,386",855,214,19,330
Home Economics,"2,361",19,135,374,679,625,240,3,"8,175",394,"1,523","2,287","2,061","1,079",245,2,"10,536",413,"1,658","2,661","2,740","1,704",485,5,379
Office and Information Studies,"3,078",165,622,748,654,411,166,19,"14,442","1,885","4,173","3,748","2,475","1,109",318,20,"17,520","2,050","4,795","4,496","3,129","1,520",484,39,389
Technological Studies,"4,555",605,916,888,879,689,267,18,342,74,84,54,51,37,6,1,"4,897",679,"1,000",942,930,726,273,19,296
,,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"8,731",533,"2,083","3,065","1,802",613,82,-,"11,441","1,593","3,984","3,717","1,401",260,32,-,"20,172","2,126","6,067","6,782","3,203",873,114,-,436
Drama,"1,424",96,241,386,313,176,42,-,"2,745",447,761,749,395,127,24,3,"4,169",543,"1,002","1,135",708,303,66,3,137
Music,"3,211",786,839,579,461,239,53,2,"5,466","1,713","1,711","1,010",497,221,42,1,"8,677","2,499","2,550","1,589",958,460,95,3,409
,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"11,717","1,044","3,411","3,716","2,178",551,61,8,"5,053",377,"1,266","1,552","1,127",386,48,1,"16,770","1,421","4,677","5,268","3,305",937,109,9,382
,,,,,,,,,,,,,,,,,,,,,,,,,
Religious Studies,436,61,112,102,65,37,23,6,774,106,175,172,131,94,33,1,"1,210",167,287,274,196,131,56,7,91
