Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-COMP,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-COMP,all-Entries,all-A,all-B,all-C,all-Passes,all-COMP,NumberOfCentres
English and Communication,143,31%,24,51,49,124,10,318,69%,61,119,98,278,24,461,85,170,147,402,34,86
French,63,20%,18,21,12,51,6,252,80%,78,68,60,206,22,315,96,89,72,257,28,111
Gàidhlig,-,0%,-,-,-,-,-,11,100%,1,7,3,11,0,11,1,7,3,11,0,3
Gaelic (Learners),2,20%,1,1,0,2,0,8,80%,5,2,1,8,0,10,6,3,1,10,0,3
German,47,27%,12,8,16,36,5,127,73%,37,32,34,103,12,174,49,40,50,139,17,64
Italian,2,20%,1,1,0,2,0,8,80%,3,3,2,8,0,10,4,4,2,10,0,5
Latin,6,19%,3,1,2,6,0,25,81%,11,10,1,22,0,31,14,11,3,28,0,12
Russian,3,100%,2,1,0,3,0,-,0%,-,-,-,-,-,3,2,1,0,3,0,3
Spanish,5,9%,2,3,0,5,0,48,91%,11,18,12,41,0,53,13,21,12,46,0,17
,,,,,,,,,,,,,,,,,,,,,
Applied Mathematics,96,63%,35,24,14,73,N/A,56,37%,22,17,6,45,N/A,152,57,41,20,118,N/A,22
Accounting and Finance,26,62%,8,8,4,20,3,16,38%,7,4,3,14,1,42,15,12,7,34,4,14
Mathematics,705,59%,158,132,145,435,81,494,41%,106,119,130,355,56,"1,199",264,251,275,790,137,149
,,,,,,,,,,,,,,,,,,,,,
Biology,103,26%,26,31,28,85,14,293,74%,52,101,83,236,31,396,78,132,111,321,45,72
Chemistry,269,45%,70,72,66,208,22,323,55%,65,104,101,270,28,592,135,176,167,478,50,97
Physics,801,78%,190,186,183,559,65,225,22%,60,58,54,172,16,"1,026",250,244,237,731,81,198
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,4,50%,2,0,2,4,0,4,50%,1,2,1,4,0,8,3,2,3,8,0,5
Economics,30,68%,6,10,13,29,0,14,32%,6,4,3,13,0,44,12,14,16,42,0,10
Geography,175,56%,16,60,75,151,10,138,44%,21,53,50,124,8,313,37,113,125,275,18,61
History,209,43%,29,50,71,150,20,272,57%,39,73,91,203,26,481,68,123,162,353,46,109
Modern Studies,120,36%,10,32,43,85,8,211,64%,37,64,62,163,14,331,47,96,105,248,22,73
Philosophy,2,40%,1,1,0,2,0,3,60%,1,1,1,3,0,5,2,2,1,5,0,2
"Religious, Moral and Philosophical Studies",7,23%,0,3,4,7,0,23,77%,7,8,4,19,2,30,7,11,8,26,2,13
Sociology,1,33%,1,0,0,1,0,2,67%,1,1,0,2,0,3,2,1,0,3,0,1
,,,,,,,,,,,,,,,,,,,,,
Business Management,7,37%,2,0,5,7,0,12,63%,2,4,5,11,0,19,4,4,10,18,0,6
Computing,88,84%,17,31,26,74,8,17,16%,1,8,7,16,0,105,18,39,33,90,8,35
Craft and Design,11,55%,1,0,2,3,1,9,45%,1,2,1,4,0,20,2,2,3,7,1,11
Graphic Communication,133,82%,61,32,22,115,8,30,18%,14,11,3,28,1,163,75,43,25,143,9,53
Home Economics - Fashion and Textile Technology,-,0%,-,-,-,-,-,2,100%,0,0,2,2,0,2,0,0,2,2,0,1
Home Economics - Health and Food Technology,1,5%,0,0,0,0,0,18,95%,0,3,6,9,4,19,0,3,6,9,4,13
Information Systems,44,86%,7,17,14,38,3,7,14%,1,5,0,6,1,51,8,22,14,44,4,14
Technological Studies,73,97%,25,15,14,54,5,2,3%,0,0,0,0,1,75,25,15,14,54,6,28
,,,,,,,,,,,,,,,,,,,,,
Art and Design Enquiry: Design,44,27%,8,7,12,27,N/A,119,73%,16,27,45,88,N/A,163,24,34,57,115,N/A,45
Art and Design Enquiry: Expressive,35,21%,4,7,13,24,N/A,128,79%,25,26,45,96,N/A,163,29,33,58,120,N/A,50
Art and Design: Research and Appreciation,2,15%,2,0,0,2,N/A,11,85%,1,4,5,10,N/A,13,3,4,5,12,N/A,4
Drama,12,27%,5,5,0,10,0,32,73%,10,9,7,26,3,44,15,14,7,36,3,16
Media Studies,3,43%,0,0,1,1,1,4,57%,0,0,1,1,0,7,0,0,2,2,1,1
Music,63,32%,44,11,5,60,2,135,68%,70,50,8,128,3,198,114,61,13,188,5,83
,,,,,,,,,,,,,,,,,,,,,
Physical Education,25,68%,2,1,7,10,3,12,32%,3,3,3,9,1,37,5,4,10,19,4,16
