Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
English ,"5,580",44%,630 ,"1,078 ","1,764","3,472 ","1,337 ","7,247",56%,"1,289","1,604","2,291","5,184","1,390","12,827","1,919","2,682","4,055","8,656","2,727",240
French ,9,32%,2 ,3 ,3,8 ,1 ,19,68%,9,6,4,19,0,28,11,9,7,27,1,6
Gaelic (Learners) ,6,38%,5 ,0 ,1,6 ,0 ,10,63%,8,1,1,10,0,16,13,1,2,16,0,1
German ,8,38%,5 ,1 ,1,7 ,0 ,13,62%,4,3,3,10,1,21,9,4,4,17,1,8
Italian ,-,0%,-,-,-,-,-,1,100%,1,0,0,1,0,1,1,0,0,1,0,1
Latin ,2,40%,0 ,0 ,1,1 ,1 ,3,60%,2,1,0,3,0,5,2,1,1,4,1,2
Russian ,6,75%,6 ,0 ,0,6 ,0 ,2,25%,2,0,0,2,0,8,8,0,0,8,0,4
Spanish ,1,33%,1 ,0 ,0,1 ,0 ,2,67%,1,0,0,1,1,3,2,0,0,2,1,2
,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,3,30%,0,0,0,0,1,7,70%,0,2,2,4,2,10,0,2,2,4,3,7
Mathematics ,32,65%,2,4,6,12,9,17,35%,2,5,4,11,3,49,4,9,10,23,12,9
,,,,,,,,,,,,,,,,,,,,,
Biology ,14,33%,0,2,5,7,5,29,67%,2,5,11,18,7,43,2,7,16,25,12,12
Chemistry ,6,30%,0,2,2,4,2,14,70%,2,4,5,11,3,20,2,6,7,15,5,6
Human Biology,3,9%,0,2,0,2,0,30,91%,6,6,6,18,6,33,6,8,6,20,6,6
Physics ,20,83%,1,5,3,9,4,4,17%,1,2,0,3,0,24,2,7,3,12,4,9
,,,,,,,,,,,,,,,,,,,,,
Economics ,17,74%,2,4,9,15,2,6,26%,1,2,2,5,1,23,3,6,11,20,3,3
Geography ,15,54%,1,2,6,9,3,13,46%,1,2,5,8,2,28,2,4,11,17,5,6
History ,20,67%,2,3,8,13,3,10,33%,1,0,5,6,3,30,3,3,13,19,6,6
Modern Studies ,14,50%,3,6,2,11,2,14,50%,1,4,7,12,1,28,4,10,9,23,3,6
,,,,,,,,,,,,,,,,,,,,,
Computing Studies,12,80%,0,5,5,10,1,3,20%,0,1,1,2,1,15,0,6,6,12,2,8
Craft and Design ,4,80%,1,2,0,3,0,1,20%,1,0,0,1,0,5,2,2,0,4,0,1
Graphic Communication,2,40%,0,0,1,1,1,3,60%,0,0,3,3,0,5,0,0,4,4,1,1
Management and Information Studies,3,50%,0,0,1,1,1,3,50%,0,1,1,2,1,6,0,1,2,3,2,1
Secretarial Studies ,1,20%,0,0,0,0,0,4,80%,1,1,1,3,1,5,1,1,1,3,1,4
,,,,,,,,,,,,,,,,,,,,,
Art and Design ,10,30%,0,2,4,6,4,23,70%,6,9,5,20,3,33,6,11,9,26,7,11
Music ,3,30%,0,2,1,3,0,7,70%,2,5,0,7,0,10,2,7,1,10,0,4
,,,,,,,,,,,,,,,,,,,,,
Physical Education,1,50%,1,0,0,1,0,1,50%,0,1,0,1,0,2,1,1,0,2,0,1
