Subject,all-Entries,all-Pass,all-A,all-B,all-C,male-Entries,male-A,male-B,male-C,male-Pass,female-Entries,female-A,female-B,female-C,female-Pass,NumberOfCentres
Classical Greek,,,,,,,,,,,,,,,,
English and Communication,"4,438","2,293",113,652,"1,528","2,576",76,432,916,"1,424","1,862",37,220,612,869,341
French,158,131,72,31,28,61,21,13,16,50,97,51,18,12,81,27
Gaelic (Learners),20,15,13,1,1,10,6,1,1,8,10,7,0,0,7,6
Gaidhlig,7,6,3,2,1,3,2,0,1,3,4,1,2,0,3,1
German,59,42,30,4,8,26,12,3,2,17,33,18,1,6,25,15
Italian,199,165,123,28,14,37,20,8,2,30,162,103,20,12,135,25
Latin,16,10,4,3,3,7,1,1,1,3,9,3,2,2,7,3
Russian,3,3,3,0,0,2,2,0,0,2,1,1,0,0,1,1
Spanish,536,476,357,71,48,143,80,33,14,127,393,277,38,34,349,70
,,,,,,,,,,,,,,,,
Accounting and Finance,394,320,198,73,49,124,61,24,12,97,270,137,49,37,223,53
Mathematics,"5,070","2,498",690,797,"1,011","2,534",356,393,511,"1,260","2,536",334,404,500,"1,238",368
,,,,,,,,,,,,,,,,
Biology,629,424,97,172,155,273,42,76,67,185,356,55,96,88,239,60
Chemistry,263,145,22,56,67,147,16,28,44,88,116,6,28,23,57,38
Geology,49,44,27,8,9,31,18,4,7,29,18,9,4,2,15,10
Managing Environmental Resources,9,9,7,2,0,6,6,0,0,6,3,1,2,0,3,2
Physics,282,168,53,59,56,212,37,48,45,130,70,16,11,11,38,35
,,,,,,,,,,,,,,,,
Classical Studies,4,3,2,1,0,3,2,1,0,3,1,0,0,0,0,2
Economics,8,6,1,2,3,5,1,1,2,4,3,0,1,1,2,1
Geography,318,174,26,60,88,194,14,36,54,104,124,12,24,34,70,110
History,435,335,173,87,75,237,96,52,39,187,198,77,35,36,148,119
Modern Studies,188,132,36,53,43,82,15,25,17,57,106,21,28,26,75,70
Psychology,20,14,11,2,1,2,0,2,0,2,18,11,0,1,12,6
"Religious, Moral and Philosophical Studies",363,200,63,69,68,177,23,26,38,87,186,40,43,30,113,14
Sociology,8,8,8,0,0,1,1,0,0,1,7,7,0,0,7,1
,,,,,,,,,,,,,,,,
Administration,"1,002",810,383,288,139,382,135,112,55,302,620,248,176,84,508,183
Business Management,91,78,54,15,9,35,18,8,4,30,56,36,7,5,48,19
Care,122,93,48,20,25,8,3,1,1,5,114,45,19,24,88,14
Computing Studies,832,640,294,235,111,531,179,144,71,394,301,115,91,40,246,103
Engineering Craft Skills,63,53,6,23,24,62,5,23,24,52,1,1,0,0,1,19
Health and Food Technology,"1,754","1,518",492,664,362,562,103,204,142,449,"1,192",389,460,220,"1,069",173
Home Economics - Fashion and Textile Technology,225,206,86,92,28,10,1,6,2,9,215,85,86,26,197,32
Home Economics - Lifestyle and Consumer Technology,520,461,192,196,73,12,4,6,2,12,508,188,190,71,449,52
Personal and Social Education,25,20,17,2,1,9,7,1,1,9,16,10,1,0,11,3
Travel and Tourism,539,421,272,101,48,160,76,28,13,117,379,196,73,35,304,71
Woodworking Skills,519,432,102,187,143,443,86,156,128,370,76,16,31,15,62,129
,,,,,,,,,,,,,,,,
Art and Design,351,287,156,84,47,173,77,39,21,137,178,79,45,26,150,101
Drama,31,26,16,6,4,14,4,4,2,10,17,12,2,2,16,14
Media Studies,109,69,32,19,18,55,17,9,8,34,54,15,10,10,35,14
Music,200,155,29,63,63,84,14,23,29,66,116,15,40,34,89,65
,,,,,,,,,,,,,,,,
Physical Education,493,390,345,26,19,393,284,21,10,315,100,61,5,9,75,78
