Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-COMP,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-COMP,all-Entries,all-A,all-B,all-C,all-Passes,all-COMP,NumberOfCentres
Classical Greek,2,25%,2,0,0,2,0,6,75%,0,4,1,5,1,8,2,4,1,7,1,3
English and Communication,12180,42%,1524,2465,4039,8028,1817,"16,730",58%,"2,707","3,791","5,169","11,667","2,282","28,910","4,231","6,256","9,208","19,695","4,099",446
French,1105,23%,479,256,187,922,64,"3,666",77%,"1,625",845,628,"3,098",233,"4,771","2,104","1,101",815,"4,020",297,389
Gaelic (Learners),31,21%,19,6,3,28,1,116,79%,77,22,12,111,1,147,96,28,15,139,2,25
Gaidhlig,30,42%,13,12,5,30,0,42,58%,20,18,4,42,0,72,33,30,9,72,0,12
German,571,26%,217,120,113,450,31,"1,635",74%,621,381,326,"1,328",126,"2,206",838,501,439,"1,778",157,276
Italian,70,25%,32,12,14,58,5,214,75%,96,51,31,178,14,284,128,63,45,236,19,52
Latin,98,38%,40,12,,72,12,159,62%,79,39,,137,10,257,119,51,39,,22,55
Russian,8,57%,7,0,0,7,0,6,43%,4,1,1,6,0,14,11,1,1,13,0,11
Spanish,190,21%,100,31,28,159,9,726,79%,417,148,91,656,25,916,517,179,119,815,34,121
,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"1,067",44%,324,253,216,793,77,"1,360",56%,434,333,262,"1,029",88,"2,427",758,586,478,"1,822",165,268
Mathematics,"10,256",52%,"1,930","2,179","2,476","6,585",938,"9,534",48%,"1,975","2,105","2,390","6,470",895,"19,790","3,905","4,284","4,866","13,055","1,833",435
,,,,,,,,,,,,,,,,,,,,,
Biology,"2,796",30%,438,687,736,"1,861",322,"6,478",70%,"1,052","1,513","1,731","4,296",794,"9,274","1,490","2,200","2,467","6,157","1,116",390
Biotechnology,6,60%,0,1,1,2,0,4,40%,3,1,0,4,0,10,3,2,1,6,0,2
Chemistry,"4,739",50%,938,"1,153","1,280","3,371",577,"4,821",50%,938,"1,212","1,350","3,500",563,"9,560","1,876","2,365","2,630","6,871","1,140",418
Geology,59,66%,10,16,15,41,4,30,34%,3,9,13,25,2,89,13,25,28,66,6,10
Human Biology,751,24%,119,190,168,477,85,"2,360",76%,451,545,554,"1,550",211,"3,111",570,735,722,"2,027",296,169
Managing Environmental Resources,11,61%,4,4,1,9,0,7,39%,1,1,2,4,1,18,5,5,3,13,1,6
Physics,"6,886",72%,"1,745","1,607","1,525","4,877",695,"2,694",28%,844,681,606,"2,131",222,"9,580","2,589","2,288","2,131","7,008",917,420
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,200,39%,51,45,45,141,25,318,61%,92,91,65,248,25,518,143,136,110,389,50,48
Economics,607,58%,185,170,127,482,47,435,42%,94,117,109,320,43,"1,042",279,287,236,802,90,95
Geography,"4,208",54%,809,"1,066","1,170","3,045",417,"3,525",46%,"1,067",909,811,"2,787",291,"7,733","1,876","1,975","1,981","5,832",708,396
