Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-Comp,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-Comp,all-Entries,all-A,all-B,all-C,all-Passes,all-Comp,NumberOfCentres
Classical Greek,6,35%,5,1,0,6,0,11,65%,10,1,0,11,0,17,15,2,0,17,0,5
English,"7,187",52%,899,"2,001","2,264","5,164",640,"6,565",48%,818,"1,852","2,186","4,856",652,"13,752","1,717","3,853","4,450","10,020","1,292",411
French,535,34%,186,122,110,418,26,"1,056",66%,442,235,190,867,50,"1,591",628,357,300,"1,285",76,234
Gaelic (Learners),13,36%,11,1,1,13,0,23,64%,17,5,1,23,0,36,28,6,2,36,0,13
Gàidhlig,6,46%,1,2,3,6,0,7,54%,2,2,3,7,0,13,3,4,6,13,0,5
German,223,39%,81,51,59,191,13,353,61%,178,98,40,316,12,576,259,149,99,507,25,135
Italian,38,32%,19,6,6,31,3,82,68%,45,12,14,71,4,120,64,18,20,102,7,29
Latin,17,55%,7,2,3,12,1,14,45%,11,0,3,14,0,31,18,2,6,26,1,8
Russian,2,100%,2,0,0,2,0,-,0%,-,-,-,-,-,2,2,0,0,2,0,1
Spanish,130,23%,57,24,19,100,10,424,77%,222,91,58,371,15,554,279,115,77,471,25,110
,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,254,43%,78,51,37,166,18,339,57%,111,69,50,230,14,593,189,120,87,396,32,165
Mathematics,"6,643",51%,"1,171","1,224","1,380","3,775",677,"6,272",49%,"1,196","1,173","1,408","3,777",669,"12,915","2,367","2,397","2,788","7,552","1,346",422
,,,,,,,,,,,,,,,,,,,,,
Biology,"1,264",32%,196,268,327,791,156,"2,659",68%,399,556,724,"1,679",354,"3,923",595,824,"1,051","2,470",510,335
Biotechnology,57,45%,3,11,13,27,n/a,69,55%,7,13,15,35,n/a,126,10,24,28,62,n/a,13
Chemistry,812,50%,124,154,229,507,101,801,50%,170,165,222,557,75,"1,613",294,319,451,"1,064",176,231
Geology,13,72%,0,3,5,8,1,5,28%,2,0,0,2,1,18,2,3,5,10,2,6
Managing Environmental Resources,24,50%,11,8,2,21,0,24,50%,15,4,5,24,0,48,26,12,7,45,0,6
Physics,"1,591",77%,343,335,297,975,126,474,23%,202,86,85,373,26,"2,065",545,421,382,"1,348",152,264
Amenity Horticulture,1,17%,0,0,0,0,n/a,5,83%,3,2,0,5,n/a,6,3,2,0,5,n/a,1
Plant Propagation,1,17%,0,0,0,0,n/a,5,83%,5,0,0,5,n/a,6,5,0,0,5,n/a,1
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,31,46%,7,4,5,16,2,36,54%,9,10,5,24,1,67,16,14,10,40,3,12
Economics,103,56%,39,15,12,66,5,80,44%,34,8,21,63,5,183,73,23,33,129,10,34
Geography,906,61%,194,261,254,709,72,573,39%,154,153,132,439,56,"1,479",348,414,386,"1,148",128,245
History,982,49%,169,247,279,695,93,"1,029",51%,211,263,261,735,100,"2,011",380,510,540,"1,430",193,270
Modern Studies,611,45%,97,135,173,405,68,734,55%,123,184,222,529,76,"1,345",220,319,395,934,144,197
Philosophy,36,38%,14,3,6,23,n/a,59,62%,21,13,7,41,n/a,95,35,16,13,64,n/a,31
Psychology,101,28%,24,16,19,59,5,257,72%,119,29,30,178,4,358,143,45,49,237,9,33
"Religious, Moral and Philosophical Studies",168,32%,12,18,40,70,20,353,68%,51,66,93,210,38,521,63,84,133,280,58,89
Sociology,28,26%,13,5,2,20,0,80,74%,52,13,6,71,0,108,65,18,8,91,0,16
,,,,,,,,,,,,,,,,,,,,,
Administration,964,27%,180,356,231,767,49,"2,604",73%,564,955,577,"2,096",156,"3,568",744,"1,311",808,"2,863",205,339
Automotive Engineering,39,98%,10,2,0,12,n/a,1,3%,1,0,0,1,n/a,40,11,2,0,13,n/a,2
Business Management,634,43%,124,193,146,463,49,832,57%,193,241,196,630,63,"1,466",317,434,342,"1,093",112,207
Care,73,8%,35,9,12,56,4,851,92%,300,146,141,587,48,924,335,155,153,643,52,42
Care Issues for Society,36,9%,5,12,8,25,n/a,369,91%,46,91,99,236,n/a,405,51,103,107,261,n/a,16
Computing,"1,575",75%,250,310,334,894,n/a,527,25%,95,110,113,318,n/a,"2,102",345,420,447,"1,212",n/a,176
Construction Craft Skills,12,100%,6,6,0,12,n/a,-,0%,-,-,-,-,-,12,6,6,0,12,n/a,2
