Subject,all-Entries,all-Pass,all-A,all-B,all-C,all-D,male-Entries,male-A,male-B,male-C,male-Pass,male-D,female-Entries,female-A,female-B,female-C,female-Pass,female-D,NumberOfCentres
English,"5,011","3,094",586,992,"1,516",564,"2,757",281,505,830,"1,616",317,"2,254",305,487,686,"1,478",247,360
French,"1,136",808,324,234,250,77,574,143,102,142,387,42,562,181,132,108,421,35,46
Gaelic (Learners),15,15,9,4,2,0,11,7,3,1,11,0,4,2,1,1,4,0,8
Gàidhlig,1,1,1,0,0,0,-,-,-,-,-,-,1,1,0,0,1,0,1
German,151,106,49,24,33,12,85,20,14,17,51,9,66,29,10,16,55,3,21
Italian,185,151,94,32,25,7,78,34,11,13,58,3,107,60,21,12,93,4,29
Latin,7,7,5,1,1,0,2,1,0,1,2,0,5,4,1,0,5,0,2
Russian,17,15,13,2,0,0,4,3,0,0,3,0,13,10,2,0,12,0,3
Spanish,672,578,400,108,70,21,217,117,30,26,173,9,455,283,78,44,405,12,86
,,,,,,,,,,,,,,,,,,,
Accounting,125,85,49,17,19,9,46,13,9,9,31,5,79,36,8,10,54,4,25
Mathematics,"7,799","4,628","1,814","1,371","1,443",652,"3,789",920,638,694,"2,252",326,"4,010",894,733,749,"2,376",326,381
,,,,,,,,,,,,,,,,,,,
Biology,"3,295","2,128",471,818,839,343,"1,211",162,303,314,779,121,"2,084",309,515,525,"1,349",222,203
Chemistry,"1,602",894,234,285,375,150,926,126,148,235,509,93,676,108,137,140,385,57,167
Geology,49,48,37,7,4,0,23,19,3,0,22,0,26,18,4,4,26,0,7
Managing Environmental Resources,18,15,2,5,8,1,8,0,3,4,7,1,10,2,2,4,8,0,3
Physics,"1,555",706,190,222,294,189,"1,294",160,194,251,605,163,261,30,28,43,101,26,156
,,,,,,,,,,,,,,,,,,,
Classical Studies,4,3,1,2,0,0,2,1,1,0,2,0,2,0,1,0,1,0,2
Economics,4,1,0,1,0,0,2,0,1,0,1,0,2,0,0,0,0,0,2
Geography,291,169,38,73,58,39,160,22,37,33,92,26,131,16,36,25,77,13,69
Geography (New),203,129,33,41,55,25,120,24,23,33,80,16,83,9,18,22,49,9,71
History,944,661,175,279,207,83,495,93,138,103,334,48,449,82,141,104,327,35,149
Modern Studies,387,244,59,99,86,22,186,28,47,41,116,9,201,31,52,45,128,13,95
Psychology,38,25,19,4,2,0,5,1,1,2,4,0,33,18,3,0,21,0,5
Psychology (New),78,49,14,20,15,4,30,10,8,5,23,2,48,4,12,10,26,2,10
"Religious, Moral and Philosophical Studies",816,514,175,162,177,67,366,68,56,83,207,26,450,107,106,94,307,41,27
Sociology,21,13,2,4,7,0,5,1,1,3,5,0,16,1,3,4,8,0,4
,,,,,,,,,,,,,,,,,,,
Administration,976,830,350,346,134,29,311,107,116,40,263,7,665,243,230,94,567,22,163
Applied Practical Electronics,57,44,19,18,7,0,55,18,18,7,43,0,2,1,0,0,1,0,7
Business Management,258,210,126,52,32,7,104,50,19,11,80,7,154,76,33,21,130,0,37
Care,219,170,61,66,43,6,15,4,3,3,10,0,204,57,63,40,160,6,18
Computing Studies,"1,103",923,499,264,160,49,676,300,161,91,552,30,427,199,103,69,371,19,78
Computing Studies (New),571,469,237,144,88,21,347,159,79,50,288,8,224,78,65,38,181,13,36
Engineering Craft Skills,55,48,10,21,17,0,48,8,18,17,43,0,7,2,3,0,5,0,20
Home Economics: Fashion and Textile Technology,391,343,139,151,53,10,11,1,5,1,7,0,380,138,146,52,336,10,37
Home Economics: Health and Food Technology,463,409,229,140,40,12,126,42,50,13,105,1,337,187,90,27,304,11,34
Home Economics: Lifestyle and Consumer Technology,777,717,364,264,89,14,36,12,12,8,32,1,741,352,252,81,685,13,61
Hospitality: Practical Cookery,"2,897","2,560","1,013","1,039",508,87,998,228,383,231,842,44,"1,899",785,656,277,"1,718",43,194
Personal and Social Education,41,37,26,8,3,1,12,7,2,2,11,0,29,19,6,1,26,1,6
Travel and Tourism,534,396,198,96,102,23,166,45,38,36,119,11,368,153,58,66,277,12,65
Woodworking Skills,984,835,199,289,347,5,841,175,248,291,714,4,143,24,41,56,121,1,149
,,,,,,,,,,,,,,,,,,,
Art and Design,"1,194","1,011",469,311,231,51,552,197,140,109,446,32,642,272,171,122,565,19,153
Drama,58,49,23,19,7,0,20,7,8,0,15,0,38,16,11,7,34,0,14
Media Studies,385,189,44,69,76,39,197,17,30,34,81,16,188,27,39,42,108,23,33
Music,639,479,83,231,165,44,293,37,104,73,214,18,346,46,127,92,265,26,97
,,,,,,,,,,,,,,,,,,,
Physical Education,627,556,348,129,79,16,474,266,99,58,423,9,153,82,30,21,133,7,89
