Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek,3,33%,2,1,0,3,0,6,67%,5,1,0,6,0,9,7,2,0,9,0,4
English,"8,057",48%,"1,055","2,072","2,596","5,723",764,"8,661",52%,"1,471","2,430","2,809","6,710",781,"16,718","2,526","4,502","5,405","12,433","1,545",423
French,731,33%,371,185,104,660,32,"1,514",67%,863,354,200,"1,417",35,"2,245","1,234",539,304,"2,077",67,255
Gaelic (Learners),26,38%,18,7,1,26,0,42,62%,30,9,3,42,0,68,48,16,4,68,0,17
Gàidhlig,5,33%,1,2,2,5,0,10,67%,7,3,0,10,0,15,8,5,2,15,0,6
German,219,35%,72,64,39,175,13,405,65%,177,99,78,354,17,624,249,163,117,529,30,125
Italian,53,28%,26,10,10,46,0,136,72%,73,24,13,110,12,189,99,34,23,156,12,28
Latin,40,63%,33,5,1,39,0,23,37%,19,3,0,22,0,63,52,8,1,61,0,7
Russian,1,100%,0,0,1,1,0,-,0%,-,-,-,-,-,1,0,0,1,1,0,1
Spanish,184,25%,98,38,27,163,7,548,75%,299,91,86,476,31,732,397,129,113,639,38,123
,,,,,,,,,,,,,,,,,,,,,
Accounting,166,42%,33,26,24,83,14,228,58%,57,45,41,143,20,394,90,71,65,226,34,117
Mathematics,"7,139",47%,"2,266","1,158","1,244","4,668",474,"8,033",53%,"2,687","1,381","1,464","5,532",551,"15,172","4,953","2,539","2,708","10,200","1,025",431
,,,,,,,,,,,,,,,,,,,,,
Biology,"1,628",31%,398,384,400,"1,182",185,"3,708",69%,704,895,997,"2,596",428,"5,336","1,102","1,279","1,397","3,778",613,362
Biotechnology,41,47%,8,11,9,28,2,46,53%,6,5,11,22,6,87,14,16,20,50,8,9
Chemistry,"1,338",49%,408,282,250,940,99,"1,390",51%,437,308,258,"1,003",110,"2,728",845,590,508,"1,943",209,261
Geology,12,75%,0,3,4,7,3,4,25%,2,1,1,4,0,16,2,4,5,11,3,6
Managing Environmental Resources,19,51%,4,5,4,13,1,18,49%,8,2,5,15,3,37,12,7,9,28,4,5
Physics,"1,712",73%,339,282,381,"1,002",152,642,27%,258,124,102,484,36,"2,354",597,406,483,"1,486",188,262
Amenity Horticulture,-,0%,-,-,-,-,-,3,100%,2,1,0,3,0,3,2,1,0,3,0,1
Livestock Production,1,100%,0,1,0,1,0,-,0%,-,-,-,-,-,1,0,1,0,1,0,1
Plant Propagation,-,0%,-,-,-,-,-,3,100%,2,1,0,3,0,3,2,1,0,3,0,1
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,23,50%,13,5,4,22,0,23,50%,12,7,1,20,1,46,25,12,5,42,1,11
Economics,162,64%,104,25,19,148,2,92,36%,45,19,16,80,4,254,149,44,35,228,6,32
Geography,518,56%,155,140,102,397,37,405,44%,150,96,90,336,27,923,305,236,192,733,64,103
Geography (New),510,60%,109,109,138,356,47,345,40%,80,80,101,261,37,855,189,189,239,617,84,154
History,"1,437",48%,356,285,349,990,139,"1,529",52%,408,331,382,"1,121",139,"2,966",764,616,731,"2,111",278,293
Modern Studies,716,41%,148,166,185,499,61,"1,043",59%,238,290,240,768,102,"1,759",386,456,425,"1,267",163,203
