Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek,4,57%,4,0,0,4,0,3,43%,2,0,0,2,1,7,6,0,0,6,1,5
English,"11,283",41%,"1,455","2,496","3,402","7,353","1,363","16,502",59%,"2,427","3,797","4,878","11,102","1,985","27,785","3,882","6,293","8,280","18,455","3,348",435
English for Speakers of Other Languages,80,41%,17,3,8,28,2,113,59%,25,16,13,54,8,193,42,19,21,82,10,19
French,"1,136",25%,469,273,212,954,72,"3,438",75%,"1,380",880,674,"2,934",215,"4,574","1,849","1,153",886,"3,888",287,377
Gaelic (Learners),34,29%,18,9,2,29,2,85,71%,42,24,13,79,3,119,60,33,15,108,5,25
Gàidhlig,31,32%,13,10,7,30,0,66,68%,34,16,14,64,2,97,47,26,21,94,2,19
German,484,30%,189,95,93,377,46,"1,137",70%,432,255,232,919,87,"1,621",621,350,325,"1,296",133,224
Italian,53,24%,29,8,7,44,3,172,76%,87,34,25,146,10,225,116,42,32,190,13,42
Latin,78,33%,29,19,16,64,7,156,67%,68,39,22,129,10,234,97,58,38,193,17,40
Russian,9,56%,9,0,0,9,0,7,44%,7,0,0,7,0,16,16,0,0,16,0,14
Spanish,289,24%,167,50,40,257,8,931,76%,486,194,135,815,33,"1,220",653,244,175,"1,072",41,150
,,,,,,,,,,,,,,,,,,,,,
Accounting,725,50%,223,132,153,508,51,734,50%,232,120,153,505,46,"1,459",455,252,306,"1,013",97,199
Mathematics,"9,646",51%,"2,348","2,291","2,117","6,756",823,"9,146",49%,"2,233","2,121","2,153","6,507",807,"18,792","4,581","4,412","4,270","13,263","1,630",427
,,,,,,,,,,,,,,,,,,,,,
Biology,"3,029",33%,673,683,742,"2,098",387,"6,140",67%,"1,197","1,358","1,635","4,190",791,"9,169","1,870","2,041","2,377","6,288","1,178",366
Biotechnology,15,34%,5,1,4,10,2,29,66%,13,4,4,21,0,44,18,5,8,31,2,4
Chemistry,"4,709",50%,"1,461","1,133","1,032","3,626",437,"4,781",50%,"1,442","1,151","1,079","3,672",442,"9,490","2,903","2,284","2,111","7,298",879,407
Geology,38,64%,13,12,8,33,2,21,36%,4,5,6,15,1,59,17,17,14,48,3,11
Human Biology,"1,046",28%,234,246,252,732,101,"2,666",72%,450,694,703,"1,847",256,"3,712",684,940,955,"2,579",357,184
Managing Environmental Resources,40,48%,15,13,7,35,1,44,52%,12,7,8,27,5,84,27,20,15,62,6,11
Physics,"6,180",72%,"1,519","1,616","1,314","4,449",580,"2,402",28%,744,617,487,"1,848",211,"8,582","2,263","2,233","1,801","6,297",791,408
,,,,,,,,,,,,,,,,,,,,,
