Subject,male-Entries,male-percentage,male-A,male-B,male-C,male--PassesUngradedCourses,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female--PassesUngradedCourses,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-PassesUngradedCourses,all-Passes,all-D,NumberOfCentres
Classical Greek,3,33%,3,0,0, -,3,0,6,67%,4,1,1, -,6,0,9,7,1,1, -,9,0,3
English,"11,117",41%,"1,800","2,418","3,341", -,"7,559","1,443","16,089",59%,"2,968","3,652","4,760", -,"11,380","1,991","27,206","4,768","6,070","8,101", -,"18,939","3,434",429
English for Speakers of Other Languages,122,43%,65,21,13, -,99,4,165,57%,83,35,22, -,140,5,287,148,56,35, -,239,9,39
French,"1,125",24%,529,241,212, -,982,50,"3,477",76%,"1,607",752,620, -,"2,979",190,"4,602","2,136",993,832, -,"3,961",240,377
Gaelic (Learners),35,29%,13,7,5, -,25,5,85,71%,36,20,20, -,76,3,120,49,27,25, -,101,8,26
Gàidhlig,41,41%,6,19,9, -,34,6,58,59%,14,20,18, -,52,3,99,20,39,27, -,86,9,21
German,398,27%,125,84,89, -,298,30,"1,061",73%,323,231,261, -,815,96,"1,459",448,315,350, -,"1,113",126,222
Italian,48,25%,24,6,6, -,36,5,146,75%,76,23,21, -,120,5,194,100,29,27, -,156,10,35
Latin,115,45%,51,26,18, -,95,11,142,55%,65,34,23, -,122,11,257,116,60,41, -,217,22,39
Russian,6,40%,6,0,0, -,6,0,9,60%,8,1,0, -,9,0,15,14,1,0, -,15,0,12
Spanish,324,24%,149,71,60, -,280,12,"1,003",76%,483,225,166, -,874,42,"1,327",632,296,226, -,"1,154",54,161
Urdu,26,45%,17,8,0, -,25,0,32,55%,24,7,0, -,31,0,58,41,15,0, -,56,0,11
,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,757,52%,223,166,154, -,543,65,708,48%,188,157,129, -,474,53,"1,465",411,323,283, -,"1,017",118,182
Mathematics,"10,140",52%,"2,514","2,436","2,376", -,"7,326",865,"9,496",48%,"2,225","2,339","2,286", -,"6,850",936,"19,636","4,739","4,775","4,662", -,"14,176","1,801",422
,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"3,114",34%,777,758,687, -,"2,222",335,"6,018",66%,"1,273","1,499","1,476", -,"4,248",671,"9,132","2,050","2,257","2,163", -,"6,470","1,006",356
Biotechnology,15,43%,2,5,2, -,9,1,20,57%,7,5,5, -,17,1,35,9,10,7, -,26,2,3
Chemistry,"4,858",51%,"1,452","1,191","1,185", -,"3,828",401,"4,647",49%,"1,289","1,157","1,173", -,"3,619",370,"9,505","2,741","2,348","2,358", -,"7,447",771,404
Geology,38,66%,18,10,5, -,33,5,20,34%,14,4,1, -,19,0,58,32,14,6, -,52,5,10
Human Biology,"1,162",31%,247,296,294, -,837,112,"2,593",69%,456,672,645, -,"1,773",263,"3,755",703,968,939, -,"2,610",375,182
Managing Environmental Resources,66,49%,23,19,17, -,59,2,69,51%,26,21,12, -,59,1,135,49,40,29, -,118,3,14
Physics,"6,386",73%,"1,760","1,549","1,361", -,"4,670",562,"2,379",27%,785,590,477, -,"1,852",195,"8,765","2,545","2,139","1,838", -,"6,522",757,403
,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,205,42%,64,37,42, -,143,17,288,58%,110,76,57, -,243,6,493,174,113,99, -,386,23,39
Economics,415,67%,131,111,93, -,335,36,205,33%,49,46,45, -,140,23,620,180,157,138, -,475,59,53
Geography,"3,680",51%,989,821,834, -,"2,644",330,"3,526",49%,"1,201",861,682, -,"2,744",265,"7,206","2,190","1,682","1,516", -,"5,388",595,380
