Subject,all-Entries,all-Pass,all-A,all-B,all-C,all-D,all-PassesInUngradedCourses,male-Entries,male-A,male-B,male-C,male-Pass,male-D,male-PassesInUngradedCourses,female-Entries,female-A,female-B,female-C,female-Pass,female-D,female-PassesInUngradedCourses,NumberOfCentres
English,"6,651","4,360",815,"1,467","2,078",809, -,"3,668",444,826,"1,111","2,381",441, -,"2,983",371,641,967,"1,979",368, -,363
French,"1,691","1,361",662,380,319,107, -,837,278,192,187,657,62, -,854,384,188,132,704,45, -,71
Gaelic (Learners),69,58,47,7,4,3, -,23,12,2,2,16,2, -,46,35,5,2,42,1, -,4
Gàidhlig,29,27,26,1,0,1, -,15,15,0,0,15,0, -,14,11,1,0,12,1, -,3
German,225,147,46,45,56,23, -,130,22,21,33,76,16, -,95,24,24,23,71,7, -,23
Italian,104,77,47,19,11,6, -,34,4,12,4,20,4, -,70,43,7,7,57,2, -,18
Latin,0, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
Russian,1,1,1,0,0,0, -,1,1,0,0,1,0, -,0,,,,,, -,1
Spanish,778,639,426,125,88,31, -,322,139,55,52,246,19, -,456,287,70,36,393,12, -,89
,,,,,,,,,,,,,,,,,,,,,,
Accounting,100,70,33,22,15,5, -,49,17,10,8,35,0, -,51,16,12,7,35,5, -,20
Mathematics,"12,650","7,612","3,109","2,194","2,309",900, -,"6,318","1,646","1,094","1,092","3,832",440, -,"6,332","1,463","1,100","1,217","3,780",460, -,391
,,,,,,,,,,,,,,,,,,,,,,
Biology,"5,699","3,713","1,112","1,330","1,271",625, -,"2,169",410,520,477,"1,407",209, -,"3,530",702,810,794,"2,306",416, -,257
Chemistry,"2,824","2,200",889,743,568,221, -,"1,582",481,443,309,"1,233",120, -,"1,242",408,300,259,967,101, -,233
Geology,55,49,33,10,6,1, -,34,20,7,3,30,0, -,21,13,3,3,19,1, -,7
Managing Environmental Resources,69,55,20,15,20,2, -,39,8,13,9,30,2, -,30,12,2,11,25,0, -,8
Physics,"2,379","1,697",649,544,504,180, -,"1,969",531,470,413,"1,414",148, -,410,118,74,91,283,32, -,211
,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,17,10,5,3,2,3, -,11,3,1,1,5,2, -,6,2,2,1,5,1, -,7
Economics,11,7,2,2,3,1, -,6,1,2,2,5,1, -,5,1,0,1,2,0, -,4
Geography, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
Geography (New),688,364,37,129,198,107, -,393,25,76,115,216,62, -,295,12,53,83,148,45, -,146
History,"1,356","1,042",243,453,346,105, -,727,132,242,181,555,53, -,629,111,211,165,487,52, -,172
Modern Studies,584,418,144,140,134,43, -,259,68,58,57,183,22, -,325,76,82,77,235,21, -,118
Psychology, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
Psychology (New),158,114,44,39,31,7, -,44,10,12,8,30,2, -,114,34,27,23,84,5, -,21
"Religious, Moral and Philosophical Studies", -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
"Religious, Moral and Philosophical Studies (New)",852,587,295,165,127,41, -,365,121,64,51,236,21, -,487,174,101,76,351,20, -,39
Sociology,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
,,,,,,,,,,,,,,,,,,,,,,
Administration,"2,207","1,792",699,671,422,121, -,624,188,182,128,498,32, -,"1,583",511,489,294,"1,294",89, -,219
Applied Practical Electronics,178,146,80,37,29,5, -,165,74,35,26,135,5, -,13,6,2,3,11,0, -,11
Business Management,635,516,260,141,115,32, -,321,141,75,48,264,19, -,314,119,66,67,252,13, -,80
Care,319,241,121,68,52,23, -,21,5,6,3,14,2, -,298,116,62,49,227,21, -,24
Computing Studies,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
Computing Studies (New),"2,403","2,088","1,066",644,378,69, -,"1,511",675,396,248,"1,319",37, -,892,391,248,130,769,32, -,129
Construction Crafts,667,616, -, -, -, -,616,647, -, -, -,597, -,597,20, -, -, -,19,0,19,25
Early Education and Childcare,468,437, -, -, -, -,437,7, -, -, -,7, -,7,461, -, -, -,430, -,430,28
Engineering Craft Skills,152,143,49,49,45,2, -,150,49,49,43,141,2, -,2,0,0,2,2,0, -,33
Engineering Skills,33,33, -, -, -, -,33,32, -, -, -,32, -,32,1, -, -, -,1, -,1,6
Graphic Communication,142,70,19,23,28,21, -,109,12,20,22,54,14, -,33,7,3,6,16,7, -,27
Hairdressing,403,391, -, -, -, -,391,4, -, -, -,4, -,4,399, -, -, -,387, -,387,20
Home Economics: Fashion and Textile Technology,535,502,204,208,90,16, -,15,4,8,1,13,1, -,520,200,200,89,489,15, -,47
Home Economics: Health and Food Technology,491,451,229,176,46,20, -,170,56,69,23,148,11, -,321,173,107,23,303,9, -,33
Home Economics: Lifestyle and Consumer Technology,730,673,288,285,100,13, -,30,8,13,5,26,2, -,700,280,272,95,647,11, -,58
Hospitality,19,16, -, -, -, -,16,8, -, -, -,7, -,7,11, -, -, -,9, -,9,3
Hospitality: Practical Cookery,"5,117","4,670","1,710","2,010",950,174, -,"1,894",526,756,419,"1,701",92, -,"3,223","1,184","1,254",531,"2,969",82, -,248
Personal and Social Education,55,55,44,8,3,0, -,17,11,3,3,17,0, -,38,33,5,0,38,0, -,8
Rural Skills,141,128, -, -, -, -,128,116, -, -, -,106, -,106,25, -, -, -,22, -,22,18
Travel and Tourism,788,699,444,154,101,17, -,266,157,48,30,235,6, -,522,287,106,71,464,11, -,81
Woodworking Skills,"1,759","1,545",436,553,556,27, -,"1,511",373,477,473,"1,323",26, -,248,63,76,83,222,1, -,167
,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"2,677","2,560","1,901",472,187,39, -,"1,140",774,204,97,"1,075",27, -,"1,537","1,127",268,90,"1,485",12, -,197
Drama,214,185,127,39,19,1, -,88,49,17,9,75,0, -,126,78,22,10,110,1, -,30
Media Studies,534,303,86,108,109,58, -,281,38,55,64,157,25, -,253,48,53,45,146,33, -,62
Music,887,656,203,246,207,63, -,430,101,118,92,311,29, -,457,102,128,115,345,34, -,124
,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"1,403","1,260",663,376,221,46, -,961,447,266,156,869,26, -,442,216,110,65,391,20, -,103
Sport and Recreation,320,282, -, -, -, -,282,256, -, -, -,228, -,228,64, -, -, -,54, -,54,15
