Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-percentage,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek,1,50%,1,0,0,1,0,1,50%,1,0,0,1,0,2,2,0,0,2,0,1
English,518,33%,74,137,201,412,43,"1,072",67%,110,310,449,869,110,"1,590",184,447,650,"1,281",153,269
French,165,23%,38,52,45,135,13,545,77%,149,150,142,441,39,710,187,202,187,576,52,191
Gaelic (Learners),5,33%,3,0,0,3,0,10,67%,5,4,1,10,0,15,8,4,1,13,0,9
Gàidhlig,2,14%,0,0,1,1,0,12,86%,3,4,4,11,0,14,3,4,5,12,0,8
German,33,22%,16,8,5,29,1,118,78%,44,29,26,99,11,151,60,37,31,128,12,65
Italian,7,37%,5,1,1,7,0,12,63%,6,5,1,12,0,19,11,6,2,19,0,11
Latin,20,50%,9,9,0,18,0,20,50%,7,4,6,17,1,40,16,13,6,35,1,16
Spanish,43,22%,11,14,10,35,2,153,78%,54,35,38,127,10,196,65,49,48,162,12,57
,,,,,,,,,,,,,,,,,,,,,
Applied Mathematics,205,67%,81,34,36,151,15,100,33%,36,25,18,79,5,305,117,59,54,230,20,40
Accounting,35,45%,18,0,7,25,2,43,55%,12,7,10,29,2,78,30,7,17,54,4,29
Mathematics,"1,801",59%,409,338,417,1164,211,"1,226",41%,299,292,298,889,119,"3,027",708,630,715,"2,053",330,333
,,,,,,,,,,,,,,,,,,,,,
Biology,748,36%,133,188,216,537,83,"1,347",64%,284,353,361,998,157,"2,095",417,541,577,"1,535",240,290
Chemistry,"1,131",52%,270,294,277,841,97,"1,052",48%,308,296,280,884,60,"2,183",578,590,557,"1,725",157,294
Physics,"1,230",79%,378,294,273,945,107,320,21%,130,84,58,272,17,"1,550",508,378,331,"1,217",124,260
,,,,,,,,,,,,,,,,,,,,,
Classical Studies,22,40%,9,10,2,21,1,33,60%,12,11,5,28,0,55,21,21,7,49,1,13
Economics,65,83%,22,25,12,59,1,13,17%,4,5,2,11,1,78,26,30,14,70,2,12
Geography,372,42%,56,117,157,330,28,516,58%,121,198,162,481,21,888,177,315,319,811,49,171
History,475,47%,156,134,114,404,31,541,53%,184,169,133,486,26,"1,016",340,303,247,890,57,189
Modern Studies,250,34%,78,87,61,226,11,487,66%,185,177,92,454,14,737,263,264,153,680,25,127
"Religious, Moral and Philosophical Studies",54,27%,21,16,15,52,0,148,73%,51,54,25,130,9,202,72,70,40,182,9,43
,,,,,,,,,,,,,,,,,,,,,
Administration,1,14%,0,1,0,1,0,6,86%,1,1,2,4,1,7,1,2,2,5,1,5
Business Management,108,45%,2,12,37,51,24,132,55%,4,14,54,72,23,240,6,26,91,123,47,64
Computing,346,84%,105,100,70,275,27,65,16%,15,16,25,56,4,411,120,116,95,331,31,114
Graphic Communication,543,70%,200,199,85,484,18,230,30%,120,62,39,221,3,773,320,261,124,705,21,162
Home Economics: Health and Food Technology,0,0%,-,-,-,-,-,20,100%,2,6,9,17,1,20,2,6,9,17,1,11
Information Systems,49,73%,7,10,19,36,3,18,27%,4,8,3,15,2,67,11,18,22,51,5,21
Product Design,27,47%,1,6,7,14,4,30,53%,7,6,12,25,0,57,8,12,19,39,4,20
Technological Studies,78,92%,26,17,15,58,6,7,8%,5,1,0,6,0,85,31,18,15,64,6,30
,,,,,,,,,,,,,,,,,,,,,
Art and Design: Design,135,20%,38,37,45,120,10,528,80%,118,151,192,461,45,663,156,188,237,581,55,213
Art and Design: Expressive,199,23%,64,52,50,166,19,685,77%,196,174,221,591,50,884,260,226,271,757,69,248
Drama,90,31%,16,28,27,71,8,196,69%,28,63,69,160,18,286,44,91,96,231,26,60
Music,525,47%,343,131,34,508,5,593,53%,372,158,49,579,2,"1,118",715,289,83,"1,087",7,293
,,,,,,,,,,,,,,,,,,,,,
Physical Education,60,70%,11,7,14,32,7,26,30%,6,4,8,18,4,86,17,11,22,50,11,27
