Subject,all-Entries,all-percentageA,all-percentageB,all-percentageC,all-percentageD,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentagePass,female-percentagePass
Accounting,777,49,19,15,6,45,55,52,47,86,81
Administration and IT,"4,267",26,28,24,8,26,74,21,28,71,81
Art and Design,"9,104",42,25,18,6,21,79,32,45,80,87
Biology,"16,147",23,20,22,11,33,67,22,24,64,67
Business Management,"5,845",35,27,20,7,46,54,30,39,79,85
Care,24,29,38,25,4,4,96,***,26,***,91
Chemistry,"14,157",30,24,20,8,49,51,29,30,73,73
Chinese Languages,1,***,***,***,***,0,100,-,***,-,***
Classical Studies,103,69,15,7,4,50,50,57,81,90,90
Computing Science,"5,853",33,28,23,7,76,24,32,35,82,86
Dance,361,45,26,18,4,1,99,80,45,100,89
Design and Manufacture,"4,135",47,27,17,4,73,27,43,57,90,92
Drama,"4,146",57,24,13,3,29,71,47,61,91,95
Economics,89,36,21,26,7,65,35,36,35,79,90
Engineering Science,"1,296",43,22,17,6,92,8,41,67,81,93
English,"28,798",39,29,20,5,44,56,31,44,83,90
English for Speakers of Other Languages,210,39,28,20,3,39,61,44,36,86,88
Environmental Science,67,13,9,22,21,46,54,16,11,42,47
Fashion and Textile Technology,363,74,16,8,1,2,98,71,74,100,97
French,"9,444",51,20,16,6,35,65,43,55,82,90
Gaelic (Learners),163,51,22,18,5,28,72,44,53,91,91
Gàidhlig,175,59,27,11,3,40,60,53,63,96,98
Geography,"9,647",33,23,21,8,53,47,27,40,73,82
German,"2,206",58,21,14,3,40,60,51,62,91,94
Graphic Communication,"6,129",38,27,19,6,67,33,32,49,81,90
Health and Food Technology,"1,763",15,27,28,10,18,82,7,17,53,74
History,"13,430",39,23,20,6,45,55,34,43,80,85
Hospitality: Practical Cake Craft,562,59,25,11,2,21,79,44,63,97,95
Hospitality: Practical Cookery,"3,592",53,32,12,2,29,71,38,58,93,98
Italian,231,61,20,9,3,31,69,54,64,83,93
Latin,347,90,5,4,0,44,56,90,91,99,99
Lifeskills Mathematics,223,9,19,26,13,51,49,10,7,54,53
Mathematics,"22,536",36,19,16,7,48,52,36,36,71,71
Media,254,13,22,28,12,38,62,8,16,53,68
Modern Studies,"9,317",39,23,18,7,41,59,35,43,79,82
Music,"6,945",65,20,10,2,42,58,62,67,94,96
Music Technology,250,54,26,13,4,69,31,54,55,94,91
Philosophy,109,19,24,20,10,29,71,16,21,53,68
Physical Education,"11,441",62,26,9,2,69,31,59,69,97,98
Physics,"11,932",25,23,21,9,70,30,22,31,66,75
Practical Electronics,51,31,20,20,10,96,4,31,***,69,***
Practical Metalworking,296,58,22,14,0,93,7,58,55,94,91
Practical Woodworking,"2,464",54,22,16,2,89,11,53,62,93,91
Psychology,85,34,26,21,4,34,66,48,27,86,79
"Religious, Moral and Philosophical Studies","1,231",38,20,18,7,29,71,28,43,69,79
Sociology,70,19,36,26,3,14,86,10,20,60,83
Spanish,"2,923",58,19,14,4,34,66,52,61,88,92
Urdu,42,81,7,12,0,40,60,71,88,100,100
