Subject,all-Entries,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentageA-C,female-percentageA-C,all-percentageA,all-percentageB,all-percentageC,all-percentageD,NumberOfCentres
Accounting,191,45,55,39,56,72,83,48,18,12,4,
Administration,"2,039",30,70,14,21,70,74,19,25,29,9,
Art and Design,"2,903",29,71,47,64,89,95,59,22,12,3,
Biology,"7,015",37,63,19,17,64,65,18,20,27,15,
Biotechnology,56,50,50,36,32,82,75,34,16,29,4,
Business Management,"2,450",47,53,22,27,70,74,25,24,22,11,
Care,653,7,93,13,36,71,77,34,23,20,4,
Care Issues for Society: Child Care,28,0,100,-,0,-,86,0,21,64,0,
Care Issues for Society: Older People,70,13,87,22,54,100,98,50,43,6,0,
Chemistry,"3,839",54,46,30,37,67,74,34,17,20,10,
Chinese Languages,52,46,54,75,75,100,100,75,13,12,0,
Classical Greek,2,100,0,***,-,***,-,***,***,***,***,
Classical Studies,103,59,41,61,67,93,83,63,17,10,1,
Computing,"2,092",81,19,25,29,70,75,25,24,22,9,
Creative Cake Production,844,21,79,31,64,93,98,57,29,11,3,
Drama,815,44,56,43,54,90,93,49,24,19,4,
Economics,181,67,33,69,73,93,98,71,17,8,2,
Electrical Installation Fundamentals,79,97,3,5,***,75,***,5,34,37,5,
Electronic and Electrical Fundamentals,23,91,9,62,***,81,***,61,13,9,0,
Engineering Craft Skills,829,96,4,42,62,93,97,43,34,17,2,
English,"19,453",52,48,16,24,77,86,20,30,32,9,
English for Speakers of Other Languages,550,40,60,33,36,79,82,35,25,22,7,
French,"2,441",40,60,53,64,90,94,60,20,13,3,
Gaelic (Learners),22,36,64,25,7,63,50,14,27,14,23,
Gàidhlig,14,57,43,13,67,100,100,36,21,43,0,
Geography,"2,525",58,42,27,35,72,75,31,20,22,10,
Geology,11,91,9,40,***,70,***,45,0,27,9,
German,375,46,54,41,51,83,88,46,24,15,7,
Graphic Communication,"1,416",76,24,34,42,77,80,36,22,19,8,
Health and Safety in Care Settings,248,6,94,21,48,86,93,47,24,22,1,
History,"3,509",52,48,18,24,68,76,21,25,26,11,
Home Economics: Fashion and Textile Technology,66,2,98,***,51,***,89,50,27,12,3,
Home Economics: Health and Food Technology,185,28,72,10,19,71,83,16,30,33,11,
Home Economics: Lifestyle and Consumer Technology,37,11,89,***,3,***,39,3,14,22,22,
Hospitality - General Operations,112,36,64,30,42,80,86,38,34,13,5,
Hospitality - Professional Cookery,130,45,55,29,32,88,94,31,37,24,5,
Hospitality: Practical Cookery,"3,690",34,66,46,69,95,99,62,27,9,1,
Information Systems,479,73,27,13,16,70,67,14,23,32,11,
Italian,116,32,68,65,80,89,99,75,16,4,3,
Latin,105,55,45,95,91,100,100,93,5,2,0,
Managing Environmental Resources,57,46,54,23,26,77,68,25,28,19,5,
Mathematics,"18,297",50,50,32,35,68,72,33,19,18,8,
Media Studies,612,51,49,10,19,52,68,14,19,26,14,
Modern Studies,"2,461",47,53,26,30,74,78,28,23,24,7,
Music,"1,479",49,51,50,54,93,92,52,25,15,3,
Philosophy,200,41,60,35,29,59,57,31,12,15,7,
Physical Education,"3,391",76,24,37,45,96,96,39,37,19,2,
Physics,"3,680",76,24,31,58,69,86,37,19,17,7,
Product Design,885,75,25,28,49,74,84,33,23,20,7,
Psychology,564,31,69,28,34,64,74,32,19,20,7,
"Religious, Moral and Philosophical Studies",858,38,62,23,29,54,62,27,15,17,5,
Russian,10,30,70,***,100,***,100,100,0,0,0,
Selling Overseas Tourist Destinations,12,25,75,***,22,***,89,25,17,50,8,
Sociology,278,28,72,29,31,70,72,31,21,21,5,
Spanish,971,32,68,54,63,90,94,60,20,12,3,
Technological Studies,191,94,6,40,75,79,92,42,21,17,4,
Travel and Tourism,562,38,62,19,24,73,70,22,22,26,9,
Woodworking Skills,"2,868",88,12,47,51,97,96,47,31,18,0,
