Subject,all-Entries,male-percentage,female-percentage,all-Attainment,male-percentageAttainment,female-percentageAttainment,NumberOfCentres
Business in Practice,17,59,41,7,50,29,
Creative Arts,58,64,36,36,62,62,
English and Communication,205,68,32,180,90,83,
"Food, Health and Wellbeing",101,61,39,69,66,72,
French,14,86,14,14,100,***,
Information and Communications Technology,50,80,20,25,55,30,
Lifeskills Mathematics,287,63,37,246,85,87,
Performance Arts,70,53,47,57,70,94,
Physical Education,89,65,35,66,76,71,
Practical Craft Skills,53,79,21,50,95,91,
Science in the Environment,110,71,29,73,62,78,
Social Subjects,85,72,28,71,84,83,
Spanish,15,67,33,9,50,80,
