Subject,all-Entries,all-Pass,male-percentage,male-percentagePass,female-percentage,female-percentagePass,NumberOfCentres
Administration and IT,"2,632","2,515",41,95,59,96,
Art and Design,"6,091","5,739",40,93,60,95,
Biology,"10,092","9,534",37,94,63,94,
Business,"2,820","2,694",53,95,47,96,
Care,101,78,6,83,94,77,
Chemistry,"7,249","6,881",51,94,49,96,
Chinese Languages,12,12,58,100,42,100,
Classical Studies,28,27,64,100,36,90,
Computing Science,"3,960","3,710",77,94,23,94,
Design and Manufacture,"2,445","2,142",82,87,18,89,
Drama,"1,414","1,281",46,90,54,91,
Engineering Science,397,331,97,83,3,92,
English,"19,871","19,026",60,96,40,96,
English for Speakers of Other Languages,92,85,66,90,34,97,
Environmental Science,145,132,61,90,39,93,
Fashion and Textile Technology,319,280,1,***,99,88,
French,"5,334","5,193",51,98,49,97,
Gaelic (Learners),87,87,52,100,48,100,
Gàidhlig,27,24,63,94,37,80,
Geography,"4,871","4,641",62,95,38,96,
German,"1,037","1,009",53,97,47,97,
Graphic Communication,"1,745","1,551",79,88,21,91,
Health and Food Technology,"1,258","1,163",34,91,66,93,
History,"6,565","6,281",58,95,42,96,
Hospitality: Practical Cookery,"4,198","4,007",39,95,61,96,
Italian,107,106,45,100,55,98,
Latin,6,3,17,***,83,40,
Lifeskills Mathematics,"1,695","1,479",54,87,46,88,
Mathematics,"22,490","20,945",51,93,49,93,
Media,369,339,55,92,45,92,
Modern Studies,"4,478","4,238",50,94,50,96,
Music,"2,146","1,824",51,85,49,85,
Music Technology,91,86,78,94,22,95,
People and Society,89,84,56,92,44,97,
Physical Education,"5,347","5,111",71,95,29,97,
Physics,"5,918","5,587",80,95,20,94,
Practical Electronics,110,70,95,64,5,50,
Practical Metalworking,203,152,97,74,3,86,
Practical Woodworking,"2,098","1,765",86,84,14,83,
"Religious, Moral and Philosophical Studies","1,620","1,435",42,87,58,90,
Science,521,483,58,92,42,94,
Spanish,1604,"1,575",49,98,51,98,
Urdu,29,29,45,100,55,100,
