Subject,all-Entries,,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentageA-C,female-percentageA-C,all-percentageA,all-percentageB,all-percentageC,all-percentageD,NumberOfCentres
Accounting,37,37,16,84,17,61,83,87,54,16,16,5,
Administration,86,86,34,66,21,30,59,86,27,28,22,10,
Art and Design,185,185,34,66,22,51,67,89,41,23,17,8,
Biology,444,444,38,62,15,23,62,66,20,23,22,11,
Biotechnology,4,4,25,75,***,***,***,***,***,***,***,***,
Business Management,386,386,49,51,24,30,69,71,27,22,21,10,
Care,253,253,5,95,15,35,62,78,34,26,17,5,
Care Issues for Society: Child Care,21,21,0,100,-,0,-,100,0,43,57,0,
Care Issues for Society: Older People,17,17,6,94,***,38,***,75,41,29,6,0,
Chemistry,464,464,48,52,41,51,78,86,46,20,16,5,
Chinese Languages,11,11,27,73,***,100,***,100,100,0,0,0,
Classical Greek,10,10,50,50,60,100,100,100,80,10,10,0,
Classical Studies,28,28,64,36,39,70,94,100,50,29,18,0,
Computing,232,232,86,14,12,19,67,50,13,22,30,10,
Creative Cake Production,72,72,19,81,43,53,93,100,51,42,6,0,
Drama,30,30,47,53,64,63,100,100,63,20,17,0,
Economics,100,100,63,37,71,84,95,95,76,12,7,1,
Electrical Installation Fundamentals,52,52,98,2,12,***,100,***,12,69,19,0,
Electronic and Electrical Fundamentals,3,3,100,0,***,-,***,-,***,***,***,***,
Engineering Craft Skills,116,116,97,3,46,***,98,***,47,34,17,0,
English,"1,742","1,742",54,46,15,25,75,84,20,31,29,8,
English for Speakers of Other Languages,141,141,40,60,28,35,82,70,32,21,23,6,
French,177,177,46,54,59,66,90,90,63,18,9,2,
Gaelic (Learners),1,1,0,100,-,***,-,***,***,***,***,***,
Gàidhlig,6,6,33,67,***,***,***,***,17,17,50,0,
Geography,317,317,53,47,10,31,54,59,20,16,21,13,
Geology,6,6,50,50,***,***,***,***,50,50,0,0,
German,43,43,37,63,38,41,75,89,40,26,19,5,
Graphic Communication,67,67,82,18,29,50,80,83,33,22,25,7,
Health and Safety in Care Settings,180,180,4,96,38,54,100,98,53,31,13,1,
History,343,343,46,54,22,36,74,73,29,23,21,10,
Home Economics: Health and Food Technology,20,20,20,80,***,6,***,75,5,35,30,10,
Hospitality - General Operations,35,35,60,40,10,50,62,79,26,37,6,0,
Hospitality - Professional Cookery,29,29,41,59,50,35,100,100,41,38,21,0,
Hospitality: Practical Cookery,240,240,50,50,35,64,92,98,50,34,12,3,
Information Systems,77,77,71,29,16,9,67,55,14,21,29,10,
Italian,19,19,32,68,67,85,100,92,79,5,11,5,
Latin,14,14,36,64,80,100,100,100,93,7,0,0,
Managing Environmental Resources,30,30,77,23,9,14,87,57,10,20,50,0,
Mathematics,"2,302","2,302",46,54,19,24,51,57,21,15,18,9,
Media Studies,119,119,62,38,9,22,68,71,14,25,29,9,
Modern Studies,191,191,55,45,16,9,56,60,13,19,26,10,
Music,49,49,33,67,50,70,94,100,63,18,16,0,
Philosophy,68,68,41,59,14,20,68,60,18,21,25,4,
Physical Education,315,315,74,26,13,48,95,95,22,42,32,2,
Physics,352,352,64,36,45,71,79,98,55,18,13,4,
Product Design,96,96,84,16,31,47,83,93,33,38,14,6,
Psychology,281,281,29,71,32,41,60,76,38,16,17,7,
"Religious, Moral and Philosophical Studies",134,134,28,72,5,45,51,71,34,13,18,9,
Russian,6,6,50,50,***,***,***,***,100,0,0,0,
Sociology,150,150,31,69,35,31,76,72,32,23,18,13,
Spanish,125,125,37,63,59,71,89,94,66,14,12,4,
Technological Studies,21,21,95,5,65,***,90,***,67,14,10,5,
Travel and Tourism,209,209,36,64,13,35,63,75,27,21,22,10,
Woodworking Skills,226,226,82,18,58,63,96,98,59,25,12,1,
