Subject,all-Entries,all-percentageA,all-percentageB,all-percentageC,all-percentageD,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentagePass,female-percentagePass
Accounting,938,46,22,17,5,49,51,49,42,84,85
Administration and IT,"5,619",26,29,23,8,31,69,18,30,71,82
Art and Design,"10,150",36,27,21,6,23,77,24,40,77,88
Biology,"21,638",24,22,24,12,33,67,21,25,68,72
Business Management,"7,603",40,28,18,5,44,56,33,45,82,88
Care,561,44,19,22,4,8,92,41,44,80,85
Chemistry,"16,659",32,21,19,8,49,51,31,34,72,73
Chinese Languages,84,69,6,14,0,52,48,66,73,84,95
Classical Studies,69,52,17,17,6,41,59,39,61,89,85
Computing Science,"7,664",34,28,22,7,80,20,32,41,83,86
Dance,437,54,25,15,3,2,98,78,54,100,95
Design and Manufacture,"5,169",34,30,22,6,74,26,30,45,84,90
Drama,"4,716",56,24,13,3,30,70,49,58,91,95
Economics,150,49,31,15,3,75,25,47,54,93,97
Engineering Science,"1,808",47,23,16,6,92,8,46,61,86,89
English,"44,794",39,28,20,5,48,52,32,46,84,90
English for Speakers of Other Languages,683,48,29,13,2,39,61,42,51,90,89
Environmental Science,122,8,19,24,14,52,48,6,10,56,46
Fashion and Textile Technology,475,72,18,9,1,2,98,44,73,100,98
French,"10,551",56,19,14,4,35,65,50,60,86,92
Gaelic (Learners),109,46,25,18,3,36,64,41,49,87,90
Gàidhlig,167,61,23,12,2,38,62,43,72,94,97
Geography,"11,574",37,23,20,9,54,46,32,44,77,84
German,"2,188",51,19,18,5,42,58,43,56,86,90
Graphic Communication,"6,708",37,28,20,6,70,30,32,50,83,91
Health and Food Technology,"1,963",22,30,25,8,20,80,13,25,68,80
History,"15,777",35,22,20,7,47,53,31,39,75,80
Hospitality: Practical Cake Craft,"1,609",42,35,17,3,22,78,26,46,87,95
Hospitality: Practical Cookery,"6,461",31,39,21,5,30,70,20,36,86,94
Italian,203,70,17,7,2,28,72,67,72,95,95
Latin,454,91,6,2,0,46,54,89,93,100,100
Lifeskills Mathematics,"2,739",4,11,17,11,51,49,5,3,35,27
Mathematics,"36,483",30,17,15,7,49,51,30,30,62,62
Media,801,23,21,22,10,44,56,18,27,60,71
Modern Studies,"11,524",34,24,19,7,42,58,28,38,72,79
Music,"7,620",66,20,9,2,41,59,64,67,94,96
Music Technology,498,57,23,14,3,67,33,56,59,94,95
Philosophy,239,20,14,19,10,38,62,12,25,42,61
Physical Education,"14,167",56,29,11,2,69,31,53,63,96,97
Physics,"14,942",29,23,22,8,73,27,25,40,71,83
Practical Electronics,125,32,30,22,2,95,5,30,67,83,100
Practical Metalworking,934,54,26,14,2,94,6,53,69,94,98
Practical Woodworking,"4,279",49,27,18,2,87,13,49,53,93,96
Psychology,354,35,16,13,7,23,77,21,39,59,66
"Religious, Moral and Philosophical Studies","2,117",35,21,20,8,32,68,32,37,72,79
Sociology,92,21,25,20,13,39,61,17,23,50,75
Spanish,"3,968",59,19,12,4,34,66,51,63,87,91
Urdu,49,76,6,8,2,37,63,61,84,83,94
