Subject,all-Entries,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentageA-C,female-percentageA-C,all-percentageA,all-percentageB,all-percentageC,all-percentageD,NumberOfCentres
Accounting,585,49,51,34,34,72,80,34,24,18,8,
Administration and IT,"3,025",27,73,35,46,84,86,43,25,18,6,
Art and Design,"4,125",19,81,22,31,81,88,30,29,28,8,
Biology,"2,572",33,67,33,23,75,71,26,21,24,10,
Business Management,"5,259",42,58,27,37,77,82,32,26,21,7,
Care,316,8,92,12,7,64,64,8,26,30,11,
Chemistry,"4,020",50,50,24,21,73,75,22,25,27,10,
Childcare and Development,45,2,98,***,9,***,68,9,33,27,18,
Chinese Languages,20,35,65,86,85,100,100,85,10,5,0,
Classical Studies,97,51,49,27,58,86,90,42,18,28,8,
Computing Science,"1,182",85,15,16,19,69,70,16,24,28,14,
Dance,338,4,96,67,67,100,96,67,18,11,1,
Design and Manufacture,"2,224",71,29,15,29,65,77,19,24,26,12,
Drama,"2,425",29,71,33,41,86,91,39,29,22,5,
Economics,179,57,43,43,29,89,71,37,26,19,9,
Engineering Science,881,91,9,26,23,74,80,26,27,21,9,
English,"21,150",40,60,22,30,76,85,27,28,26,8,
English for Speakers of Other Languages,232,40,60,48,47,94,93,47,31,15,3,
Environmental Science,83,47,53,10,16,67,66,13,23,30,14,
Fashion and Textile Technology,213,0,100,***,49,***,94,48,25,21,3,
French,"2,751",25,75,45,46,90,87,46,25,17,5,
Gaelic (Learners),41,17,83,57,62,86,91,61,12,17,5,
Gàidhlig,87,25,75,27,40,82,83,37,24,22,6,
Geography,"3,866",49,51,20,30,68,79,25,25,23,10,
German,637,32,68,45,40,82,84,42,24,18,8,
Graphic Communication,"3,948",69,31,22,35,78,85,26,29,25,8,
Health and Food Technology,943,13,87,18,22,64,74,21,24,28,11,
History,"7,375",40,60,27,38,80,87,34,32,19,5,
Human Biology,"1,709",31,69,25,22,69,69,23,23,23,12,
Italian,104,26,74,93,70,100,100,76,14,10,0,
Latin,168,44,56,51,63,95,95,58,24,13,2,
Mathematics,"10,220",52,48,21,19,70,71,20,24,27,11,
Media,587,42,58,9,16,64,70,13,26,28,13,
Modern Studies,"4,796",37,63,22,27,66,72,25,23,23,9,
Music,"4,340",43,57,50,51,94,95,51,30,13,3,
Music Technology,280,70,30,47,49,85,93,48,24,16,5,
Philosophy,510,34,66,30,30,74,69,30,18,22,5,
Photography,"1,048",28,72,25,37,86,85,34,28,23,4,
Physical Education,"6,404",70,30,29,41,91,94,33,37,22,4,
Physics,"3,662",72,28,21,29,67,78,24,25,22,9,
Politics,186,42,58,34,40,81,79,38,24,18,4,
Psychology,497,26,74,18,25,56,69,23,19,24,6,
"Religious, Moral and Philosophical Studies","2,479",27,73,19,25,66,77,24,24,26,10,
Sociology,155,23,77,14,23,53,69,21,27,17,9,
Spanish,"1,487",28,72,54,53,85,87,53,18,15,6,
Urdu,50,32,68,56,85,100,94,76,16,4,0,
