Subject,all-Entries,all-Attainment,male-percentage,male-percentageAttainment,female-percentage,female-percentageAttainment,NumberOfCentres
Administration and IT,"2,730","2,596",42,94,58,96,
Art and Design,"4,484","4,153",40,93,60,93,
Biology,"9,929","9,417",37,94,63,95,
Business,"2,543","2,425",54,95,46,96,
Care,301,267,10,79,90,90,
Chemistry,"6,176","5,891",52,95,48,95,
Chinese Languages,62,56,61,100,39,75,
Classical Studies,35,33,57,90,43,100,
Computing Science,"3,075","2,882",82,94,18,94,
Design and Manufacture,"1,761","1,527",83,88,17,81,
Drama,"1,029",955,53,92,47,94,
Engineering Science,475,432,94,91,6,93,
English,"18,385","17,758",62,97,38,96,
English for Speakers of Other Languages,485,444,39,87,61,94,
Environmental Science,316,289,50,92,50,91,
Fashion and Textile Technology,189,165,3,67,97,88,
French,"3,290","3,202",49,98,51,97,
Gaelic (Learners),50,49,50,100,50,96,
Gàidhlig,23,20,65,93,35,75,
Geography,"4,203","4,010",61,95,39,96,
German,715,705,55,100,45,97,
Graphic Communication,"1,574","1,462",83,93,17,91,
Health and Food Technology,829,770,37,93,63,93,
History,"7,267","6,959",58,96,42,96,
Hospitality: Practical Cookery,"3,862","3,681",45,95,55,96,
Italian,140,139,44,98,56,100,
Latin,26,26,31,100,69,100,
Lifeskills Mathematics,"4,119","3,567",55,87,45,86,
Mathematics,"28,305","26,595",51,94,49,94,
Media,"1,074","1,003",61,93,39,94,
Modern Studies,"5,008","4,756",52,95,48,95,
Music,"1,383","1,179",52,85,48,85,
Music Technology,156,139,69,91,31,86,
People and Society,336,292,49,90,51,84,
Physical Education,"5,187","4,926",70,95,30,95,
Physics,"5,583","5,341",83,96,17,95,
Practical Electronics,112,89,95,78,5,100,
Practical Metalworking,240,172,98,72,3,50,
Practical Woodworking,"1,857","1,559",86,84,14,85,
"Religious, Moral and Philosophical Studies","2,294","2,165",45,94,55,94,
Science,548,517,55,93,45,96,
Spanish,"1,567","1,504",50,95,50,97,
Urdu,24,24,63,100,38,100,
