Subject,all-Entries,male-Entries,female-Entries,all-SCQF2,male-SCQF2,female-SCQF2,all-SCQF3,male-SCQF3,female-SCQF3,all-SCQF4,male-SCQF4,female-SCQF4,all-SCQF5,male-SCQF5,female-SCQF5,all-SCQF6,male-SCQF6,female-SCQF6
Achieving Excellence in Sport,89,84,5,,,,,,,,,,,,,89,84,5
Acting and Performance,79,30,49,,,,,,,,,,,,,79,30,49
Administration: Information Technology and Audio,155,16,139,,,,,,,,,,155,16,139,,,
Administration: Office Skills and Services,197,35,162,,,,,,,,,,197,35,162,,,
Angling and the Aquatic Environment,27,14,13,,,,27,14,13,,,,,,,,,
Art and Design: Digital Media,73,36,37,,,,,,,,,,,,,73,36,37
Bakery,244,91,153,,,,,,,244,91,153,,,,,,
Beauty Skills,171,3,168,,,,,,,171,3,168,,,,,,
Business with Information Technology,364,160,204,,,,,,,,,,224,82,142,140,78,62
Computer Games Development,1846,1687,159,,,,,,,455,413,42,1015,937,78,376,337,39
Computers and Digital Photography,90,50,40,,,,,,,,,,90,50,40,,,
Construction,"1,371",1314,57,,,,,,,,,,1371,1314,57,,,
Cosmetology,549,25,524,,,,,,,549,25,524,,,,,,
Cyber Security,585,502,83,,,,,,,117,97,20,337,295,42,131,110,21
Dance,323,18,305,,,,,,,216,16,200,107,2,105,,,
Digital Literacy,84,48,36,,,,84,48,36,,,,,,,,,
Digital Media Basics,131,96,35,,,,,,,131,96,35,,,,,,
Digital Media Editing,143,118,25,,,,,,,,,,143,118,25,,,
Digital Media Production,50,35,15,,,,,,,,,,,,,50,35,15
Digital Passport,226,192,34,,,,,,,,,,226,192,34,,,
Enterprise and Employability,"1,607",765,842,,,,,,,902,457,445,705,308,397,,,
Exercise and Fitness Leadership,488,343,145,,,,,,,,,,,,,488,343,145
Eye Treatments,96,0,96,,,,,,,,,,96,0,96,,,
Health & Social Care: Skills for Practice,161,29,132,,,,,,,,,,,,,161,29,132
Health and Social Care: Promoting Reablement,223,30,193,,,,,,,,,,,,,223,30,193
Horse Care,45,3,42,,,,,,,,,,,,,45,3,42
Legal Studies,76,27,49,,,,,,,,,,,,,76,27,49
Make-Up Skills,163,1,162,,,,,,,,,,163,1,162,,,
Musical Theatre,98,22,76,,,,,,,,,,,,,98,22,76
PC Passport: Beginner,175,96,79,,,,,,,175,96,79,,,,,,
PC Passport: Intermediate,164,92,72,,,,,,,,,,164,92,72,,,
Photography,821,300,521,,,,,,,302,103,199,519,197,322,,,
Play in a Sports Environment,152,87,65,,,,,,,,,,,,,152,87,65
Playwork and Childcare,494,29,465,,,,,,,,,,494,29,465,,,
Professional Cookery,204,107,97,,,,86,47,39,118,60,58,,,,,,
Professional Theatre Preparation,48,20,28,,,,,,,,,,,,,48,20,28
Radio Broadcasting,98,67,31,,,,,,,,,,98,67,31,,,
Scottish Bagpipes,226,178,48,79,58,21,46,34,12,101,86,15,,,,,,
Scottish Pipe Band Drumming,45,23,22,,,,45,23,22,,,,,,,,,
Social Services and Healthcare,90,6,84,,,,,,,,,,,,,90,6,84
"Social Services, Children and Young People",44,2,42,,,,,,,,,,,,,44,2,42
Software Development,63,61,2,,,,,,,,,,,,,63,61,2
Sound Production: Recording,95,68,27,,,,,,,,,,,,,95,68,27
Sports Coaching: Basketball (UKCC Level 1),196,146,50,,,,,,,196,146,50,,,,,,
Sports Coaching: Boxing,91,80,11,,,,,,,91,80,11,,,,,,
Sports Coaching: Canoeing (UKCC Level 1),212,145,67,,,,,,,212,145,67,,,,,,
Sports Coaching: Hockey (UKCC Level 1),105,38,67,,,,,,,105,38,67,,,,,,
Sports Coaching: Netball (UKCC Level 1),149,9,140,,,,,,,149,9,140,,,,,,
Sports Coaching: Rugby Union (UKCC Level 1),456,405,51,,,,,,,456,405,51,,,,,,
Sports Coaching: Rugby Union (UKCC Level 2),322,297,25,,,,,,,,,,322,297,25,,,
Sports Coaching: Teaching Aquatics (UKCC Level 1),694,230,464,,,,,,,694,230,464,,,,,,
Sports Coaching: Teaching Aquatics (UKCC Level 2),137,56,81,,,,,,,,,,137,56,81,,,
Sports Coaching: Tennis (UKCC Level 1),162,96,66,,,,,,,162,96,66,,,,,,
Sports Development,273,184,89,,,,,,,,,,,,,273,184,89
Web Design Fundamentals,227,197,30,,,,,,,,,,227,197,30,,,
