Subject,all-Entries,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentageA-C,female-percentageA-C,all-percentageA,all-percentageB,all-percentageC,all-percentageD,NumberOfCentres
Accounting,57,47,53,63,47,96,93,54,26,14,2,
Art and Design (Design),540,18,82,34,27,94,90,29,27,35,6,
Art and Design (Expressive),920,16,84,30,27,90,91,28,30,33,6,
Biology,"2,318",30,70,23,24,70,76,24,25,26,12,
Business Management,474,43,57,23,29,71,86,27,29,24,9,
Chemistry,"2,590",44,56,31,32,81,84,32,28,23,8,
Chinese Languages,54,54,46,93,92,100,100,93,6,2,0,
Classical Studies,47,36,64,53,40,94,90,45,32,15,6,
Computing Science,636,86,14,21,32,69,86,22,27,23,11,
Design and Manufacture,93,52,48,4,11,52,58,8,26,22,17,
Drama,509,27,73,35,30,89,83,31,27,27,8,
Economics,96,77,23,43,59,95,91,47,25,22,2,
Engineering Science,59,98,2,14,***,69,***,14,24,31,12,
English,"2,485",28,72,23,27,76,84,26,29,27,10,
French,638,24,76,44,43,86,87,43,26,18,6,
Gaelic (Learners),11,36,64,***,43,***,100,45,27,27,0,
Gàidhlig,30,33,67,40,70,80,90,60,13,13,7,
Geography,803,43,57,24,30,86,92,27,35,27,5,
German,124,27,73,68,64,91,93,65,14,14,3,
Graphic Communication,525,65,35,8,16,57,84,11,25,30,11,
Health and Food Technology,44,5,95,***,10,***,79,9,23,45,11,
History,"1,525",39,61,29,31,81,83,30,28,24,7,
Italian,36,31,69,73,88,91,96,83,11,0,3,
Latin,44,27,73,17,50,83,84,41,34,9,7,
Mathematics,"3,683",61,39,35,41,72,79,37,22,16,7,
Mathematics of Mechanics,304,77,23,49,54,77,90,50,15,14,5,
Modern Studies,841,32,68,22,27,73,81,25,28,25,10,
Music,"1,712",40,60,63,59,94,94,61,22,11,3,
Music: Portfolio,11,82,18,56,***,78,***,55,18,0,18,
Physical Education,430,56,44,19,25,70,81,22,29,25,12,
Physics,"1,890",80,20,28,42,77,89,31,27,22,8,
"Religious, Moral and Philosophical Studies",157,25,75,31,22,67,69,24,21,24,8,
Spanish,456,25,75,40,32,79,74,34,21,20,9,
Statistics,186,55,45,36,40,77,78,38,20,20,8,
