Subject,all-Entries,male-entries,female-entries,all-level2,male-level2,female-level2,all-level3,male-level3,female-level3,all-level4,male-level4,female-level4,all-level5,male-level5,female-level5,all-level6,male-level6,female-level6
Achieving Excellence in Sport,80,74,6,,,,,,,,,,,,,80,74,6
Acting and Performance,120,41,79,,,,,,,,,,,,,120,41,79
Administration: Information Technology and Audio,200,26,174,,,,,,,,,,200,26,174,,,
Administration: Office Skills and Services,258,64,194,,,,,,,,,,258,64,194,,,
Administrative Activities,128,45,83,,,,,,,128,45,83,,,,,,
Angling and the Aquatic Environment,14,5,9,,,,14,5,9,,,,,,,,,
Art and Design: Digital Media,94,41,53,,,,,,,,,,94,41,53,,,
Bakery,285,105,180,,,,,,,285,105,180,,,,,,
Beauty Skills,141,4,137,,,,,,,141,4,137,,,,,,
Building Services Engineering,274,272,2,,,,,,,,,,274,272,2,,,
Business Skills,55,31,24,,,,,,,,,,,,,55,31,24
Business with Information Technology,310,136,174,,,,,,,,,,107,49,58,203,87,116
Computer Games Development,"1,771",1567,204,,,,,,,484,401,83,934,844,90,353,322,31
Construction,666,632,34,,,,,,,,,,666,632,34,,,
Construction: Carpentry and Joinery at SCQF Level 5,146,131,15,,,,,,,,,,146,131,15,,,
Cosmetology,549,29,520,,,,,,,549,29,520,,,,,,
Creative Industries,113,64,49,,,,,,,113,64,49,,,,,,
Cyber Security,774,651,123,,,,,,,179,151,28,422,345,77,173,155,18
Dance,157,6,151,,,,,,,157,6,151,,,,,,
Digital Literacy,85,57,28,,,,85,57,28,,,,,,,,,
Digital Media Editing,185,163,22,,,,,,,,,,185,163,22,,,
Digital Passport,197,159,38,,,,,,,,,,197,159,38,,,
Enterprise and Business,63,27,36,,,,,,,,,,,,,63,27,36
Enterprise and Employability,"1,776",813,963,,,,,,,1019,472,547,757,341,416,,,
Exercise and Fitness Leadership,799,568,231,,,,,,,,,,,,,799,568,231
Health & Social Care: Skills for Practice,227,25,202,,,,,,,,,,,,,227,25,202
Health and Social Care: Promoting Reablement,139,14,125,,,,,,,,,,,,,139,14,125
Legal Studies,96,27,69,,,,,,,,,,,,,96,27,69
Make-Up Skills,93,0,93,,,,,,,,,,93,0,93,,,
Musical Theatre,116,28,88,,,,,,,,,,,,,116,28,88
PC Passport,"1,161",580,581,,,,,,,428,234,194,356,199,157,377,147,230
Photography,898,358,540,,,,,,,242,90,152,656,268,388,,,
Play in a Sports Environment,162,98,64,,,,,,,,,,,,,162,98,64
Playwork and Childcare,590,28,562,,,,,,,,,,590,28,562,,,
Professional Cookery,216,110,106,,,,64,34,30,152,76,76,,,,,,
Professional Theatre Preparation,87,30,57,,,,,,,,,,,,,87,30,57
Scottish Bagpipes,362,262,100,131,91,40,77,58,19,154,113,41,,,,,,
Scottish Pipe Band Drumming,37,26,11,,,,37,26,11,,,,,,,,,
Social Services and Healthcare,151,10,141,,,,,,,,,,,,,151,10,141
"Social Services, Children and Young People",489,25,464,,,,,,,,,,,,,489,25,464
Software Development,166,151,15,,,,,,,,,,,,,166,151,15
Sport and Fitness: Team Sports,102,79,23,,,,,,,,,,102,79,23,,,
Sports Coaching: Basketball (UKCC Level 1),127,85,42,,,,,,,127,85,42,,,,,,
Sports Coaching: General Gymnastics (UKCC Level 1),125,22,103,,,,,,,125,22,103,,,,,,
Sports Coaching: Gymnastics Women's Artistic (UKCC Level 1),109,3,106,,,,,,,109,3,106,,,,,,
Sports Coaching: Netball (UKCC Level 1),228,14,214,,,,,,,228,14,214,,,,,,
Sports Coaching: Rugby Union (UKCC Level 1),459,399,60,,,,,,,459,399,60,,,,,,
Sports Coaching: Rugby Union (UKCC Level 2),284,250,34,,,,,,,,,,284,250,34,,,
Sports Coaching: Teaching Aquatics (UKCC Level 1),673,212,461,,,,,,,673,212,461,,,,,,
Sports Coaching: Teaching Aquatics (UKCC Level 2),152,47,105,,,,,,,,,,152,47,105,,,
Sports Coaching: Tennis (UKCC Level 1),251,167,84,,,,,,,251,167,84,,,,,,
Sports Development,484,311,173,,,,,,,,,,,,,484,311,173
Technical Theatre in Practice,60,33,27,,,,,,,,,,,,,60,33,27
Web Design Fundamentals,131,109,22,,,,,,,,,,131,109,22,,,
