Subject,all-Entries,all-Attainment,male-percentage,female-percentage,male-percentageAttainment,female-percentageAttainment,NumberOfCentres
Business in Practice,85,82,62,38,96,97,
Creative Arts,110,98,62,38,93,83,
English and Communication,352,298,66,34,83,87,
"Food, Health and Wellbeing",167,157,63,37,93,95,
French,38,21,53,47,60,50,
Gàidhlig,0,-,-,-,-,-,
German,0,-,-,-,-,-,
Information and Communications Technology,126,84,75,25,65,72,
Italian,0,-,-,-,-,-,
Lifeskills Mathematics,475,379,63,37,79,82,
Performance Arts,142,115,58,42,87,73,
Physical Education,170,142,63,37,89,75,
Practical Craft Skills,61,57,64,36,92,95,
Science in the Environment,153,113,69,31,71,79,
Social Subjects,171,148,62,38,85,89,
Spanish,55,46,64,36,74,100,
