Subject,all-Entries,male-percentage,female-percentage,NotKnown-percentage,NA-percentage,male-percentageA,female-percentageA,NotKnown-percentageA,NA-percentageA,male-percentageA-C,female-percentageA-C,NotKnown-percentageA-C,NA-percentageA-C,all-percentageA,all-percentageB,all-percentageC,all-percentageD,NumberOfCentres
,,,,,,,,,,,,,,,,,,
Accounting,64,58,42,0,0,35,44,-,-,89,89,-,-,39,25,25,8,
Art and Design (Design),508,19,81,0,0,45,35,-,-,92,92,-,-,37,28,27,4,
Art and Design (Expressive),937,15,85,0,0,36,29,-,-,92,91,-,-,30,31,30,6,
Biology,"2,315",29,71,0,0,21,26,-,-,72,75,-,-,25,25,25,12,
Business Management,453,43,57,0,0,24,26,-,-,75,78,-,-,25,25,26,9,
Chemistry,"2,452",44,56,0,0,33,34,-,-,83,82,-,-,34,26,22,7,
Chinese Languages,61,43,57,0,0,81,86,-,-,100,100,-,-,84,10,7,0,
Classical Studies,38,34,66,0,0,23,48,-,-,100,100,-,-,39,42,18,0,
Computing Science,614,86,14,0,0,23,29,-,-,65,75,-,-,24,21,21,10,
Design and Manufacture,79,59,41,0,0,6,9,-,-,60,72,-,-,8,25,32,14,
Drama,567,28,72,0,0,23,23,***,-,83,81,***,-,23,30,29,9,
Economics,107,73,27,0,0,50,69,-,-,92,100,-,-,55,23,16,2,
Engineering Science,36,89,11,0,0,28,***,-,-,84,***,-,-,25,19,42,8,
English,"2,347",28,72,0,0,21,21,-,-,75,80,-,-,21,27,31,12,
French,603,25,75,0,0,47,38,-,-,80,76,-,-,40,18,20,6,
Gaelic (Learners),20,25,75,0,0,40,20,-,-,100,80,-,-,25,40,20,10,
Gàidhlig,29,17,83,0,0,40,46,-,-,80,96,-,-,45,28,21,7,
Geography,708,41,59,0,0,20,31,-,-,81,89,-,-,27,33,26,8,
German,127,39,61,0,0,65,59,-,-,96,96,-,-,61,23,12,1,
Graphic Communication,507,62,38,0,0,8,15,-,-,59,71,-,-,11,25,28,11,
Health and Food Technology,22,5,95,0,0,***,5,-,-,***,76,-,-,5,18,55,5,
History,"1,273",38,62,0,0,30,28,-,-,78,81,-,-,29,27,24,8,
Italian,27,37,63,0,0,50,71,-,-,90,82,-,-,63,15,7,7,
Latin,59,27,73,0,0,25,37,-,-,69,77,-,-,34,17,24,5,
Mathematics,"3,706",59,41,0,0,36,39,-,-,74,78,-,-,37,21,17,7,
Mathematics of Mechanics,294,79,21,0,0,40,44,-,-,76,82,-,-,41,14,21,7,
Modern Studies,803,29,71,0,0,28,30,-,-,71,79,-,-,29,24,23,6,
Music,"1,698",40,60,0,0,58,52,-,-,92,92,-,-,54,24,14,4,
Music: Portfolio,9,56,44,0,0,60,***,-,-,60,***,-,-,44,11,11,22,
Physical Education,499,59,41,0,0,20,29,-,-,72,84,-,-,24,26,27,12,
Physics,"1,646",77,23,0,0,29,40,-,-,77,85,-,-,31,27,20,9,
"Religious, Moral and Philosophical Studies",175,26,74,0,0,48,28,-,-,85,75,-,-,33,25,20,8,
Spanish,470,24,76,0,0,44,35,-,-,80,77,-,-,37,20,21,8,
Statistics,212,59,41,0,0,31,37,-,-,78,78,-,-,33,27,17,6,
