Subject,all-Entries,male-percentage,female-percentage,NotKnown-percentage,NA-percentage,male-percentageA,female-percentageA,NotKnown-percentageA,NA-percentageA,male-percentageA-C,female-percentageA-C,NotKnown-percentageA-C,NA-percentageA-C,all-percentageA,all-percentageB,all-percentageC,all-percentageD,NumberOfCentres
Accounting,"1,222",56,44,0,0,41,42,-,-,77,81,-,-,41,19,18,10,
Administration and IT,"3,770",35,65,0,0,24,31,-,-,76,80,-,-,29,27,23,14,
Art and Design,"5,233",19,81,0,0,20,25,-,***,76,82,-,***,24,28,29,15,
Biology,"7,686",34,66,0,0,28,27,-,-,74,72,-,-,28,22,23,17,
Business Management,"8,322",46,54,0,0,27,35,-,-,73,78,-,-,32,24,21,13,
Care,838,9,91,0,0,12,10,-,***,49,57,-,***,10,19,27,22,
Chemistry,"10,047",47,53,0,0,30,30,-,-,74,77,-,-,30,24,22,16,
Childcare and Development,393,4,96,0,0,24,14,-,-,65,65,-,-,14,19,32,23,
Chinese Languages,173,35,65,0,0,75,88,-,-,92,99,-,-,84,8,5,2,
Classical Studies,392,36,64,0,0,29,35,-,-,71,79,-,-,33,21,22,11,
Computing Science,"3,228",83,17,0,0,21,33,-,-,63,72,-,-,23,21,20,17,
Dance,498,5,95,0,0,42,31,-,-,88,83,-,-,32,26,26,13,
Design and Manufacture,"2,248",68,32,0,0,9,19,-,-,49,65,-,-,12,17,25,24,
Drama,"2,884",30,70,0,0,24,29,***,-,72,83,***,-,28,26,25,15,
Economics,583,64,36,0,0,37,46,-,-,79,82,-,-,40,23,16,13,
Engineering Science,"1,110",90,10,0,0,26,32,-,-,65,67,-,-,27,19,20,18,
English,"35,460",42,58,0,0,19,27,-,***,69,77,-,***,23,25,25,18,
English for Speakers of Other Languages,784,46,54,0,0,33,32,-,-,84,85,-,-,32,29,23,10,
Environmental Science,392,43,57,0,0,19,20,-,-,71,67,-,-,19,20,29,18,
Fashion and Textile Technology,215,3,97,0,0,0,10,-,-,33,77,-,-,10,34,32,16,
French,"3,417",25,75,0,0,47,50,-,-,84,88,-,-,49,22,17,8,
Gaelic (Learners),61,18,80,2,0,73,49,***,-,91,90,***,-,52,25,13,10,
Gàidhlig,135,38,62,0,0,33,50,-,-,92,90,-,-,44,27,20,7,
Geography,"6,867",44,56,0,0,23,31,***,-,72,79,***,-,28,24,24,15,
German,787,35,65,0,0,55,53,-,-,89,91,-,-,54,20,16,7,
Graphic Communication,"3,497",69,31,0,0,16,22,-,-,72,80,-,-,18,28,29,16,
Health and Food Technology,"1,191",18,82,0,0,6,12,-,-,43,64,-,-,11,22,28,23,
History,"9,987",37,63,0,0,25,31,-,-,69,76,-,-,29,24,20,13,
Human Biology,"6,259",29,71,0,0,24,25,***,-,67,71,***,-,25,21,24,19,
Italian,221,29,71,0,0,78,62,-,-,91,89,-,-,67,15,7,7,
Latin,253,40,60,0,0,65,68,-,-,97,89,-,-,66,15,11,4,
Mathematics,"18,626",52,48,0,0,32,34,-,-,70,75,-,-,33,21,18,14,
Media,999,41,59,0,0,14,23,-,-,61,74,-,-,20,24,26,19,
Modern Studies,"8,653",37,63,0,0,32,36,-,-,74,78,-,-,35,22,20,12,
Music,"5,068",42,58,0,0,46,45,-,-,92,93,-,-,46,30,17,6,
Music Technology,772,68,32,0,0,22,24,-,-,77,81,-,-,22,30,26,16,
Philosophy,656,35,65,0,0,25,29,-,-,63,65,-,-,28,20,17,17,
Photography,"2,473",30,69,0,0,18,23,***,-,74,80,***,-,21,29,28,13,
Physical Education,"9,896",67,33,0,0,25,34,-,-,88,88,-,-,28,33,28,10,
Physics,"8,327",72,28,0,0,26,35,-,-,72,82,-,-,29,24,22,16,
Politics,"1,213",42,58,0,0,31,37,-,-,82,85,-,-,35,30,19,9,
Psychology,"3,410",24,76,0,0,9,12,-,***,38,47,-,***,12,14,19,20,
"Religious, Moral and Philosophical Studies","3,598",26,74,0,0,25,30,-,-,62,72,-,-,29,22,19,14,
Sociology,927,25,75,0,0,16,22,-,***,52,62,-,***,20,19,20,16,
Spanish,"3,054",29,71,0,0,45,48,***,-,81,84,***,-,47,19,17,10,
Urdu,92,35,65,0,0,81,82,-,-,100,97,-,-,82,12,4,1,
