Subject,all-Entries,all-Attainment,male-percentage,female-percentage,NotKnown-percentage,NotApplicable-percentage,male-Attainment,female-Attainment,NotKnown-attainment,NotApplicable-attainment,NumberOfCentres
Business in Practice,34,34,53,47,0,0,100,100,-,-,
Creative Arts,122,89,71,29,0,0,76,66,-,-,
English and Communication,344,276,68,32,0,0,79,82,-,-,
"Food, Health and Wellbeing",192,174,60,40,0,0,90,92,-,-,
French,21,9,71,29,0,0,33,67,-,-,
Gaelic (Learners),5,3,40,60,0,0,***,***,-,-,
Gàidhlig,1,***,100,0,0,0,***,-,-,-,
German,0,-,-,-,-,-,-,-,-,-,
Information and Communications Technology,174,113,68,32,0,0,66,64,-,-,
Italian,8,0,50,50,0,0,***,***,-,-,
Lifeskills Mathematics,439,352,67,33,0,0,80,80,-,-,
Performance Arts,103,67,53,47,0,0,67,63,-,-,
Physical Education,177,146,65,35,0,0,81,85,-,-,
Practical Craft Skills,87,85,76,24,0,0,97,100,-,-,
Science in the Environment,140,101,72,28,0,0,71,74,-,-,
Social Subjects,154,149,65,35,0,0,95,100,-,-,
Spanish,43,31,81,19,0,0,74,63,-,-,
