Subject,all-Entries,male-Entries,female-Entries,notknown-Entries,notapplicable-Entries,all-SCQF2,male-SCQF2,female-SCQF2,notknown-SCQF2,notapplicable-SCQF2,all-SCQF3,male-SCQF3,female-SCQF3,notknown-SCQF3,notapplicable-SCQF3,all-SCQF4,male-SCQF4,female-SCQF4,notknown-SCQF4,notapplicable-SCQF4,all-SCQF5,male-SCQF5,female-SCQF5,notknown-SCQF5,notapplicable-SCQF5,all-SCQF6,male-SCQF6,female-SCQF6,notknown-SCQF6,notapplicable-SCQF6
Achieving Excellence in Sport,89,83,6,0,0,,,,,,,,,,,,,,,,,,,,,89,83,6,0,0
Acting and Performance,73,25,48,0,0,,,,,,,,,,,,,,,,,,,,,73,25,48,0,0
Administration: Office Skills and Services,196,49,147,0,0,,,,,,,,,,,,,,,,196,49,147,0,0,,,,,
Art and Design: Digital Media,137,85,52,0,0,,,,,,,,,,,,,,,,137,85,52,0,0,,,,,
Bakery,385,136,249,0,0,,,,,,,,,,,385,136,249,0,0,,,,,,,,,,
Beauty Skills,292,4,286,0,2,,,,,,,,,,,292,4,286,0,2,,,,,,,,,,
Building Services Engineering,246,235,11,0,0,,,,,,,,,,,,,,,,246,235,11,0,0,,,,,
Business Skills,70,31,39,0,0,,,,,,,,,,,,,,,,,,,,,70,31,39,0,0
Business with Information Technology,755,351,404,0,0,,,,,,,,,,,,,,,,285,139,146,0,0,470,212,258,0,0
Computer Games Development,"1,820",1669,151,0,0,,,,,,,,,,,464,425,39,0,0,980,906,74,0,0,376,338,38,0,0
Computer Refurbishment,110,91,19,0,0,,,,,,,,,,,110,91,19,0,0,,,,,,,,,,
Construction,366,343,23,0,0,,,,,,,,,,,,,,,,366,343,23,0,0,,,,,
Construction: Carpentry and Joinery at SCQF Level 5,180,174,6,0,0,,,,,,,,,,,,,,,,180,174,6,0,0,,,,,
Cosmetology,403,17,386,0,0,,,,,,,,,,,403,17,386,0,0,,,,,,,,,,
"Creative and Digital Media: Technologies, Processes and Practices",90,53,37,0,0,,,,,,,,,,,,,,,,,,,,,90,53,37,0,0
Creative Industries,174,89,85,0,0,,,,,,,,,,,174,89,85,0,0,,,,,,,,,,
Cyber Security,"1,153",1006,147,0,0,,,,,,,,,,,209,175,34,0,0,613,549,64,0,0,331,282,49,0,0
Dance,205,8,197,0,0,,,,,,,,,,,205,8,197,0,0,,,,,,,,,,
Digital Literacy,48,30,18,0,0,,,,,,48,30,18,0,0,,,,,,,,,,,,,,,
Digital Media,195,137,58,0,0,,,,,,,,,,,,,,,,195,137,58,0,0,,,,,
Digital Media Editing,167,132,35,0,0,,,,,,,,,,,,,,,,167,132,35,0,0,,,,,
Enterprise and Business,69,30,39,0,0,,,,,,,,,,,,,,,,,,,,,69,30,39,0,0
Enterprise and Employability,"1,535",698,837,0,0,,,,,,,,,,,839,417,422,0,0,696,281,415,0,0,,,,,
Exercise and Fitness Leadership,670,506,164,0,0,,,,,,,,,,,,,,,,,,,,,670,506,164,0,0
Health and Social Care: Skills for Practice,216,26,190,0,0,,,,,,,,,,,,,,,,,,,,,216,26,190,0,0
Horticulture,123,86,37,0,0,,,,,,,,,,,123,86,37,0,0,,,,,,,,,,
Legal Studies,123,34,89,0,0,,,,,,,,,,,,,,,,,,,,,123,34,89,0,0
Make-Up Skills,191,9,182,0,0,,,,,,,,,,,,,,,,191,9,182,0,0,,,,,
Musical Theatre,142,32,110,0,0,,,,,,,,,,,,,,,,,,,,,142,32,110,0,0
PC Passport,"1,269",707,561,0,1,,,,,,,,,,,488,305,183,0,0,422,253,168,0,1,359,149,210,0,0
Photography,"1,298",496,802,0,0,,,,,,,,,,,427,167,260,0,0,871,329,542,0,0,,,,,
Play in a Sports Environment,135,92,43,0,0,,,,,,,,,,,,,,,,,,,,,135,92,43,0,0
Playwork and Childcare,502,21,481,0,0,,,,,,,,,,,,,,,,502,21,481,0,0,,,,,
Professional Computer Fundamentals,183,163,20,0,0,,,,,,,,,,,,,,,,,,,,,183,163,20,0,0
Professional Cookery,242,132,110,0,0,,,,,,73,41,32,0,0,169,91,78,0,0,,,,,,,,,,
Professional Theatre Preparation,69,31,38,0,0,,,,,,,,,,,,,,,,,,,,,69,31,38,0,0
Rural Skills,133,81,52,0,0,,,,,,,,,,,,,,,,133,81,52,0,0,,,,,
Scottish Bagpipes,247,173,64,10,0,81,47,31,3,0,57,39,14,4,0,109,87,19,3,0,,,,,,,,,,
Scottish Pipe Band Drumming,29,19,4,6,0,,,,,,29,19,4,6,0,,,,,,,,,,,,,,,
Social Services and Healthcare,283,44,239,0,0,,,,,,,,,,,,,,,,,,,,,283,44,239,0,0
"Social Services, Children and Young People",609,34,574,0,1,,,,,,,,,,,,,,,,,,,,,609,34,574,0,1
Software Development,158,139,19,0,0,,,,,,,,,,,,,,,,,,,,,158,139,19,0,0
Sound Production: Recording,84,65,19,0,0,,,,,,,,,,,,,,,,,,,,,84,65,19,0,0
Sport and Fitness: Individual Sports,170,98,72,0,0,,,,,,,,,,,,,,,,170,98,72,0,0,,,,,
Sport and Fitness: Team Sports,271,230,41,0,0,,,,,,,,,,,,,,,,271,230,41,0,0,,,,,
Sports Coaching: Basketball (UKCC Level 1),180,129,51,0,0,,,,,,,,,,,180,129,51,0,0,,,,,,,,,,
Sports Coaching: Coaching Swimming (UKCC Level 1),119,42,77,0,0,,,,,,,,,,,119,42,77,0,0,,,,,,,,,,
Sports Coaching: Netball (UKCC Level 1),222,9,212,1,0,,,,,,,,,,,222,9,212,1,0,,,,,,,,,,
Sports Coaching: Rugby Union (UKCC Level 1),463,372,91,0,0,,,,,,,,,,,463,372,91,0,0,,,,,,,,,,
Sports Coaching: Rugby Union (UKCC Level 2),438,367,70,0,1,,,,,,,,,,,,,,,,438,367,70,0,1,,,,,
Sports Coaching: Teaching Aquatics (UKCC Level 1),490,188,302,0,0,,,,,,,,,,,490,188,302,0,0,,,,,,,,,,
Sports Coaching: Teaching Aquatics (UKCC Level 2),145,44,101,0,0,,,,,,,,,,,,,,,,145,44,101,0,0,,,,,
