Subject,all-Entries,male-entries,female-entries,notknown-entries,notapplicable-entries,all-level2,male-level2,female-level2,notknown-level2,notapplicable-level2,all-level3,male-level3,female-level3,notknown-level3,notapplicable-level3,all-level4,male-level4,female-level4,notknown-level4,notapplicable-level4,all-level5,male-level5,female-level5,notknown-level5,notapplicable-level5,all-level6,male-level6,female-level6,notknown-level6,notapplicable-level6
Accountancy,173,101,72,0,0,,,,,,,,,,,,,,,,,,,,,173,101,72,0,0
Achieving Excellence in Sport,232,215,17,0,0,,,,,,,,,,,,,,,,,,,,,232,215,17,0,0
Acting and Performance,301,136,165,0,0,,,,,,,,,,,,,,,,,,,,,301,136,165,0,0
Administration: Office Skills and Services,171,47,123,1,0,,,,,,,,,,,,,,,,171,47,123,1,0,,,,,
Art and Design,209,66,143,0,0,,,,,,,,,,,,,,,,209,66,143,0,0,,,,,
Bakery,592,236,356,0,0,,,,,,,,,,,592,236,356,0,0,,,,,,,,,,
Beauty Skills,308,7,301,0,0,,,,,,,,,,,308,7,301,0,0,,,,,,,,,,
Building Services Engineering,221,219,2,0,0,,,,,,,,,,,,,,,,221,219,2,0,0,,,,,
Business Skills,347,164,183,0,0,,,,,,,,,,,,,,,,,,,,,347,164,183,0,0
Business with Information Technology,"1,141",532,609,0,0,,,,,,,,,,,,,,,,530,276,254,0,0,611,256,355,0,0
Computer Games Development,"2,227",1964,262,1,0,,,,,,,,,,,523,451,71,1,0,1194,"1,051",143,0,0,510,462,48,0,0
Construction,468,438,30,0,0,,,,,,,,,,,,,,,,468,438,30,0,0,,,,,
Construction Craft and Technician,91,88,3,0,0,,,,,,,,,,,91,88,3,0,0,,,,,,,,,,
Construction: Carpentry and Joinery at SCQF Level 5,219,202,17,0,0,,,,,,,,,,,,,,,,219,202,17,0,0,,,,,
Construction: Multi Trade at SCQF Level 5,171,162,9,0,0,,,,,,,,,,,,,,,,171,162,9,0,0,,,,,
Cosmetology,415,29,386,0,0,,,,,,,,,,,415,29,386,0,0,,,,,,,,,,
"Creative and Digital Media: Technologies, Processes and Practices",393,221,172,0,0,,,,,,,,,,,,,,,,,,,,,393,221,172,0,0
Creative Industries,198,102,96,0,0,,,,,,,,,,,198,102,96,0,0,,,,,,,,,,
Customer Service,150,106,44,0,0,,,,,,,,,,,150,106,44,0,0,,,,,,,,,,
Cyber Security,"1,393","1,217",176,0,0,,,,,,,,,,,244,198,46,0,0,658,590,68,0,0,491,429,62,0,0
Dance,275,9,266,0,0,,,,,,,,,,,275,9,266,0,0,,,,,,,,,,
Digital Literacy,217,122,95,0,0,,,,,,217,122,95,0,0,,,,,,,,,,,,,,,
Digital Media,271,185,86,0,0,,,,,,,,,,,,,,,,271,185,86,0,0,,,,,
Enterprise and Employability,"1,402",699,702,1,0,,,,,,,,,,,749,396,352,1,0,653,303,350,0,0,,,,,
Exercise and Fitness Leadership,"1,098",788,310,0,0,,,,,,,,,,,,,,,,,,,,,1098,788,310,0,0
Health and Social Care: Skills for Practice,216,27,189,0,0,,,,,,,,,,,,,,,,,,,,,216,27,189,0,0
