Subject,male-Entries,male-A,male-A-B,male-A-C,male-A-D,male-NoAward,female-Entries,female-A,female-A-B,female-A-C,female-A-D,female-NoAward,all-Entries,all-A,all-A-B,all-A-C,all-A-D,all-NoAward,NumberOfCentres
Accounting,728,383,553,652,692,36,608,404,505,561,584,24,"1,336",787,"1,058","1,213","1,276",60,
Administration and IT,"1,600",642,"1,084","1,409","1,531",69,"2,760","1,482","2,137","2,554","2,701",59,"4,360","2,124","3,221","3,963","4,232",128,
Art and Design,"1,137",445,776,"1,054","1,114",23,"4,573","2,315","3,607","4,371","4,511",62,"5,710","2,760","4,383","5,425","5,625",85,
Biology,"2,562",938,"1,465","1,980","2,294",268,"4,826","1,812","2,842","3,795","4,340",486,"7,388","2,750","4,307","5,775","6,634",754,
Business Management,"4,118","1,808","2,771","3,521","3,833",285,"4,658","2,582","3,542","4,187","4,443",215,"8,777","4,390","6,313","7,708","8,276",501,
Care,39,10,16,30,33,6,324,96,176,252,277,47,363,106,192,282,310,53,
Chemistry,"4,592","1,951","2,826","3,690","4,185",407,"5,240","2,314","3,394","4,321","4,852",388,"9,833","4,265","6,220","8,011","9,037",796,
Childcare and Development,9,***,***,***,***,***,291,***,***,***,***,***,301,107,187,249,274,27,
Chinese Languages,71,59,67,68,71,0,100,96,98,100,100,0,171,155,165,168,171,0,
Classical Studies,210,108,152,186,205,5,338,195,268,313,331,7,548,303,420,499,536,12,
Computing Science,"2,796","1,329","1,898","2,384","2,626",170,581,329,432,527,554,27,"3,377","1,658","2,330","2,911","3,180",197,
Dance,17,10,12,17,17,0,478,290,399,459,472,6,495,300,411,476,489,6,
Design and Manufacture,"1,617",376,809,"1,246","1,465",152,676,316,495,617,657,19,"2,293",692,"1,304","1,863","2,122",171,
Drama,917,432,664,842,900,17,"2,059","1,239","1,674","1,966","2,032",27,"2,977","1,671","2,338","2,809","2,933",44,
Economics,381,239,315,358,368,13,229,144,182,205,214,15,610,383,497,563,582,28,
Engineering Science,"1,058",413,654,875,985,73,126,62,85,111,121,5,"1,184",475,739,986,"1,106",78,
English,"15,902","5,623","9,673","13,526","15,107",795,"20,628","9,798","14,837","18,681","19,988",640,"36,534","15,421","24,510","32,210","35,098","1,436",
English for Speakers of Other Languages,338,192,278,327,335,3,393,225,331,382,391,2,732,417,610,710,727,5,
Environmental Science,239,66,134,185,214,25,276,114,176,229,250,26,515,180,310,414,464,51,
Fashion and Textile Technology,3,***,***,***,***,***,253,***,***,***,***,***,256,131,195,242,252,4,
French,837,556,690,795,825,12,"2,338","1,586","2,002","2,221","2,297",41,"3,175","2,142","2,692","3,016","3,122",53,
Gaelic (Learners),15,5,9,11,14,1,46,26,39,46,46,0,62,32,49,58,61,1,
Gàidhlig,43,19,31,40,42,1,75,44,65,74,75,0,118,63,96,114,117,1,
Geography,"3,280","1,584","2,260","2,807","3,092",188,"3,850","2,493","3,116","3,559","3,733",117,"7,130","4,077","5,376","6,366","6,825",305,
German,265,184,225,260,262,3,450,326,393,432,441,9,715,510,618,692,703,12,
Graphic Communication,"2,307",893,"1,542","2,059","2,223",84,"1,052",581,849,"1,007","1,041",11,"3,359","1,474","2,391","3,066","3,264",95,
Health and Food Technology,322,113,206,270,298,24,"1,115",555,814,"1,013","1,081",34,"1,437",668,"1,020","1,283","1,379",58,
History,"4,157","1,832","2,760","3,569","3,875",282,"6,382","3,554","4,857","5,802","6,147",235,"10,539","5,386","7,617","9,371","10,022",517,
Human Biology,"2,355",712,"1,192","1,738","2,051",304,"5,193","1,760","2,881","4,043","4,653",540,"7,549","2,472","4,073","5,781","6,704",845,
Italian,59,51,54,55,56,3,121,95,109,116,118,3,180,146,163,171,174,6,
Latin,114,99,107,113,114,0,135,116,129,134,135,0,249,215,236,247,249,0,
Mathematics,"10,317","4,569","6,369","8,024","8,802","1,515","9,101","4,577","6,172","7,538","8,193",908,"19,419","9,146","12,541","15,562","16,995","2,424",
Media,454,167,296,390,422,32,581,337,476,547,564,17,"1,035",504,772,937,986,49,
Modern Studies,"3,551","1,742","2,540","3,132","3,375",176,"5,979","3,615","4,781","5,514","5,792",187,"9,531","5,357","7,321","8,646","9,167",364,
Music,"2,329","1,464","1,974","2,248","2,295",34,"2,887","1,923","2,551","2,833","2,872",15,"5,216","3,387","4,525","5,081","5,167",49,
Music Technology,680,363,520,634,665,15,233,132,196,223,230,3,913,495,716,857,895,18,
Philosophy,283,140,200,251,263,20,536,257,389,466,511,25,819,397,589,717,774,45,
Photography,730,264,479,643,690,40,"1,802",805,"1,356","1,692","1,749",53,"2,532","1,069","1,835","2,335","2,439",93,
Physical Education,"7,807","3,118","5,347","7,185","7,683",124,"3,996","2,223","3,163","3,772","3,931",65,"11,803","5,341","8,510","10,957","11,614",189,
Physics,"6,206","2,422","3,709","4,894","5,552",654,"2,275","1,176","1,612","1,956","2,115",160,"8,481","3,598","5,321","6,850","7,667",814,
Politics,732,368,546,672,702,30,"1,083",637,866,"1,013","1,052",31,"1,816","1,006","1,413","1,686","1,755",61,
Psychology,758,314,495,634,687,71,"2,253","1,174","1,613","1,935","2,064",189,"3,012","1,488","2,108","2,570","2,752",260,
"Religious, Moral and Philosophical Studies",971,465,693,835,889,82,"2,898","1,709","2,262","2,652","2,792",106,"3,870","2,175","2,956","3,488","3,682",188,
Sociology,222,104,152,195,205,17,609,337,465,535,559,50,832,442,618,731,765,67,
Spanish,804,517,658,751,783,21,"2,210","1,485","1,852","2,088","2,177",33,"3,014","2,002","2,510","2,839","2,960",54,
Urdu,48,44,45,45,47,1,47,42,45,46,46,1,95,86,90,91,93,2,
