Subject,male-Entries,male-A,male-A-B,male-A-C,male-A-D,male-NoAward,female-Entries,female-A,female-A-B,female-A-C,female-A-D,female-NoAward,all-Entries,all-A,all-A-B,all-A-C,all-A-D,all-NoAward,NumberOfCentres
Accounting,502,268,358,433,468,34,400,241,298,359,382,18,902,509,656,792,850,52,
Administration and IT,"2,005",834,"1,389","1,809","1,945",60,"3,416","1,831","2,698","3,211","3,368",48,"5,421","2,665","4,087","5,020","5,313",108,
Applications of Mathematics,"5,369","1,246","2,209","3,487","4,402",967,"5,380","1,196","2,057","3,387","4,290","1,090","10,749","2,442","4,266","6,874","8,692","2,057",
Art and Design,"2,471",798,"1,529","2,237","2,407",64,"7,543","3,949","5,869","7,168","7,449",94,"10,019","4,749","7,403","9,410","9,861",158,
Biology,"7,357","2,514","3,892","5,490","6,631",726,"13,833","5,226","7,820","10,579","12,581","1,252","21,196","7,745","11,718","16,075","19,218","1,978",
Business Management,"4,013","1,400","2,296","3,228","3,666",347,"4,107","1,953","2,775","3,532","3,877",230,"8,120","3,353","5,071","6,760","7,543",577,
Care,18,5,11,13,15,3,129,44,71,91,108,21,147,49,82,104,123,24,
Chemistry,"7,233","3,091","4,474","5,866","6,721",512,"7,917","3,725","5,134","6,546","7,423",494,"15,155","6,820","9,612","12,417","14,149","1,006",
Chinese Languages,103,75,90,97,101,2,142,108,123,134,141,1,245,183,213,231,242,3,
Classical Studies,70,37,46,63,70,0,73,43,58,66,72,1,143,80,104,129,142,1,
Computing Science,"5,044","2,196","3,297","4,310","4,759",285,"1,242",664,902,"1,114","1,204",38,"6,288","2,861","4,201","5,426","5,965",323,
Dance,25,14,16,22,24,1,788,399,565,718,767,21,813,413,581,740,791,22,
Design and Manufacture,"3,349",949,"1,861","2,838","3,222",127,"1,155",560,818,"1,052","1,129",26,"4,506","1,511","2,681","3,892","4,353",153,
Drama,"1,694",873,"1,272","1,589","1,660",34,"3,154","2,132","2,701","3,042","3,107",47,"4,849","3,005","3,974","4,632","4,768",81,
Economics,216,173,196,210,212,4,81,70,75,80,80,1,297,243,271,290,292,5,
Engineering Science,"1,644",831,"1,131","1,407","1,549",95,185,134,151,166,177,8,"1,829",965,"1,282","1,573","1,726",103,
English,"23,062","8,974","15,031","20,453","22,334",728,"23,777","13,316","18,528","22,167","23,332",445,"46,852","22,300","33,571","42,632","45,679","1,173",
English for Speakers of Other Languages,365,124,239,327,352,13,553,205,382,498,534,19,919,329,622,826,887,32,
Environmental Science,195,61,101,161,189,6,138,52,80,113,133,5,333,113,181,274,322,11,
Fashion and Textile Technology,26,10,17,21,23,3,482,231,357,441,474,8,508,241,374,462,497,11,
French,"2,505","1,315","1,793","2,238","2,410",95,"4,610","2,962","3,680","4,267","4,518",92,"7,115","4,277","5,473","6,505","6,928",187,
Gaelic (Learners),42,24,31,34,39,3,119,64,94,108,117,2,161,88,125,142,156,5,
Gàidhlig,84,51,72,83,84,0,108,82,101,108,108,0,192,133,173,191,192,0,
Geography,"5,376","2,515","3,658","4,689","5,186",190,"4,690","2,783","3,591","4,233","4,573",117,"10,069","5,301","7,252","8,925","9,762",307,
German,664,352,484,597,645,19,758,479,617,699,747,11,"1,422",831,"1,101","1,296","1,392",30,
Graphic Communication,"3,440","1,177","1,974","2,915","3,266",174,"1,579",795,"1,169","1,449","1,528",51,"5,019","1,972","3,143","4,364","4,794",225,
Health and Food Technology,439,73,198,338,402,37,"1,260",511,833,"1,107","1,209",51,"1,699",584,"1,031","1,445","1,611",88,
History,"7,014","3,248","4,610","5,941","6,614",400,"8,263","5,032","6,299","7,429","7,966",297,"15,281","8,284","10,913","13,374","14,584",697,
Italian,32,19,22,27,30,2,82,50,66,77,80,2,114,69,88,104,110,4,
Latin,178,169,174,178,178,0,179,172,175,177,179,0,357,341,349,355,357,0,
Mathematics,"17,776","6,556","9,358","12,732","14,800","2,976","18,693","7,246","10,405","13,889","15,867","2,826","36,481","13,810","19,775","26,633","30,679","5,802",
Media,506,190,294,409,457,49,499,261,342,432,464,35,"1,005",451,636,841,921,84,
Modern Studies,"5,338","2,468","3,599","4,647","5,110",228,"7,606","4,646","5,902","6,974","7,395",211,"12,948","7,117","9,505","11,625","12,509",439,
Music,"3,909","2,484","3,276","3,770","3,858",51,"4,385","3,066","3,865","4,286","4,358",27,"8,296","5,552","7,143","8,058","8,218",78,
Music Technology,"1,097",510,772,"1,022","1,071",26,330,195,273,317,327,3,"1,428",706,"1,046","1,340","1,399",29,
Philosophy,129,56,82,104,118,11,176,84,108,143,157,19,305,140,190,247,275,30,
Physical Education,"11,974","7,017","9,953","11,607","11,907",67,"6,390","4,444","5,603","6,233","6,359",31,"18,366","11,463","15,558","17,842","18,268",98,
Physics,"9,260","3,679","5,541","7,332","8,433",827,"3,710","1,951","2,663","3,217","3,521",189,"12,977","5,634","8,209","10,556","11,961","1,016",
Practical Cake Craft,273,65,141,230,258,15,928,435,710,881,920,8,"1,202",501,852,"1,112","1,179",23,
Practical Cookery,"2,233",660,"1,386","1,987","2,173",60,"4,070","1,892","3,142","3,850","4,018",52,"6,304","2,553","4,529","5,838","6,192",112,
Practical Electronics,500,170,281,428,464,36,27,18,20,26,27,0,527,188,301,454,491,36,
Practical Metalworking,"1,447",529,925,"1,252","1,357",90,108,52,82,100,107,1,"1,557",582,"1,009","1,354","1,466",91,
Practical Woodworking,"5,800","2,438","4,027","5,325","5,656",144,909,429,668,844,889,20,"6,710","2,868","4,696","6,170","6,546",164,
Psychology,235,78,135,173,199,36,735,411,558,651,688,47,970,489,693,824,887,83,
"Religious, Moral and Philosophical Studies",736,360,485,621,688,48,"1,678",887,"1,184","1,474","1,605",73,"2,416","1,249","1,671","2,097","2,295",121,
Sociology,56,16,32,46,52,4,215,106,149,183,205,10,271,122,181,229,257,14,
Spanish,"1,860",979,"1,351","1,656","1,800",60,"3,562","2,220","2,828","3,313","3,493",69,"5,424","3,200","4,181","4,971","5,295",129,
Urdu,24,15,23,24,24,0,42,37,41,42,42,0,66,52,64,66,66,0,
