,ï..Subject,male.Entries,male.percentage,male.A,male.B,male.C,male.D,male.E,female.Entries,female.percentage,female.A,female.B,female.C,female.D,female.E,all.Entries,all.A,all.B,all.C,all.D,all.E,Year
1,Art and Design (Enquiry),86,0.26625387,7,13,25,29,12,237,0.73374613,10,31,95,79,22,323,17,44,120,108,34,1986
2,Art and Design (Research and Appreciation),3,0.15,-,1,1,1,-,17,0.85,2,9,4,2,-,20,2,10,5,3,-,1986
3,Biology,186,0.343807763,12,40,81,31,22,355,0.656192237,44,91,135,66,19,541,56,131,216,97,41,1986
4,Chemistry,866,0.587118644,125,213,306,148,74,609,0.412881356,69,160,248,101,31,1475,194,373,554,249,105,1986
5,Economics,41,0.759259259,6,9,20,5,1,13,0.240740741,-,3,8,2,-,54,6,12,28,7,1,1986
6,Engineering,3,1,2,1,-,-,-,-,0,-,-,-,-,-,3,2,1,-,-,-,1986
7,English,449,0.342486651,31,80,185,110,43,862,0.657513349,70,165,386,198,43,1311,101,245,571,308,86,1986
8,French,113,0.192176871,16,31,44,19,2,475,0.807823129,51,155,201,55,13,588,67,186,245,74,15,1986
9,Gaelic,1,0.166666667,1,-,-,-,-,5,0.833333333,2,1,2,-,-,6,3,1,2,-,-,1986
10,Geography,178,0.534534535,12,57,90,18,1,155,0.465465465,16,66,64,9,-,333,28,123,154,27,1,1986
11,German,37,0.194736842,10,7,15,4,1,153,0.805263158,26,52,69,6,-,190,36,59,84,10,1,1986
12,Greek,4,0.666666667,1,2,1,-,-,2,0.333333333,1,-,-,1,-,6,2,2,1,1,-,1986
13,History,306,0.454005935,18,91,156,40,1,368,0.545994065,28,129,178,30,3,674,46,220,334,70,4,1986
14,Italian,-,0,-,-,-,-,-,5,1,1,2,1,1,-,5,1,2,1,1,-,1986
15,Latin,17,0.395348837,6,5,2,2,1,26,0.604651163,3,9,6,3,5,43,9,14,8,5,6,1986
16,Mathematics I,480,0.662983425,65,93,112,127,80,244,0.337016575,19,48,72,76,28,724,84,141,184,203,108,1986
17,Mathematics II,1270,0.662493479,155,231,272,259,266,647,0.337506521,64,150,176,134,102,1917,219,381,448,393,368,1986
18,Mathematics III,161,0.624031008,19,28,32,38,44,97,0.375968992,9,18,25,22,20,258,28,46,57,60,64,1986
19,Mathematics IV,460,0.773109244,57,95,126,93,88,135,0.226890756,13,21,33,44,24,595,70,116,159,137,112,1986
20,Mathematics V,125,0.82781457,16,21,32,28,17,26,0.17218543,2,5,10,6,2,151,18,26,42,34,19,1986
21,Modern Studies ,59,0.526785714,7,22,23,6,1,53,0.473214286,4,14,26,9,-,112,11,36,49,15,1,1986
22,Physics,831,0.847094801,130,160,205,210,120,150,0.152905199,24,32,43,37,14,981,154,192,248,247,134,1986
23,Russian,3,0.375,2,1,-,-,-,5,0.625,-,1,2,1,1,8,2,2,2,1,1,1986
24,Secretarial Studies,1,0.020408163,-,1,-,-,-,48,0.979591837,-,18,28,2,-,49,-,19,28,2,-,1986
25,Spanish,2,0.076923077,-,1,1,-,-,24,0.923076923,2,6,8,3,5,26,2,7,9,3,5,1986
26,Art and Design (Enquiry),102,0.264248705,12,22,38,25,5,284,0.735751295,29,50,116,76,13,386,41,72,154,101,18,1987
27,Art and Design (Research and Appreciation),10,0.3125,-,2,4,4,-,22,0.6875,2,8,9,1,2,32,2,10,13,5,2,1987
28,Biology,180,0.36809816,25,44,54,33,24,309,0.63190184,28,75,124,58,24,489,53,119,178,91,48,1987
29,Chemistry,905,0.585003232,152,255,316,128,54,642,0.414996768,117,204,216,80,25,1547,269,459,532,208,79,1987
30,Economics,34,0.772727273,2,7,17,7,1,10,0.227272727,-,4,3,3,-,44,2,11,20,10,1,1987
31,Engineering,4,1,3,1,-,-,-,-,0,-,-,-,-,-,4,3,1,-,-,-,1987
32,English,454,0.334069169,46,77,174,111,46,905,0.665930831,55,180,405,205,60,1359,101,257,579,316,106,1987
33,French,100,0.176678445,14,28,41,13,4,466,0.823321555,65,142,191,58,10,566,79,170,232,71,14,1987
34,Gaelic,-,0,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,1,-,-,1987
35,Geography,217,0.572559367,16,66,100,32,3,162,0.427440633,8,60,72,20,2,379,24,126,172,52,5,1987
36,German,25,0.153374233,5,11,5,2,2,138,0.846625767,24,40,61,10,3,163,29,51,66,12,5,1987
37,Greek,-,0,-,-,-,-,-,2,1,1,-,1,-,-,2,1,-,1,-,-,1987
38,History,315,0.47439759,19,109,154,32,1,349,0.52560241,33,132,146,37,1,664,52,241,300,69,2,1987
39,Italian,-,0,-,-,-,-,-,8,1,1,5,2,-,-,8,1,5,2,-,-,1987
40,Latin,7,0.2,-,2,2,3,-,28,0.8,3,5,9,8,3,35,3,7,11,11,3,1987
41,Mathematics I,486,0.65060241,65,71,135,125,83,261,0.34939759,21,44,85,85,26,747,86,115,220,210,109,1987
42,Mathematics II,1382,0.653736991,148,233,290,297,318,732,0.346263009,72,153,199,156,127,2114,220,386,489,453,445,1987
43,Mathematics III,183,0.579113924,23,32,47,38,42,133,0.420886076,9,25,27,44,28,316,32,57,74,82,70,1987
44,Mathematics IV,501,0.776744186,54,96,116,118,117,144,0.223255814,13,32,29,38,32,645,67,128,145,156,149,1987
45,Mathematics V,136,0.855345912,17,22,26,30,22,23,0.144654088,4,6,6,4,3,159,21,28,32,34,25,1987
46,Modern Studies ,53,0.4140625,3,15,26,7,2,75,0.5859375,6,29,26,11,3,128,9,44,52,18,5,1987
47,Physics,873,0.845111326,107,139,252,264,109,160,0.154888674,21,51,44,38,6,1033,128,190,296,302,115,1987
48,Russian,2,0.333333333,1,-,1,-,-,4,0.666666667,1,1,1,1,-,6,2,1,2,1,-,1987
49,Secretarial Studies,2,0.03125,-,-,2,-,-,62,0.96875,2,24,29,7,-,64,2,24,31,7,-,1987
50,Spanish,6,0.222222222,1,2,2,1,-,21,0.777777778,4,5,8,2,2,27,5,7,10,3,2,1987
51,Art and Design (Enquiry),136,0.346938776,5,18,36,63,14,256,0.653061224,12,39,103,83,18,392,17,57,139,146,32,1988
52,Art and Design (Research and Appreciation),6,0.25,-,2,2,2,-,18,0.75,2,4,9,3,-,24,2,6,11,5,-,1988
53,Biology,221,0.346938776,24,51,71,38,37,416,0.653061224,48,110,159,73,26,637,72,161,230,111,63,1988
54,Chemistry,858,0.569721116,156,240,289,113,60,648,0.430278884,96,197,236,91,28,1506,252,437,525,204,88,1988
55,Economics,59,0.728395062,7,15,18,16,3,22,0.271604938,1,5,13,1,2,81,8,20,31,17,5,1988
56,Engineering,2,1,1,1,-,-,-,-,0,-,-,-,-,-,2,1,1,-,-,-,1988
57,English,462,0.315143247,40,86,199,101,36,1004,0.684856753,68,218,473,204,41,1466,108,304,672,305,77,1988
58,French,96,0.187134503,16,30,35,13,2,417,0.812865497,53,118,177,52,17,513,69,148,212,65,19,1988
59,Gaelic,-,0,-,-,-,-,-,3,1,-,1,2,-,-,3,-,1,2,-,-,1988
60,Geography,209,0.552910053,13,63,100,32,1,169,0.447089947,10,56,86,17,-,378,23,119,186,49,1,1988
61,German,22,0.149659864,3,7,9,-,3,125,0.850340136,15,49,52,7,2,147,18,56,61,7,5,1988
62,Greek,-,0,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,1,-,-,1988
63,History,309,0.442060086,25,126,122,36,-,390,0.557939914,20,157,189,24,-,699,45,283,311,60,-,1988
64,Italian,2,0.166666667,1,-,1,-,-,10,0.833333333,4,3,2,1,-,12,5,3,3,1,-,1988
65,Latin,19,0.441860465,6,3,8,1,1,24,0.558139535,5,9,6,1,3,43,11,12,14,2,4,1988
66,Mathematics I,511,0.679521277,67,76,134,140,80,241,0.320478723,24,37,76,74,29,752,91,113,210,214,109,1988
