LocalAuthority,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60-64,age-65,,,,,,,
Aberdeen City,,,,,,,,,,,,,,,,,
Aberdeenshire,,,,,,,,,,,,,,,,,
Angus,,,,,,,,,,,,,,,,,
Argyll and Bute,,,,,,,,,,,,,,,,,
City of Edinburgh,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Clackmannanshire,,,,,,,,,,,,,,,,,
Dumfries and Galloway,,,,,,,,,,,,,,,,,
Dundee City,,,,,,,,,,,,,,,,,data not available.
East Ayrshire,,,,,,,,,,,,,,,,,
East Dunbartonshire,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
East Lothian,,,,,,,,,,,,,,,,,
East Renfrewshire,,,,,,,,,,,,,,,,,
Falkirk,,,,,,,,,,,,,,,,,
Fife,,,,,,,,,,,,,,,,,
Glasgow City,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Highland,,,,,,,,,,,,,,,,,
Inverclyde,,,,,,,,,,,,,,,,,
Midlothian,,,,,,,,,,,,,,,,,
Moray,,,,,,,,,,,,,,,,,
Na h-Eileanan Siar,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
North Ayrshire,,,,,,,,,,,,,,,,,
North Lanarkshire,,,,,,,,,,,,,,,,,
Orkney Islands,,,,,,,,,,,,,,,,,
Perth and Kinross,,,,,,,,,,,,,,,,,
Renfrewshire,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Scottish Borders,,,,,,,,,,,,,,,,,
Shetland Islands,,,,,,,,,,,,,,,,,
South Ayrshire,,,,,,,,,,,,,,,,,
South Lanarkshire,,,,,,,,,,,,,,,,,
Stirling,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
West Dunbartonshire,,,,,,,,,,,,,,,,,
West Lothian,,,,,,,,,,,,,,,,,
