LocalAuthority,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60-64,age-65
Aberdeen City,41,117,127,94,91,101,74,59,32,16
Aberdeenshire,55,159,147,142,180,179,174,116,63,19
Angus,25,84,77,86,69,67,59,66,36,6
Argyll and Bute,12,39,53,50,59,55,57,55,21,6
City of Edinburgh,70,233,294,242,228,191,163,117,47,10
,,,,,,,,,,
Clackmannanshire,15,41,28,36,40,23,24,13,9,5
Dumfries and Galloway,28,72,86,107,87,95,78,75,33,4
Dundee City,30,65,68,83,78,78,81,76,29,6
East Ayrshire,32,67,87,84,73,67,61,41,25,8
East Dunbartonshire,41,125,92,104,90,72,61,63,34,4
,,,,,,,,,,
East Lothian,29,90,67,65,87,57,47,30,11,1
East Renfrewshire,48,119,102,102,72,83,60,42,29,8
Falkirk,65,145,127,137,102,78,74,58,16,4
Fife,79,214,182,235,232,211,187,175,52,25
Glasgow City,114,387,351,314,297,249,220,218,90,22
,,,,,,,,,,
Highland,41,118,148,149,137,152,171,137,67,26
Inverclyde,14,41,46,42,61,55,40,49,12,2
Midlothian,24,79,75,67,57,49,36,31,13,3
Moray,12,42,51,64,61,50,53,57,23,6
Na h-Eileanan Siar,5,8,16,20,22,22,15,26,14,5
,,,,,,,,,,
North Ayrshire,37,75,76,95,105,82,63,69,27,6
North Lanarkshire,102,263,185,251,218,184,181,155,70,34
Orkney Islands,3,8,9,15,22,18,27,17,8,0
Perth and Kinross,25,73,94,77,79,91,87,58,33,8
Renfrewshire,44,151,123,112,124,87,62,72,33,5
,,,,,,,,,,
Scottish Borders,19,59,55,71,76,73,87,58,18,8
Shetland Islands,4,9,9,18,19,24,25,32,11,3
South Ayrshire,27,70,63,94,89,53,65,41,10,3
South Lanarkshire,79,271,235,250,239,170,153,147,69,14
Stirling,37,67,82,81,72,48,53,28,12,2
,,,,,,,,,,
West Dunbartonshire,24,79,58,79,55,41,46,35,16,3
West Lothian,51,159,170,125,97,101,76,58,15,3
