LocalAuthority,FT-female,FT-male,PT-female,PT-male,all-female,all-male
Aberdeen City,431,215,98,14,529,229
Aberdeenshire,608,388,303,37,911,425
Angus,289,203,74,13,363,216
Argyll and Bute,182,159,82,17,264,176
City of Edinburgh,133,69,21,7,154,76
,,,,,,
Clackmannanshire,356,244,107,35,463,279
Dumfries and Galloway,335,216,77,14,412,230
Dundee City,293,194,89,12,382,206
East Ayrshire,358,200,92,21,450,221
East Dunbartonshire,232,146,102,17,334,163
,,,,,,
East Lothian,355,232,104,17,459,249
East Renfrewshire,712,512,270,63,982,575
Falkirk,80,53,29,11,109,64
Fife,454,262,99,15,553,277
Glasgow City,859,580,200,38,1059,618
,,,,,,
Highland,1151,760,252,41,1403,801
Inverclyde,566,417,221,60,787,477
Midlothian,181,133,51,16,232,149
Moray,202,145,60,13,262,158
Na h-Eileanan Siar,223,118,80,19,303,137
,,,,,,
North Ayrshire,351,213,83,17,434,230
North Lanarkshire,869,536,230,73,1099,609
Orkney Islands,61,42,36,8,97,50
Perth and Kinross,340,195,106,32,446,227
Renfrewshire,429,237,137,30,566,267
,,,,,,
Scottish Borders,241,165,84,28,325,193
Shetland Islands,70,48,45,17,115,65
South Ayrshire,260,173,90,16,350,189
South Lanarkshire,838,527,197,49,1035,576
Stirling,244,155,80,13,324,168
,,,,,,
West Dunbartonshire,239,144,73,16,312,160
West Lothian,454,296,116,19,570,315
