Subject,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60+,age-65
English,94,411,439,307,302,291,357,318,118,
French,18,92,122,99,106,113,131,144,33,
German,*,16,11,13,28,15,30,30,*,
Spanish,*,10,12,8,7,8,9,13,*,
Gaelic,7,11,10,7,*,9,*,7,*,
Italian,-,*,-,*,*,*,*,*,*,
English as an Additional Language,-,*,*,-,*,*,*,-,*,
Community Languages,-,-,-,*,-,*,*,-,*,
Other Modern Languages,13,50,35,33,46,33,39,40,11,
Classical Studies ,-,-,*,-,*,-,*,*,-,
,,,,,,,,,,
Mathematics,119,361,335,275,315,326,407,288,79,
Biology,75,191,193,147,103,108,152,168,32,
Chemistry,39,107,137,112,134,118,133,120,33,
General Science,8,15,17,24,21,12,20,18,8,
Physics,25,95,114,93,104,137,143,92,34,
,,,,,,,,,,
Economics ,-,-,-,*,*,-,-,*,*,
Geography,66,149,126,87,60,53,94,100,25,
History,50,169,147,107,96,68,70,94,31,
Religious Education,43,86,76,81,88,75,100,84,27,
Modern Studies,23,89,104,80,55,35,52,59,23,
Media Studies,*,-,*,*,*,*,*,*,-,
Business Studies,19,89,105,106,118,126,166,117,35,
Computing Studies,15,53,75,68,89,102,135,93,30,
Home Economics,28,78,64,47,82,117,194,216,51,
Technical Education,71,180,155,113,111,170,255,181,76,
PSE/Guidance,-,19,61,83,71,53,83,114,23,
,,,,,,,,,,
Art ,20,104,164,133,150,156,164,170,61,
Music,99,149,136,121,84,80,116,80,20,
Physical Education,219,397,349,162,114,75,174,210,27,
Speech and Drama ,16,61,87,42,32,49,46,32,5,
,,,,,,,,,,
Learning support ,*,*,54,69,100,122,192,280,84,
,,,,,,,,,,
Additional support needs-general,*,*,10,8,16,25,26,31,14,
Additional support needs-behavioural support,-,*,*,6,14,9,23,28,13,
Additional support needs-learning difficulties ,*,*,9,12,20,29,27,57,23,
Additional support needs-physical disabilities,-,*,*,-,*,*,*,*,*,
Hearing impairment,-,*,*,-,*,*,5,7,*,
Visual impairment,-,-,-,*,*,*,6,*,*,
,,,,,,,,,,
Other,*,*,20,24,26,33,32,46,16,
