Subject,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60 or over,age-65
English,70,340,419,400,301,297,254,260,143,
French,26,95,84,103,92,105,109,70,40,
German,*,*,13,9,9,24,11,17,9,
Spanish,*,23,17,10,17,11,16,9,*,
Gaelic,*,11,9,9,5,6,8,*,*,
Italian,0,0,*,0,0,*,*,0,0,
English as an Additional Language,0,0,0,0,*,*,*,*,0,
Community Languages,0,0,0,*,0,0,*,*,0,
Other Modern Languages,11,59,52,43,41,56,30,38,23,
Classical Studies ,0,*,0,*,0,*,0,*,*,
,,,,,,,,,,
Mathematics,91,288,341,315,269,329,323,286,119,
Biology,57,227,193,177,133,114,100,107,44,
Chemistry,48,149,132,136,130,130,119,101,38,
General Science,8,13,12,22,20,27,12,10,13,
Physics,36,90,90,117,90,97,143,116,46,
,,,,,,,,,,
Economics ,*,0,0,0,*,0,0,0,*,
Geography,52,180,144,109,77,68,48,65,34,
History,57,184,166,126,99,89,64,58,43,
Religious Education,36,98,85,68,76,83,70,69,34,
Modern Studies,39,113,95,107,72,58,28,30,29,
Media Studies,0,*,*,*,*,*,0,*,*,
Business Studies,46,93,97,95,110,105,123,125,38,
Computing Studies,11,47,70,75,63,85,98,94,38,
Home Economics,43,113,81,70,65,84,114,133,73,
Technical Education,68,178,198,151,113,116,153,193,74,
PSE/Guidance,0,14,78,87,103,75,68,59,32,
,,,,,,,,,,
Art ,24,146,151,167,141,147,135,104,58,
Music,76,186,124,117,121,88,78,71,28,
Physical Education,267,423,353,284,155,96,63,111,54,
Speech and Drama ,19,78,66,83,37,29,43,31,18,
,,,,,,,,,,
Learning support ,*,*,73,98,131,123,124,138,96,
,,,,,,,,,,
Additional support needs-general,0,*,*,13,14,20,29,23,16,
Additional support needs-behavioural support,0,0,*,*,7,16,10,16,13,
Additional support needs-learning difficulties ,0,5,11,14,23,19,36,22,29,
Additional support needs-physical disabilities,0,0,*,0,0,*,*,0,0,
Hearing impairment,0,*,*,*,*,*,*,8,*,
Visual impairment,0,0,*,0,*,*,0,*,*,
,,,,,,,,,,
Other,12,16,18,17,24,19,34,29,30,
