Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
English,74,112,60,45,24,,82,75,60,63,49,,75,176,19,76,177,,242,124,41,44,43,,71,190,14,66,86,,53,14,54,171,61,,47,98
French,24,47,22,20,6,,32,16,25,26,26,,37,63,6,22,52,,58,55,10,14,13,,17,34,5,23,18,,24,11,16,29,29,,15,30
German,7,12,3,1,3,,5,2, -   ,1,2,, -   ,12,2,7,19,,1,3, -   ,5,7,,2,7,3,7,4,,6,2, -   ,4,1,,4,4
Spanish,3,2,1, -   , -   ,, -   ,1,1,2, -   ,,2,9, -   ,5,1,,11,3,4,2,1,,5,9, -   ,6,3,, -   , -   ,2,12,1,,5,4
Gaelic, -   , -   ,2,7, -   ,, -   , -   ,2,1, -   ,, -   ,3,11, -   , -   ,,2,25, -   , -   , -   ,, -   ,4, -   ,2, -   ,, -   , -   , -   ,1,1,, -   , -   
Italian, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   ,4, -   , -   , -   ,,2, -   , -   , -   , -   ,, -   ,2, -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   
English as an Additional Language, -   , -   ,1, -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,,6,1, -   , -   ,1,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   
Community Languages, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   ,1, -   , -   , -   ,,6, -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   
Other Modern Languages,1,6,6,5,1,,4,12,6,14,1,,7,10, -   ,4,14,,45, -   ,10,4,3,,14,32,1,2,14,, -   , -   ,8,38,1,,4,12
Classics, -   , -   , -   , -   , -   ,, -   , -   , -   , -   ,1,, -   , -   ,1,1,3,, -   , -   , -   , -   , -   ,,1, -   , -   , -   , -   ,, -   , -   , -   ,4, -   ,, -   , -   
Mathematics,72,111,55,45,22,,74,68,60,61,44,,72,153,15,73,165,,226,110,39,44,39,,71,183,12,64,84,,53,14,54,152,54,,50,98
Biology,35,54,30,16,11,,45,29,26,34,25,,38,68,8,39,88,,93,67,13,18,20,,37,83,6,30,39,,27,8,26,77,28,,20,50
Chemistry,27,51,23,15,8,,29,25,18,29,17,,35,58,8,30,68,,74,52,14,14,17,,18,70,5,22,29,,22,6,20,59,17,,19,35
Science (general),2,8,6,7,1,,1,1,7, -   , -   ,, -   ,12,1,2,1,,17,1,3,1,3,,2,7,3,2,3,,4,1,3,7,1,,4,5
Physics,30,41,16,13,7,,24,23,15,25,18,,26,52,6,28,60,,64,45,13,13,16,,26,52,4,24,27,,16,6,17,49,23,,15,29
Economics, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   ,3, -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   ,2, -   ,, -   , -   
Geography,22,38,25,15,7,,25,16,16,21,18,,21,47,4,23,43,,57,46,9,14,16,,26,52,8,18,21,,17,5,15,51,18,,12,24
History,20,42,26,15,8,,38,25,21,23,14,,18,57,6,23,51,,63,51,14,16,15,,27,57,3,19,29,,21,5,15,55,24,,13,32
