Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
English,76,113,53,42,19,,73,59,57,61,49,,74,169,16,73,161,,267,113,43,48,39,,67,181,13,57,87,,48,13,48,168,53,,49,95
French,24,29,23,16,5,,25,16,16,22,16,,28,64,3,16,44,,48,39,4,10,11,,8,31,4,21,14,,16,8,9,17,19,,7,29
German,1,3,0,0,2,,3,1,0,2,4,,0,8,1,6,15,,2,3,0,4,3,,0,3,1,2,5,,3,3,0,1,1,,1,2
Spanish,2,4,3,2,1,,2,2,1,6,1,,5,8,0,8,5,,17,5,5,2,1,,6,8,2,3,2,,4,0,4,10,2,,6,4
Gaelic,1,0,0,5,0,,0,0,1,1,0,,0,3,9,0,0,,5,26,0,0,0,,0,4,0,2,0,,0,0,0,1,1,,0,0
Italian,0,0,0,0,0,,0,0,0,0,0,,1,3,0,0,0,,3,0,0,0,0,,0,3,0,0,0,,0,0,0,0,1,,1,0
English as an Additional Language,0,0,0,0,0,,0,0,0,0,1,,0,0,0,0,0,,2,1,1,0,0,,0,0,0,0,1,,0,0,0,0,0,,0,0
Community Languages,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,4,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
Other Modern Languages,4,25,7,4,2,,4,7,12,12,10,,11,18,0,9,15,,47,7,10,4,4,,19,39,1,12,17,,2,1,9,53,6,,10,17
Classics,0,0,1,0,0,,0,0,0,0,0,,0,1,1,0,4,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,3,0,,0,0
Mathematics,66,110,54,38,22,,70,55,54,64,45,,70,150,15,77,149,,235,111,43,42,38,,68,178,10,58,83,,42,13,45,160,48,,50,93
Biology,36,55,30,17,10,,40,25,27,38,27,,41,82,8,43,90,,123,63,14,21,17,,36,87,7,32,42,,23,7,30,81,29,,22,52
Chemistry,31,51,24,15,8,,29,22,21,33,18,,38,65,7,23,68,,83,51,16,14,16,,22,62,5,24,26,,19,5,19,69,19,,22,40
Science (general),6,18,4,4,0,,3,2,8,0,2,,1,8,0,4,4,,14,5,2,1,4,,3,17,4,4,5,,3,3,1,16,1,,0,3
Physics,24,41,18,12,7,,24,21,12,25,18,,27,54,6,28,55,,73,44,13,11,16,,22,51,1,22,27,,12,6,15,54,20,,21,25
Economics,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,1,0,,0,0
Geography,23,37,23,15,8,,26,18,11,22,16,,20,48,7,23,40,,57,48,7,12,13,,23,51,5,21,25,,17,6,17,54,16,,13,21
History,30,40,26,17,7,,26,21,23,28,15,,23,66,5,27,56,,90,52,15,15,15,,22,65,3,23,23,,20,5,15,66,23,,14,37
Religious Education,14,32,5,8,4,,17,21,7,18,12,,19,43,2,21,36,,56,19,12,13,10,,19,41,2,17,25,,10,1,11,44,15,,11,27
Modern Studies,15,33,4,4,10,,19,19,17,18,15,,20,36,1,19,46,,84,14,8,7,10,,8,54,2,15,29,,11,3,15,42,9,,15,21
Media Studies,0,1,0,0,0,,0,0,1,0,0,,1,3,0,2,0,,0,0,0,0,0,,0,1,0,0,0,,0,0,0,0,1,,0,1
Business Education,23,47,18,14,10,,26,22,16,32,22,,32,47,5,23,68,,104,31,16,7,11,,13,61,5,15,30,,17,8,23,72,17,,19,41
Computing,12,22,16,10,7,,9,20,12,17,9,,18,53,3,15,37,,56,8,11,9,8,,23,38,2,20,24,,9,3,14,45,10,,17,21
Home Economics,20,32,30,11,8,,28,29,12,23,13,,22,53,6,24,56,,54,25,11,17,12,,16,52,4,28,22,,13,7,15,51,9,,17,24
Technical Education,19,61,28,22,15,,36,26,35,30,23,,24,71,9,39,91,,104,70,21,22,17,,38,84,8,33,45,,25,9,29,80,27,,26,46
PSE/Guidance,37,64,19,6,4,,2,21,12,5,22,,2,55,3,13,22,,33,31,0,16,26,,19,7,7,24,3,,28,6,16,14,0,,1,9
Art & Design,32,47,27,23,11,,34,32,29,31,20,,34,65,6,33,74,,107,56,16,25,16,,35,78,5,28,43,,25,5,25,71,21,,24,36
Music,29,36,20,18,8,,26,23,23,24,15,,24,53,7,39,55,,95,43,19,20,14,,28,72,6,22,34,,16,6,20,61,19,,21,32
Physical Education,52,83,42,28,21,,60,40,42,45,36,,55,127,9,99,131,,190,86,27,39,26,,48,125,7,53,69,,39,10,38,120,42,,36,81
Drama,17,26,7,6,0,,17,10,5,11,10,,22,40,0,18,42,,61,6,3,5,10,,4,30,2,12,1,,8,0,0,40,1,,1,15
Learning Support ,20,96,13,29,5,,24,40,31,11,20,,17,36,8,48,33,,39,46,8,17,18,,30,38,7,32,19,,30,2,29,29,8,,15,19
ASN general,30,5,4,0,6,,6,1,6,1,0,,0,3,1,1,34,,3,12,1,1,6,,0,1,0,3,1,,2,0,4,5,3,,0,3
ASN Behavioural Support,8,3,2,1,1,,0,3,2,1,2,,1,2,1,1,12,,1,4,1,1,2,,2,0,1,2,1,,7,1,1,1,5,,4,0
ASN Learning Difficulties ,9,13,23,2,6,,0,2,4,0,5,,3,9,0,0,13,,7,20,3,6,10,,2,0,5,1,1,,6,12,1,12,4,,2,2
ASN Physical Disabilities,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,2,,0,2,0,0,0,,0,0,0,0,0,,0,0,0,2,0,,0,0
Hearing Impairment,0,0,1,0,0,,0,0,3,0,0,,0,0,0,0,0,,3,0,4,0,0,,0,8,0,0,0,,0,0,0,5,0,,0,0
Visual Impairment,0,0,0,0,0,,0,0,1,0,0,,0,0,0,0,0,,4,0,0,0,0,,0,0,0,0,0,,0,0,0,3,0,,0,0
Not known/Other,11,9,5,5,0,,2,0,8,9,2,,7,11,2,6,33,,22,15,4,3,2,,10,8,0,0,13,,1,0,2,17,4,,2,4
