AwardId,AwardTitle,SCQFLevel,DataStartYear,DataEndYear
Higher,Higher,6,1986,
AdvancedHigher,Advanced Higher,7,2001,
OrdinaryGrade,Ordinary Grade,,1986,
NewHigher,New Higher,6,2000;2015,2002;2015
StandardGrade,Standard Grade,,1986,2013
CSYS,Certiificate of Sixth Year Studies,,,
HigherNational,Higher National,,,
HNCS,Higher National Certificate,,,
HNDS,Higher National Diploma,,,
HigherNationalUnit,Higher National Unit,,,
National5,National 5,,2014,
HNPDA,Professional Development Award,,,
